ID,outText,outMA,source,PDF,Authors,Author Full Names,Article Title,ID2,Year,studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,FPAsize,MPAsize,Size,enforcement,governance,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,inMPA,stakeholder,mechanism,indicator,DataOrigin,direction,quantitative,unit,errortype,BeforeMPAvalue,BeforeMPAsample,BeforeMPAerror,BeforeMPA_SD,BeforeControlvalue,BeforeControlsample,BeforeControlerror,BeforeControl_SD,AfterMPAvalue,AfterMPA_samplesize,AfterMPAerror,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerror,AfterControl_SD,ei,vei,comment
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Pamilacan Island,15,old,1985,fully,0.12,0.12,small,yes,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,agency,participation,figure 6,positive,yes,% local who believe the community is involved in management,,,,,,,,,,,,,,,,,,,,
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Apo Island,18,old,1982,fully,0.225,0.74,small,yes,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,food security,cpue,figure 6,positive,yes,% interviewees,,,,,,,,,,,,,,,,,,,,indicator not suitable for MA
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Apo Island,18,old,1982,fully,0.225,0.74,small,yes,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,learning,MPA knowledge,figure 6,positive,yes,% local aware of MPA,,,,,,,,,,,,,,,,,,,,
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Balicasag Island,14,old,1986,fully,0.03,0.03,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,agency,participation,figure 6,positive,yes,% local who believe the community is involved in management,,,,,,,,,,,,,,,,,,,,
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Balicasag Island,14,old,1986,fully,0.03,0.03,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,food security,cpue,figure 6,neutral,yes,% interviewees,,,,,,,,,,,,,,,,,,,,indicator not suitable for MA
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Balicasag Island,14,old,1986,fully,0.03,0.03,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,learning,MPA knowledge,figure 6,positive,yes,% local aware of MPA,,,,,,,,,,,,,,,,,,,,
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Pamilacan Island,15,old,1985,fully,0.12,0.12,small,yes,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,food security,cpue,figure 6,positive,yes,% interviewees,,,,,,,,,,,,,,,,,,,,indicator not suitable for MA
260,in,in,WoS,yes,"Walmsley, SF; White, AT","Walmsley, SF; White, AT","Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,BACI,1986,MPA,Apo Island,1,young,1985,fully,0.23,0.23,small,yes,state,Philippines,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,,,,,biodiversity,species richness,Figure 5,positive,yes,number,CI,43.5,4,6,6.12244898,58.5,6,3.75,4.686523743,58.5,6,3.75,4.686523743,44.25,4,18.75,19.13265306,0.575437199,0.053828966,Before values were sampled in 1985
260,in,in,WoS,yes,"Walmsley, SF; White, AT","Walmsley, SF; White, AT","Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,BACI,1999,MPA,Balicasag Island,13,old,1986,fully,0.034,0.034,small,yes,co-managed,Philippines,tropical,Asia,South China Sea,coral reef,,ecological,fish,,,,,,,biodiversity,species richness,Figure 5,neutral,yes,number,CI,55.71428571,3,5,4.418496958,52.14285714,7,4.285714286,5.785170505,52.86,5,4.29,4.889361467,45,5,4.285714286,4.889361467,0.094680981,0.007927384,Before values were sampled in 1985
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Pamilacan Island,15,old,1985,fully,0.12,0.12,small,yes,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,learning,MPA knowledge,figure 6,positive,yes,% local aware of MPA,,,,,,,,,,,,,,,,,,,,
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Sumilon Island,0,young,2000,PPA,0,0.398,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,agency,participation,figure 6,neutral,yes,% local who believe the community is involved in management,,,,,,,,,,,,,,,,,,,,
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Sumilon Island,0,young,2000,PPA,0,0.398,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,food security,cpue,figure 6,neutral,yes,% interviewees,,,,,,,,,,,,,,,,,,,,indicator not suitable for MA
770,in,out,other,yes,Walmsley,Walmsley,"Influence of social, management and enforcement factors on the long-term ecological effects of marine sanctuaries",9,2003,field,perception,2000,MPA,Sumilon Island,0,young,2000,PPA,0,0.398,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,social,fish,mix,fished,,artisanal,,coastal community,learning,MPA knowledge,figure 6,positive,yes,% local aware of MPA,,,,,,,,,,,,,,,,,,,,
761,in,out,other,yes,Karras,Karras,Cruzan fishers' perspectives on the performance of the Buck Island Reef National Monument and the red hind seasonal closure.,10,2009,field,perception,2005,MPA,Buck Island Reef,4,young,2001,fully,76,76,medium,yes,state,USA,tropical,Central America,Carribean Sea,mix,,social,fish,mix,fished,,industrial,,fishery,agency,user rights,p 386,negative,no,MPA regulation,,,,,,,,,,,,,,,,,,,,
761,in,out,other,yes,Karras,Karras,Cruzan fishers' perspectives on the performance of the Buck Island Reef National Monument and the red hind seasonal closure.,10,2009,field,perception,2005,MPA,Buck Island Reef,4,young,2001,fully,76,76,medium,yes,state,USA,tropical,Central America,Carribean Sea,mix,,social,fish,mix,fished,,industrial,,fishery,assets,costs,p 386,negative,no,"""increased cost of fuel""",,,,,,,,,,,,,,,,,,,,
761,in,out,other,yes,Karras,Karras,Cruzan fishers' perspectives on the performance of the Buck Island Reef National Monument and the red hind seasonal closure.,10,2009,field,perception,2005,MPA,Buck Island Reef,4,young,2001,fully,76,76,medium,yes,state,USA,tropical,Central America,Carribean Sea,mix,,social,fish,mix,fished,,industrial,,fishery,assets,employment,p 387,negative,no,"""fewer opportunities for employment""",,,,,,,,,,,,,,,,,,,,
761,in,out,other,yes,Karras,Karras,Cruzan fishers' perspectives on the performance of the Buck Island Reef National Monument and the red hind seasonal closure.,10,2009,field,perception,2005,MPA,Buck Island Reef,4,young,2001,fully,76,76,medium,yes,state,USA,tropical,Central America,Carribean Sea,mix,,social,fish,mix,fished,,industrial,,fishery,assets,income,table 5,negative,yes,% interviewees,,,,,,,,,,,,,,,,,,29,,
761,in,out,other,yes,Karras,Karras,Cruzan fishers' perspectives on the performance of the Buck Island Reef National Monument and the red hind seasonal closure.,10,2009,field,perception,2005,MPA,Buck Island Reef,4,young,2001,fully,76,76,medium,yes,state,USA,tropical,Central America,Carribean Sea,mix,,social,fish,mix,fished,,industrial,,fishery,flexibility,alternative livelihoods,table 5,negative,yes,% interviewees,,,,,,,,,,,,,,,,,,,,
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,perception,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,small-scale,,fishery,agency,user rights,text p180,negative,yes,% displaced fishers to further grounds,,,,,,,,,,,,,,,,,,,,
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,perception,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,,,coastal community,agency,participation,figure 14,neutral,yes,score 1 to 5,,,,,,,,,,,,,,,,,,,,
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,perception,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,small-scale,,fishery,assets,costs,text p180,negative,no,"further fishing ground, increased fuel bills",,,,,,,,,,,,,,,,,,,,
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,BA,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,,,tourism,assets,income,paragraph 5.5,positive,yes,$,,,,,,,,,,,,,,,,,,,,about tourism (MA on fishing revenue only)
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,BA,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,,,tourism,assets,employment,paragraph 5.5,positive,yes,% revenue change,,,,,,,,,,,,,,,,,,,,about tourism (MA on fishing revenue only)
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,perception,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,,,coastal community,flexibility,alternative livelihoods,figure 14,positive,yes,score 1 to 5,,,,,,,,,,,,,,,,,,,,
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,BA,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,mix,social,fish,,fished,,small-scale,,fishery,food security,cpue,figure 8,ambiguous,yes,kg day-1 trip-1,different direction depending on fishing gear,,,,,,,,,,,,,,,,,,,no variance nor sample size
251,in,out,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,perception,2015,MPA,Cu Lao Cham,10,medium,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,,,coastal community,food security,local food security,figure 14,positive,yes,score 1 to 5,,,,,,,,,,,,,,,,,,,,indicator not suitable for MA
251,in,in,WoS,yes,"Ngoc, QTK",Quach Thi Khanh Ngoc,"Impacts on the ecosystem and human well-being of the marine protected area in Cu Lao Cham, Vietnam",11,2018,field,BA,2016,MPA,Cu Lao Cham,11,old,2005,highly,1.26,52,medium,no,co-managed,Vietnam,tropical,Asia,South China Sea,seagrass,,social,fish,,fished,,small-scale,in,fishery,assets,income,figure 11,negative,yes,$ fishermen-1,vei,,,,,,,,,,40,,,,40,,,-0.22,0.15,calculated from figure 11 
100,in,in,WoS,yes,"McInerney, Caitriona E.; Allcock, A. Louise; Johnson, Mark P.; Prodoehl, Paulo A.","McInerney, Caitriona E.; Allcock, A. Louise; Johnson, Mark P.; Prodoehl, Paulo A.",Ecological coherence in marine reserve network design: An empirical evaluation of sequential site selection using genetic structure,12,2012,field,CI,2004,MPA,Lough Hyne,24,old,1982,fully,0.8,0.8,small,NA,.,Northern Ireland,temperate,Europe,Celtic sea,rocky reef,.,ecological,fished invert,mix,fished,no,.,,,genetic,allelic richness,table 1,neutral,yes,number,variance,,,,,,,,,NA,9,NA,NA,NA,9,NA,NA,0.011714,,see particular excel sheet for calculations
