ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Author Full Names,Article Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",Year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,MPAindex,FPAsize,MPAsize,Size,enforcement,governance,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,inMPA,stakeholder,mechanism,outcome,indicator,direction,quantitative,unit,DataOrigin,errortype,errortrans,valueMPAB,errorMPAB,sampleMPAB,valueMPAA,errorMPAA,sampleMPAA,valuecontrolA,errorcontrolA,samplecontrolA,valuecontrolB,errorcontrolB,samplecontrolB,ei,SEei,SDei,vei,ntotal,comment,OUTabstract,OUTtext
164,in,out,,WoS,yes,J,"Hopf, JK; Jones, GP; Williamson, DH; Connolly, SR","Hopf, Jess K.; Jones, Geoffrey P.; Williamson, David H.; Connolly, Sean R.",Marine reserves stabilize fish populations and fisheries yields in disturbed coral reef systems,ECOLOGICAL APPLICATIONS,,"Marine reserve networks are increasingly implemented to conserve biodiversity and enhance the persistence and resilience of exploited species and ecosystems. However, the efficacy of marine reserve networks in frequently disturbed systems, such as coral reefs, has rarely been evaluated. Here we analyze a well-mixed larval pool model and a spatially explicit model based on a well-documented coral trout (Plectropomus spp.) metapopulation in the Great Barrier Reef Marine Park, Australia, to determine the effects of marine reserve coverage and placement (in relation to larval connectivity and disturbance heterogeneity) on the temporal stability of fisheries yields and population biomass in environmentally disturbed systems. We show that marine reserves can contribute to stabilizing fishery yield while increasing metapopulation persistence, irrespective of whether reserves enhance or diminish average fishery yields. However, reserve placement and the level of larval connectivity among subpopulations were important factors affecting the stability and sustainability of fisheries and fish metapopulations. Protecting a mix of disturbed and non-disturbed reefs, rather than focusing on the least-disturbed habitats, was the most consistently beneficial approach across a range of dispersal and reserve coverage scenarios. Placing reserves only in non-disturbed areas was the most beneficial for biomass enhancement, but had variable results for fisheries and could potentially destabilize yields in systems with well-mixed larval or those that are moderately fished. We also found that focusing protection on highly disturbed areas could actually increase variability in yields and biomass, especially when degraded reef reserves were distant and poorly connected to the meta-population. Our findings have implications for the design and implementation of reserve networks in the presence of stochastic, patchy environmental disturbances.",3,2019,10.1002/eap.1905,WOS:000474485400005,model,,,MPA,,,,,,,,,,,,,,,,,,,,,fished,,,,fishery,food security,,catch,,,,,,,,,,,,,,,,,,,,,,,,,,model
751,in,in,,other,yes,J,Garces,Garces,Evaluating the management effectiveness of marine protected areas at seven selected sites in the Philippines,,,,,2015,,,field,perception,2009,MPA,Capandan,6,medium,2003,NA,,0,0.215,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,,,,,,,,fishery,information,local,environmental awareness,positive,no,"""understanding of human impacts""",table 4,,,,,,,,,,,,,,,,,,,,,,
751,in,in,,other,yes,J,Garces,Garces,Evaluating the management effectiveness of marine protected areas at seven selected sites in the Philippines,,,,,2015,,,field,perception,2009,MPA,Capandan,6,medium,2003,NA,,0,0.215,small,NA,community-based,Phillipines,tropical,Asia,South China Sea,coral reef,,,,,,,,,fishery,information,local,MPA knowledge,positive,no,"""local understanding of MPA rules and regulations""",table 4,,,,,,,,,,,,,,,,,,,,,,
656,in,in,out,WoS,yes,J,"Cook, GS; Heinen, JT","Cook, GS; Heinen, JT","On the uncertain costs and tenuous benefits of Marine reserves: a case study of the Tortugas Ecological Reserve, South Florida, USA",NATURAL AREAS JOURNAL,,"There is widespread awareness of the decline and collapse of many commercially important marine fish stocks worldwide. Marine protected areas are increasingly proposed for use by researchers and managers, in combination with or separate from traditional fishery management techniques (e.g., harvest quotas, size quotas, etc.), to improve this situation. Marine reserves, also known as no-take zones, are the strictest of these protected areas. We review published and government documents that explore the costs and benefits of the Tortugas Ecological Reserve - a recently-created marine reserve that is part of the much larger Florida Keys National Marine Sanctuary - to three major groups of stakeholders: commercial users, recreational users, and agency personnel. Although there is a great deal of uncertainty in all cases, identifying and quantifying economic costs is more straightforward than quantifying benefits, in part because they are more well-known and more short-term in nature. The costs of creating and managing this reserve are minor on the scale of the economy of Monroe Country, Florida, but benefits, although real, are unlikely to impact stakeholders in the short-term and are thus tenuous. In some cases, direct economic incentives for those few individuals suffering direct costs (i.e., commercial interests) are recommendable. In the absence of such, and given the disparate nature of costs and benefits associated with the creation of marine reserves, adaptive and interactive management approaches, combined with traditional fishery management techniques, are recommended to achieve policy and management goals. This includes ongoing public education, outreach, and stakeholder analysis over time (coupled with strict law enforcement within reserves) if the ultimate goal of improving the sustainability of habitat and fisheries in surrounding waters is to be achieved.",13,2005,,WOS:000232940000010,field,BA,2002,MPA,Florida Keys,5,medium,1997,PPA,NA,35,51,medium,NA,state,USA,subtropical,North America,North West Atlantic,mix,,,,,,,,,recreational,assets,economic,employment,negative,yes,% employment change,p393,NA,,,,,,,,,,,,,12,-0.055517328,,,,,regulation of the park changed multiple times since,,
398,in,in,in,WoS,yes,J,"Weigel, JY","Weigel, Jean-Yves; Morand, Pierre; Mawongwai, Thuntada; Noel, Jean-Francois; Tokrishna, Ruangrai",Assessing economic effects of a marine protected area on fishing households. A Thai case study,FISHERIES RESEARCH,,"Some recommendations made by the World Parks Congress in Durban (2003) underscore the need to consider the impacts of multi-purpose marine protected areas (MPAs) on resident or adjacent populations, and lead social and fisheries scientists to reconsider their approaches and methods regarding the assessment of economic effects of an MPA. This paper contributes to this reconsideration by proposing an assessment method of microeconomic effects. The approach is the comparison of fishing households' economic situation in Chumphon Province (Thailand) at a given time based on their location in relation to a marine protected area: within or adjacent to Chumphon Archipelago Marine National Park vs. remote from it. We address three economic dimensions: the profitability of household activities, the income-distributional effects among households and the household vulnerability. This assessment requires the calculation of five indicators: the net income, the net profit margin, the Gini coefficient and the Herfindahl index, and Bene's vulnerability index. From a dataset made up of 123 fishing households surveyed twice a year, the main results show higher incomes and less economic vulnerability for households located within or adjacent to the MPA, and a more inegalitarian income distribution among households located remote from the MPA. So, the households located within or adjacent to the MPA have more security, can stay focused on the most profitable fishing activities and not have to diversify outside of the fishing sector. In an environment where commercial small-scale fishing was already highly developed, setting up an MPA could have the effect of sustaining an efficient, specialised professional set-up for fishing households in the area concerned. With respect to a policy to establish MPAs in keeping with the Durban recommendations, this study shows that a thorough analysis of profitability, income distribution and economic vulnerability should help to identify who the Winners and losers might be, which could improve the targeting of mitigation and compensation measures. (C) 2014 Elsevier B.V. All rights reserved.",10,2015,10.1016/j.fishres.2014.06.012,WOS:000345478600008,field,CI,2008,MPA,Chumphon Archipelago,9,medium,1999,NA,,NA,253,large,yes,NA,Thailand,tropical,Asia,South China Sea,mix,,,,,,,artisanal,in,fishery,food security,global,cpue,positive,yes,kg day-1 vessel-1,supp info,calculated,SD,,,,260,421.59,120,253,479,98,,,,0.027292142,,,0.058487167,,,,
34,in,in,out,WoS,yes,J,"Gollan, N; Barclay, K","Gollan, Natalie; Barclay, Kate",'It's not just about fish': Assessing the social impacts of marine protected areas on the wellbeing of coastal communities in New South Wales,PLOS ONE,,"Managing Marine Protected Areas (MPAs) is about managing human behaviours, but decision-making processes have traditionally focussed on ecological aspects, treating social aspects as secondary. It is now becoming more evident that an equal focus on the ecological and social aspects is required. Without the collection of information about social aspect such as impacts and sharing this as well as ecological information with communities, MPAs are at higher risk of opposition and social acceptability problems. This paper explores the development of a wellbeing framework to understand the social aspects, including the impacts of MPAs on the wellbeing of local communities. This research investigates two case study MPAs: Cape Byron and Port Stephens-Great Lakes Marine Parks in New South Wales, Australia. The MPAs are multiple-use and were implemented in 2006 and 2007, respectively. The research began with a review of the literature, followed by fieldwork, including semi-structured qualitative interviews with community members. Through thematic coding of the interview transcripts in light of the literature on assessing the social impacts of MPAs, a community wellbeing framework of domains and associated attributes was developed to investigate social impacts. Our analysis shows; first, local perspectives are crucial to understanding social impacts. Second, understanding social impacts gives insight into the nature of trade-offs that occur in decision-making regarding MPAs. Third, the intangible social impacts experienced by local communities are just as significant as the tangible ones for understanding how MPAs operate. Fourth, governance impacts have been the most influential factor affecting the social acceptability of the case study parks. We argue that failure to address negative social impacts can undermine the legitimacy of MPAs. We propose that the framework will support policymakers to work towards more effective, equitable and socially sustainable MPAs by employing much-needed monitoring of human dimensions of conservation interventions at the community level to shape adaptive management.",0,2020,10.1371/journal.pone.0244605,WOS:000605651300032,field,perception,2017,MPA,"Cape Byron, Port Stephens",10,medium,2007,PPA,,mix,mix,mix,NA,NA,Australia,subtropical,Oceania,South West Pacific,mix,,,,,,,,,coastal community,food security,local,local food security,negative,no,reduces subsitence fishing and locally sourced seafood,table 5,,,,,,,,,,,,,,,,,,,,indicator not suitable for MA,,
167,out,out,,WoS,no,J,"Uehara, M; Ebisawa, A; Ohta, I; Aonuma, Y","Uehara, Masato; Ebisawa, Akihiko; Ohta, Itaru; Aonuma, Yoshimasa",Effectiveness of deepwater marine protected areas: Implication for Okinawan demersal fisheries management,FISHERIES RESEARCH,,"Deepwater snappers (Lutjanidae) support important commercial demersal fisheries in Okinawa and throughout much of the Indo-Pacific region. However, recent evidence suggests that over-exploitation has substantially reduced stock biomass throughout these regions. Deepwater marine protected areas (MPAs) are often established as a conservation and management tool, but there are few published studies on their efficacy. This study examined the effectiveness of a deepwater MPA in the Kita-Taikyu Bank (KB), based on the changes in relative abundance and size-frequency distributions for target species collected over seven years between a five-year period of year-round closure and subsequent seasonal closures. Etelis coruscans was the most abundant lutjanid in the KB, comprising 45.0% of the total number of individual deepwater snappers. The relative abundance of E. coruscans in the deepwater MPA was influenced by whether protection was year-round or seasonal; their abundance decreased significantly when the ban was lifted. Some distinct size modes of E. coruscans gradually grew larger during the year-round closure, but modes were indistinct after the change to seasonal closures. In addition, our results showed that the relative abundance of mature size classes had not fully recovered during the study period. In our tagging experiment for 151 deepwater snappers comprised of six species, two tagged Pristipomoides filamentosus were recaptured. These cases supplied some biological data regarding deepwater snappers: the periodicity of the growth zone formation and the low rate of cross-border movement of Pr. filementosus. Our study suggested that deepwater snappers are rapidly depleted by fishing and very slow to recover. It also provided evidence of the potential success of MPAs for deepwater snappers; longer-term year-round closure of deepwater MPAs may be the best solution for affording long-lived fishery species the protection necessary for them to achieve maturity.",5,2019,10.1016/j.fishres.2019.03.018,WOS:000466824300015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not social mechanisms,
168,out,out,,WoS,no,J,"Scianna, C; Niccolini, F; Giakoumi, S; Di Franco, A; Gaines, SD; Bianchi, CN; Scaccia, L; Bava, S; Cappanera, V; Charbonnel, E; Culioli, JM; Di Carlo, G; De Franco, F; Dimitriadis, C; Panzalis, P; Santoro, P; Guidetti, P","Scianna, Claudia; Niccolini, Federico; Giakoumi, Sylvaine; Di Franco, Antonio; Gaines, Steven D.; Bianchi, Carlo Nike; Scaccia, Luisa; Bava, Simone; Cappanera, Valentina; Charbonnel, Eric; Culioli, Jean-Michel; Di Carlo, Giuseppe; De Franco, Francesco; Dimitriadis, Charalampos; Panzalis, Pier; Santoro, Pasquale; Guidetti, Paolo",Organization Science improves management effectiveness of Marine Protected Areas,JOURNAL OF ENVIRONMENTAL MANAGEMENT,,"The ecological management effectiveness (EME) of Marine Protected Areas (MPAs) is the degree to which MPAs reach their ecological goals. The significant variability of EME among MPAs has been partly explained by MPA design, management and implementation features (e.g. surface area, enforcement, age of protection). We investigated EME variability by employing, for the first time, Organization Science. Eight Mediterranean MPAs were taken into account as case studies to explore the relationships between EME and MPA features, such as: 1) organizational size (i.e. the ratio between the number of full-time employees and the total MPA surface area), 2) management performance (i.e. the level of effort exerted to enhance and sustain the MPA management, including enforcement), 3) total surface area, and 4) MPA age. The log-response ratios of fish biomass and density in protected vs unprotected (control) areas were used as a proxy of EME. Management performance, organizational size and, to a lesser extent, MPA age were positively correlated with the log-response ratio of fish biomass, whereas total surface area did not display a significant role. None of the four features considered was significantly correlated with the log-response ratio of fish density. Based on our findings, we argue that the employment of Organization Science in the management effectiveness assessment can assist MPA managers to reach MPAs goals more effectively, with a more efficient use of available resources.",11,2019,10.1016/j.jenvman.2019.03.052,WOS:000467510800029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not social mechanisms,
169,in,in,,WoS,yes,J,"Ban, NC; Gurney, GG; Marshall, NA; Whitney, CK; Mills, M; Gelcich, S; Bennett, NJ; Meehan, MC; Butler, C; Ban, S; Tran, TC; Cox, ME; Breslow, SJ","Ban, Natalie C.; Gurney, Georgina Grace; Marshall, Nadine A.; Whitney, Charlotte K.; Mills, Morena; Gelcich, Stefan; Bennett, Nathan J.; Meehan, Mairi C.; Butler, Caroline; Ban, Stephen; Tran, Tanya C.; Cox, Michael E.; Breslow, Sara Jo",Well-being outcomes of marine protected areas,NATURE SUSTAINABILITY,,"Marine protected areas are advocated as a key strategy for simultaneously protecting marine biodiversity and supporting coastal livelihoods, but their implementation can be challenging for numerous reasons, including perceived negative effects on human well-being. We synthesized research from 118 peer-reviewed articles that analyse outcomes related to marine protected areas on people, and found that half of documented well-being outcomes were positive and about one-third were negative. No-take, well-enforced and old marine protected areas had positive human well-being outcomes, which aligns with most findings from ecological studies. Marine protected areas with single zones had more positive effects on human well-being than areas with multiple zones. Most studies focused on economic and governance aspects of well-being, leaving social, health and cultural domains understudied. Well-being outcomes arose from direct effects of marine protected area governance processes or management actions and from indirect effects mediated by changes in the ecosystem. Our findings illustrate that both human well-being and biodiversity conservation can be improved through marine protected areas, yet negative impacts commonly co-occur with benefits.",44,2019,10.1038/s41893-019-0306-2,WOS:000471032700017,systematic,,,MPA,,,,,,,,,,,,,,,,,,,,,,,,,,mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,out,out,,WoS,no,J,"Thiao, D; Wesdund, L; Sambe, B; Diadhiou, HD; Deme, M; Mbenga, A; Diop, M","Thiao, Djiga; Wesdund, Lena; Sambe, Birane; Diadhiou, Hamet Diaw; Deme, Moustapha; Mbenga, Anna; Diop, Mmmadou",A perception-based participatory monitoring and evaluation approach to foster effective co-management of the marine protected areas in Northwest Africa,OCEAN & COASTAL MANAGEMENT,,"In Northwest Africa, the last two decades were characterized by the establishment of many marine protected areas (MPAs) that are considered to be major fisheries management tools. This politically motivated trend - to use for fisheries management a tool initially conceived for biodiversity conservation - emerged in a context of increasing degradation of the marine and coastal ecosystems combined with a generalized overexploitation of the main fish stocks in the Sub-Region. However, the commitment to promote MPAs neglected the necessity to regularly and effectively monitor and evaluate their effectiveness. Therefore, in 2013-2014 the Canary Current Large Marine Ecosystem (CCLME) project supported the development of an experimental participatory monitoring and evaluation (PM&E) approach for the Northwest African MPAs. This perception-based approach, which was implemented in two pilot MPAs in Senegal and Gambia, was then widely shared and discussed through several local meetings as well as in two regional and international workshops. This article aims to document the principles and outcomes of this experimental PM&E approach and also discuss its opportunities and challenges regarding to its potential adoption and use by MPA managers.",2,2019,10.1016/j.ocecoaman.2019.03.026,WOS:000469154900001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,framework,
171,in,out,,WoS,yes,J,"Agar, J; Shivlani, M; Fleming, C; Solis, D","Agar, J.; Shivlani, M.; Fleming, C.; Solis, D.",Small-scale fishers' perceptions about the performance of seasonal closures in the commonwealth of Puerto Rico,OCEAN & COASTAL MANAGEMENT,,"The targeting of spawning aggregations is one of the most significant pressures facing coral reef ecosystems. The use of seasonal closures has been advanced for protecting aggregating fisheries for which managers have limited information on the location and timing of their reproductive events; however, few studies have examined the performance of these types of closures. This study asseses the perceptions of 150 fishers regarding the performance of seasonal closures in the Commonwealth of Puerto Rico. Our results show that most fishers perceived that seasonal closures are effective fishery management measures. Across the six seasonal closures examined, fishers reported that these closures protected spawning aggregations and, to a lesser degree, increased fish abundance. These measures, however, did not always improve fishers' livelihoods nor result in their support for the seasonal closures. The loss of resource and market access during periods of high consumer demand and overlapping seasonal closures were the main causes of financial distress. Fishers indicated that the performance of the seasonal closures could be improved by increasing investments in monitoring, control, and surveillance capabilities, and adjusting their timing to accommodate economic and local ecological considerations. Fishers argued that revisions were necessary because some species spawned year-round or outside closure windows. Some fishers also called for replacing seasonal closures with alternative management measures (e.g., area-time closures, marine protected areas, gear restrictions), conducting additional scientific research, and improving fisher education. This work underscores that beliefs about conservation and livelihood outcomes are closely linked to the quality of management, the importance of conducting periodic assessments, and engaging fishers in decision-making to increase accountability, transparency, and support for management interventions.",1,2019,10.1016/j.ocecoaman.2019.03.025,WOS:000469154900003,field,,,fishery closure,,,,,,,,,,,,,,,,,,,,,,,small-scale,,fishery,mix,,,,,,,,,,,,,,,,,,,,,,,,,,,,periodic no take zone
172,out,out,,WoS,no,J,"Johnson, DN; van Riper, CJ; Chu, M; Winkler-Schor, S","Johnson, Dana N.; van Riper, Carena J.; Chu, Maria; Winkler-Schor, Sophia",Comparing the social values of ecosystem services in US and Australian marine protected areas,ECOSYSTEM SERVICES,,"Spatially explicit models for conservation planning often rely on environmental and economic indicators to prioritize management decisions. Consideration of social values in relation to landscape metrics is less common, especially across different biophysical contexts. In this paper, we compare social values mapped by outdoor recreationists who visited Santa Cruz Island within Channel Islands National Park, USA, and Hinchinbrook Island National Park, Australia using a Social Values for Ecosystem Services mapping tool that interfaced with Maximum Entropy modeling. Specifically, we determine the relative importance of 12 social values and evaluate how the relationship between three highly rated social values (Aesthetic, Biological Diversity, and Recreation) and four biophysical metrics (distance to the coast, distance to management infrastructure, slope, and elevation) differed between two marine protected areas. Our results provide insight into the spatial dynamics of social-ecological data to identify high and low priority locations in protected areas as well as enable resource management agencies to make more informed decisions about how best to engage with stakeholders. This research also supports public involvement in policy-making about land and seascapes in the USA and Australia.",11,2019,10.1016/j.ecoser.2019.100919,WOS:000469015100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not social mechanisms,
34,in,in,,WoS,yes,J,"Gollan, N; Barclay, K","Gollan, Natalie; Barclay, Kate",'It's not just about fish': Assessing the social impacts of marine protected areas on the wellbeing of coastal communities in New South Wales,PLOS ONE,,"Managing Marine Protected Areas (MPAs) is about managing human behaviours, but decision-making processes have traditionally focussed on ecological aspects, treating social aspects as secondary. It is now becoming more evident that an equal focus on the ecological and social aspects is required. Without the collection of information about social aspect such as impacts and sharing this as well as ecological information with communities, MPAs are at higher risk of opposition and social acceptability problems. This paper explores the development of a wellbeing framework to understand the social aspects, including the impacts of MPAs on the wellbeing of local communities. This research investigates two case study MPAs: Cape Byron and Port Stephens-Great Lakes Marine Parks in New South Wales, Australia. The MPAs are multiple-use and were implemented in 2006 and 2007, respectively. The research began with a review of the literature, followed by fieldwork, including semi-structured qualitative interviews with community members. Through thematic coding of the interview transcripts in light of the literature on assessing the social impacts of MPAs, a community wellbeing framework of domains and associated attributes was developed to investigate social impacts. Our analysis shows; first, local perspectives are crucial to understanding social impacts. Second, understanding social impacts gives insight into the nature of trade-offs that occur in decision-making regarding MPAs. Third, the intangible social impacts experienced by local communities are just as significant as the tangible ones for understanding how MPAs operate. Fourth, governance impacts have been the most influential factor affecting the social acceptability of the case study parks. We argue that failure to address negative social impacts can undermine the legitimacy of MPAs. We propose that the framework will support policymakers to work towards more effective, equitable and socially sustainable MPAs by employing much-needed monitoring of human dimensions of conservation interventions at the community level to shape adaptive management.",0,2020,10.1371/journal.pone.0244605,WOS:000605651300032,field,perception,2017,MPA,"Cape Byron, Port Stephens",10,medium,2007,PPA,,mix,mix,mix,NA,NA,Australia,subtropical,Oceania,South West Pacific,mix,,,,,,,,,coastal community,agency,,consultation,neutral,no,not listened to or considered,paragraph 3.7 Governance domain,,,,,,,,,,,,,,,,,,,,,,
34,in,in,,WoS,yes,J,"Gollan, N; Barclay, K","Gollan, Natalie; Barclay, Kate",'It's not just about fish': Assessing the social impacts of marine protected areas on the wellbeing of coastal communities in New South Wales,PLOS ONE,,"Managing Marine Protected Areas (MPAs) is about managing human behaviours, but decision-making processes have traditionally focussed on ecological aspects, treating social aspects as secondary. It is now becoming more evident that an equal focus on the ecological and social aspects is required. Without the collection of information about social aspect such as impacts and sharing this as well as ecological information with communities, MPAs are at higher risk of opposition and social acceptability problems. This paper explores the development of a wellbeing framework to understand the social aspects, including the impacts of MPAs on the wellbeing of local communities. This research investigates two case study MPAs: Cape Byron and Port Stephens-Great Lakes Marine Parks in New South Wales, Australia. The MPAs are multiple-use and were implemented in 2006 and 2007, respectively. The research began with a review of the literature, followed by fieldwork, including semi-structured qualitative interviews with community members. Through thematic coding of the interview transcripts in light of the literature on assessing the social impacts of MPAs, a community wellbeing framework of domains and associated attributes was developed to investigate social impacts. Our analysis shows; first, local perspectives are crucial to understanding social impacts. Second, understanding social impacts gives insight into the nature of trade-offs that occur in decision-making regarding MPAs. Third, the intangible social impacts experienced by local communities are just as significant as the tangible ones for understanding how MPAs operate. Fourth, governance impacts have been the most influential factor affecting the social acceptability of the case study parks. We argue that failure to address negative social impacts can undermine the legitimacy of MPAs. We propose that the framework will support policymakers to work towards more effective, equitable and socially sustainable MPAs by employing much-needed monitoring of human dimensions of conservation interventions at the community level to shape adaptive management.",0,2020,10.1371/journal.pone.0244605,WOS:000605651300032,field,perception,2017,MPA,"Cape Byron, Port Stephens",10,medium,2007,PPA,,mix,mix,mix,NA,NA,Australia,subtropical,Oceania,South West Pacific,mix,,,,,,,,,coastal community,agency,,user rights,negative,no,loss of access to marine resources,table 9,,,,,,,,,,,,,,,,,,,,,,
175,in,out,,WoS,no,J,"Cabral, RB; Halpern, BS; Lester, SE; White, C; Gaines, SD; Costello, C","Cabral, Reniel B.; Halpern, Benjamin S.; Lester, Sarah E.; White, Crow; Gaines, Steven D.; Costello, Christopher",Designing MPAs for food security in open-access fisheries,SCIENTIFIC REPORTS,,"Food security remains a principal challenge in the developing tropics where communities rely heavily on marine-based protein. While some improvements in fisheries management have been made in these regions, a large fraction of coastal fisheries remain unmanaged, mismanaged, or use only crude input controls. These quasi-open-access conditions often lead to severe overfishing, depleted stocks, and compromised food security. A possible fishery management approach in these institution-poor settings is to implement fully protected marine protected areas (MPAs). Although the primary push for MPAs has been to solve the conservation problems that arise from mismanagement, MPAs can also benefit fisheries beyond their borders. The literature has not completely characterized how to design MPAs under diverse ecological and economic conditions when food security is the objective. We integrated four key biological and economic variables (i.e., fish population growth rate, fish mobility, fish price, and fishing cost) as well as an important aspect of reserve design (MPA size) into a general model and determined their combined influence on food security when MPAs are implemented in an open-access setting. We explicitly modeled open-access conditions that account for the behavioral response of fishers to the MPA; this approach is distinct from much of the literature that focuses on assumptions of scorched earth (i.e., severe over-fishing), optimized management, or an arbitrarily defined fishing mortality outside the MPA's boundaries. We found that the MPA size that optimizes catch depends strongly on economic variables. Large MPAs optimize catch for species heavily harvested for their high value and/or low harvesting cost, while small MPAs or no closure are best for species lightly harvested for their low value and high harvesting cost. Contrary to previous theoretical expectations, both high and low mobility species are expected to experience conservation benefits from protection, although, as shown previously, greater conservation benefits are expected for low mobility species. Food security benefits from MPAs can be obtained from species of any mobility. Results deliver both qualitative insights and quantitative guidance for designing MPAs for food security in open-access fisheries.",9,2019,10.1038/s41598-019-44406-w,WOS:000469318900002,model,,,MPA,,,,,,,,,,,,,,,,,,,,,,,,,fishery,food security,local,,,,,,,,,,,,,,,,,,,,,,,,,,,model
34,in,in,,WoS,yes,J,"Gollan, N; Barclay, K","Gollan, Natalie; Barclay, Kate",'It's not just about fish': Assessing the social impacts of marine protected areas on the wellbeing of coastal communities in New South Wales,PLOS ONE,,"Managing Marine Protected Areas (MPAs) is about managing human behaviours, but decision-making processes have traditionally focussed on ecological aspects, treating social aspects as secondary. It is now becoming more evident that an equal focus on the ecological and social aspects is required. Without the collection of information about social aspect such as impacts and sharing this as well as ecological information with communities, MPAs are at higher risk of opposition and social acceptability problems. This paper explores the development of a wellbeing framework to understand the social aspects, including the impacts of MPAs on the wellbeing of local communities. This research investigates two case study MPAs: Cape Byron and Port Stephens-Great Lakes Marine Parks in New South Wales, Australia. The MPAs are multiple-use and were implemented in 2006 and 2007, respectively. The research began with a review of the literature, followed by fieldwork, including semi-structured qualitative interviews with community members. Through thematic coding of the interview transcripts in light of the literature on assessing the social impacts of MPAs, a community wellbeing framework of domains and associated attributes was developed to investigate social impacts. Our analysis shows; first, local perspectives are crucial to understanding social impacts. Second, understanding social impacts gives insight into the nature of trade-offs that occur in decision-making regarding MPAs. Third, the intangible social impacts experienced by local communities are just as significant as the tangible ones for understanding how MPAs operate. Fourth, governance impacts have been the most influential factor affecting the social acceptability of the case study parks. We argue that failure to address negative social impacts can undermine the legitimacy of MPAs. We propose that the framework will support policymakers to work towards more effective, equitable and socially sustainable MPAs by employing much-needed monitoring of human dimensions of conservation interventions at the community level to shape adaptive management.",0,2020,10.1371/journal.pone.0244605,WOS:000605651300032,field,perception,2017,MPA,"Cape Byron, Port Stephens",10,medium,2007,PPA,,mix,mix,mix,NA,NA,Australia,subtropical,Oceania,South West Pacific,mix,,,,,,,,,coastal community,agency,,participation,neutral,no,inadequate engagement,table 9,,,,,,,,,,,,,,,,,,,,,,
34,in,in,,WoS,yes,J,"Gollan, N; Barclay, K","Gollan, Natalie; Barclay, Kate",'It's not just about fish': Assessing the social impacts of marine protected areas on the wellbeing of coastal communities in New South Wales,PLOS ONE,,"Managing Marine Protected Areas (MPAs) is about managing human behaviours, but decision-making processes have traditionally focussed on ecological aspects, treating social aspects as secondary. It is now becoming more evident that an equal focus on the ecological and social aspects is required. Without the collection of information about social aspect such as impacts and sharing this as well as ecological information with communities, MPAs are at higher risk of opposition and social acceptability problems. This paper explores the development of a wellbeing framework to understand the social aspects, including the impacts of MPAs on the wellbeing of local communities. This research investigates two case study MPAs: Cape Byron and Port Stephens-Great Lakes Marine Parks in New South Wales, Australia. The MPAs are multiple-use and were implemented in 2006 and 2007, respectively. The research began with a review of the literature, followed by fieldwork, including semi-structured qualitative interviews with community members. Through thematic coding of the interview transcripts in light of the literature on assessing the social impacts of MPAs, a community wellbeing framework of domains and associated attributes was developed to investigate social impacts. Our analysis shows; first, local perspectives are crucial to understanding social impacts. Second, understanding social impacts gives insight into the nature of trade-offs that occur in decision-making regarding MPAs. Third, the intangible social impacts experienced by local communities are just as significant as the tangible ones for understanding how MPAs operate. Fourth, governance impacts have been the most influential factor affecting the social acceptability of the case study parks. We argue that failure to address negative social impacts can undermine the legitimacy of MPAs. We propose that the framework will support policymakers to work towards more effective, equitable and socially sustainable MPAs by employing much-needed monitoring of human dimensions of conservation interventions at the community level to shape adaptive management.",0,2020,10.1371/journal.pone.0244605,WOS:000605651300032,field,perception,2017,MPA,"Cape Byron, Port Stephens",10,medium,2007,PPA,,mix,mix,mix,NA,NA,Australia,subtropical,Oceania,South West Pacific,mix,,,,,,,,,coastal community,agency,,decision making,neutral,no,lack of self determination and leadership in management + ignored / disempowered,"table 8, table 9",,,,,,,,,,,,,,,,,,,,,,
