ID,PDF,OUTabstract,OUTtext,outMA,Authors,AUFull,Title,Abstract,citation,year,source,data year,studytype,design,COMP,protection,Creation,Age,Size,degradationlevel,country,continent,climate,ocean,ecosystem,species,mechanism,outcome,indicator,subindicator,direction,quantitative,data origin,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD, AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControl_SD,ei,vei,comment
128,,in,out,out,"Agraz-Hernandez, CM; Chan-Keb, CA; Chavez-Barrera, J; Osti-Saenz, J; Exposito-Diaz, G; Alonso-Campos, VA; Muniz-Salazar, R; Ruiz-Fernandez, AC; Perez-Bernal, LH; Sanchez-Cabeza, JA; Rivera-Arriaga, E","Maricusa Agraz-Hernandez, Claudia; Armando Chan-Keb, Carlos; Chavez-Barrera, Julio; Osti-Saenz, Juan; Exposito-Diaz, Gilberto; Alfonso Alonso-Campos, Victor; Muniz-Salazar, Raquel; Carolina Ruiz-Fernandez, Ana; Hascibe Perez-Bernal, Libia; Albert Sanchez-",Carbon stocks in a mangrove ecosystem in northern Mexico: environmental changes for 35 years,"The carbon stock in mangroves that border the estuarine system of San Blas-Laguna Grande de Mexcaltitan, Nayarit, Mexico, during the period 1980-2015, defined 3 environmental zones considering different anthropic pressures and the amount of storage carbon",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,in,out,out,"Agraz-Hernandez, CM; Chan-Keb, CA; Muniz-Salazar, R; Perez-Balan, RA; Osti-Saenz, J; Gutierrez-Alcantara, EJ; Reyes-Castellano, JE; May-Colli, LO; Conde-Medina, KP; Ruiz-Hernandez, J","Agraz-Hernandez, C. M.; Chan-Keb, C. A.; Muniz-Salazar, R.; Perez-Balan, R. A.; Osti-Saenz, J.; Gutierrez-Alcantara, E. J.; Reyes-Castellano, J. E.; May-Colli, L. O.; Conde-Medina, K. P.; Ruiz-Hernandez, J.",RELATIONSHIP BETWEEN BLUE CARBON AND METHANE AND THE HYDROCHEMISTRY OF MANGROVES IN SOUTHEAST MEXICO,"The anthropogenic activities change hydrological pattern of mangrove ecosystems affecting their carbon accumulation and methane emissions. For this reason, the aim for this study was to estimate carbon and nitrogen quantity, in addition to methane emissio",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,in,out,out,"Aji, FB; Febrianto, S; Afiati, N","Aji, Fajar Bayu; Febrianto, Sigit; Afiati, Norma","CARBON STOCK ESTIMATION AT SEAGRASS MEADOWS IN NYAMUK ISLAND AND KEMUJAN ISLAND, NATIONAL MARINE RESERVE KARIMUNJAWA, JEPARA","Blue carbon is carbon absorbed and stored as biomass in coastal ecosystems. Seagrass meadows have the primary function of storing carbon. This study aims to determine the percentage of organic carbon content in the biomass and in the seagrass sediments, a",0,,WoS,,field,,ABS,,,,,,,,,,seagrass,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,in,out,out,"Al-Nadabi, A; Sulaiman, H","Al-Nadabi, Abdullah; Sulaiman, Hameed","Carbon Sink Potential of Avicennia marina in the Al-Qurm Nature Reserve, Muscat, Oman","Climate change is a global issue, caused by increased levels of carbon dioxide in the atmosphere resulting in many adverse effects. One of the many responses to the climate change impact is to sequester carbon dioxide from the atmosphere. Al-Qurm Nature R",2,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,yes,in,in,in,"Aller-Rojas, O; Moreno, B; Aponte, H; Zavala, J","Aller-Rojas, Oscar; Moreno, Bernabe; Aponte, Hector; Zavala, Jose",Carbon storage estimation ofLessonia trabeculatakelp beds in Southern Peru: an analysis from the San Juan de Marcona region,"Carbon storage is one of the most important ecosystem services provided by kelp beds. Laminarialean kelps are widely harvested along the Warm Temperate South-eastern Pacific coast, a marine province shared by Chile and Peru. Carbon storage assessments of ",0,2020,WoS,,field,,ABS,,,,,,Peru,South America,subtropical,South East Pacific,macroalgae,,Csequestration,STORE,,AGB,,yes,Discussion l4,Mg C ha-1,SD,,,,,,,,,4.31,3,1.56,1.56,,,,,4.31,2.4336,
583,,in,out,out,"Almulqu, AA; Kleruk, FE","Almulqu, Aah Ahmad; Kleruk, Flora EvaIina",THE ABILITY OF MANGROVE AREAS TO CONSERVES CARBON STOCK IN SEMI ARID REGION,"Above ground trees and poles biomass was estimated in Avicennie marina, Rhizophora stylosa and Sonneratia alba of mangrove forest in Oebelo, Central Kupang Regency, East Nusa Tenggara, Indonesia. The research was conducted from January 2013 to July 2013, ",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,yes,in,out,out,Alongi,,Global Significance of Mangrove Blue Carbon in Climate Change Mitigation,,,2020,ref,,systematic,,ABS,,,,,,mix,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,yes,in,in,in,Alongi,,The effect of small-scale logging on stand characteristics and soil biogeochemistry in mangrove forests of Timor Leste,,,2008,ref,2005,field,BA,COMP,protection,,,,partial,Timor Leste,Asia,tropical,South China Sea,mangrove,,Csequestration,SEQ,Cseq,ABG,positive,yes,table 1,t C ha-1,SE,,,,,,,,,155.8,9,1342,36.63331817,60.06666667,9,282.3,16.80178562,0.953118077,0.014836556,forest degradation
643,yes,in,out,out,"Alongi, DM","Alongi, Daniel M.",Carbon Cycling and Storage in Mangrove Forests,Mangroves are ecologically and economically important forests of the tropics. They are highly productive ecosystems with rates of primary production equal to those of tropical humid evergreen forests and coral reefs. Although mangroves occupy only 0.5% of,453,,WoS,,review,,ABS,,,,,,mix,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,yes,in,out,out,"Alongi, DM","Alongi, Daniel M.",Carbon sequestration in mangrove forests,"Mangrove forests are highly productive, with carbon production rates equivalent to tropical humid forests. Mangroves allocate proportionally more carbon belowground, and have higher below- to above-ground carbon mass ratios than terrestrial trees. Most ma",257,,WoS,,review,,ABS,,,,,,mix,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,,in,out,out,"Alongi, DM; Mukhopadhyay, SK","Alongi, Daniel M.; Mukhopadhyay, Sandip K.",Contribution of mangroves to coastal carbon cycling in low latitude seas,"The contribution of mangrove carbon to the coastal ocean in low latitudes was evaluated. Mangrove forests occupy only 2% of the world's coastal ocean area yet they account for about 5% of net primary production, 12% of ecosystem respiration and about 30% ",45,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,in,out,out,"Alongi, DM; Murdiyarso, D; Fourqurean, JW; Kauffman, JB; Hutahaean, A; Crooks, S; Lovelock, CE; Howard, J; Herr, D; Fortes, M; Pidgeon, E; Wagey, T","Alongi, D. M.; Murdiyarso, D.; Fourqurean, J. W.; Kauffman, J. B.; Hutahaean, A.; Crooks, S.; Lovelock, C. E.; Howard, J.; Herr, D.; Fortes, M.; Pidgeon, E.; Wagey, T.",Indonesia's blue carbon: a globally significant and vulnerable sink for seagrass and mangrove carbon,"The global significance of carbon storage in Indonesia's coastal wetlands was assessed based on published and unpublished measurements of the organic carbon content of living seagrass and mangrove biomass and soil pools. For seagrasses, median above- and ",62,,WoS,,synthesis,,ABS,,,,,,Indonesia,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,,in,out,out,"Alongi, DM; Murdiyarso, D; Fourqurean, JW; Kauffman, JB; Hutahaean, A; Crooks, S; Lovelock, CE; Howard, J; Herr, D; Fortes, M; Pidgeon, E; Wagey, T","Alongi, D. M.; Murdiyarso, D.; Fourqurean, J. W.; Kauffman, J. B.; Hutahaean, A.; Crooks, S.; Lovelock, C. E.; Howard, J.; Herr, D.; Fortes, M.; Pidgeon, E.; Wagey, T.",Indonesia's blue carbon: a globally significant and vulnerable sink for seagrass and mangrove carbon,"The global significance of carbon storage in Indonesia's coastal wetlands was assessed based on published and unpublished measurements of the organic carbon content of living seagrass and mangrove biomass and soil pools. For seagrasses, median above- and ",62,,WoS,,synthesis,,ABS,,,,,,Indonesia,,,,seagrass,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,yes,in,in,in,Andreetta,,Land use changes affecting soil organic carbon storage along a mangrove swamp rice chronosequence in the Cacheu and Oio regions (northern Guinea-Bissau),,,2016,ref,2012,field,CI,COMP,protection,,,,complete,Guinea Bissau,Africa,tropical,South East Atlantic,mangrove,,Csequestration,SEQ,Cseq,soil C,positive,yes,figure 5,Mg OC ha-1,SE,,,,,,,,,127,3,8.46,14.67,63.9,6,50.97,7.139327699,0.686867725,0.00652813,mangrove vs rice+abandoned at 60cm depth. Tandé site.
775,yes,in,in,in,Andreetta,,Land use changes affecting soil organic carbon storage along a mangrove swamp rice chronosequence in the Cacheu and Oio regions (northern Guinea-Bissau),,,2016,ref,2012,field,CI,COMP,protection,,,,complete,Guinea Bissau,Africa,tropical,South East Atlantic,mangrove,,Csequestration,SEQ,Cseq,soil C,positive,yes,figure 5,Mg OC ha-1,SE,,,,,,,,,73.5,3,9.34,16.1,38.4,6,205.5,14.33527119,0.649227947,0.039221221,mangrove vs rice+abandoned at 60cm depth. Blaftchur site.
738,,in,in,out,Angel,,Quantification of diel vertical migration by micronektonic taxa in the northeast Atlantic,,,2000,ref,,field,,ABS,,,,,,North East Atlantic,,,,fish,,Csequestration,SEQ,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,in,out,out,"Angrelina, I; Sartimbul, A; Wahyudi, AJ","Angrelina, I; Sartimbul, A.; Wahyudi, A. J.",The potential of seagrass beds on the coast of Putri Menjangan as a carbon sequestration ecosystem on Bali Island,"Seagrass beds are one of the coastal ecosystems with high productivity. Seagrass beds have also an ability to absorb carbon then store it as carbon stock. One of the potential seagrass beds located on the coast of Putri Menjangan, Regency of Buleleng, Pro",0,,WoS,,field,,ABS,,,,,,,,,,seagrass,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,,in,out,out,"Anisfeld, SC; Hill, TD","Anisfeld, Shimon C.; Hill, Troy D.",Fertilization Effects on Elevation Change and Belowground Carbon Balance in a Long Island Sound Tidal Marsh,"We report the results of a 5-year fertilization experiment in a central Long Island Sound salt marsh, aimed at understanding the impacts of high nutrient loads on marsh elevational processes. Fertilization with nitrogen led to some significant changes in ",66,,WoS,,field,,ABS,,,,,,,,,,marsh,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,in,out,out,"Aoki, LR; McGlathery, KJ; Wiberg, PL; Oreska, MPJ; Berger, AC; Berg, P; Orth, RJ","Aoki, Lillian R.; McGlathery, Karen J.; Wiberg, Patricia L.; Oreska, Matthew P. J.; Berger, Amelie C.; Berg, Peter; Orth, Robert J.",Seagrass Recovery Following Marine Heat Wave Influences Sediment Carbon Stocks,"Worldwide, seagrass meadows accumulate significant stocks of organic carbon (C), known as blue carbon, which can remain buried for decades to centuries. However, when seagrass meadows are disturbed, these C stocks may be remineralized, leading to signific",0,,WoS,,field,,ABS,,,,,,,,,,seagrass,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,yes,in,out,out,"Apostolaki, ET; Holmer, M; Marba, N; Karakassis, I","Apostolaki, Eugenia T.; Holmer, Marianne; Marba, Nuria; Karakassis, Ioannis",Reduced carbon sequestration in a Mediterranean seagrass (Posidonia oceanica) ecosystem impacted by fish farming,"We studied the relationship between sediment nutrient enrichment and carbon sequestration, using the ratio of gross primary production to respiration (P/R), in a fish-farming impacted and an unaffected Mediterranean seagrass (Posidonia oceanica) ecosystem",7,,WoS,,field,,COMP,,,,,,,,,,seagrass,,Csequestration,SEQ,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,in,out,out,"Apostolaki, ET; Vizzini, S; Santinelli, V; Kaberi, H; Andolina, C; Papathanassiou, E","Apostolaki, Eugenia T.; Vizzini, Salvatrice; Santinelli, Veronica; Kaberi, Helen; Andolina, Cristina; Papathanassiou, Evangelos",Exotic Halophila stipulacea is an introduced carbon sink for the Eastern Mediterranean Sea,Carbon and nitrogen storage in exotic Halophila stipulacea were compared to that in native Posidonia oceanica and Cymodocea nodosa meadows and adjacent unvegetated sediments of the Eastern Mediterranean Sea and to that in native H. stipulacea of the Red S,3,,WoS,,field,,ABS,,,,,,,,,,seagrass,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,in,out,out,"Archana, A; Baker, DM","Archana, Anand; Baker, David Michael",Multifunctionality of an Urbanized Coastal Marine Ecosystem,"Coastal marine ecosystems provide numerous invaluable services and benefits to humankind. However, urbanization of coastal areas has homogenized and reduced the biodiversity of the surrounding marine environment and the sustainability of the multiple ecos",0,,WoS,,field,,ABS,,,,,,,,,,BC,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,yes,in,in,in,Arifanti,,"Carbon dynamics and land use carbon footprints in mangrove-converted aquaculture: The case of the Mahakam Delta, Indonesia",,,2019,ref,,field,CI,COMP,protection,,,,complete,Indonesia,Asia,tropical,South China Sea,mangrove,,Csequestration,SEQ,Cseq,AGB+BGB+soil C,positive,yes,table 2,Mg C ha-1,SE,,,,,,,,,1023,60,87,673.8991022,499,60,56,433.7741348,0.71788867,0.019826807,mean mangrove vs mean abandoned shrimp pond
545,,in,out,out,"Armitage, AR; Fourqurean, JW","Armitage, A. R.; Fourqurean, J. W.",Carbon storage in seagrass soils: long-term nutrient history exceeds the effects of near-term nutrient enrichment,"The carbon sequestration potential in coastal soils is linked to aboveground and belowground plant productivity and biomass, which in turn, is directly and indirectly influenced by nutrient input. We evaluated the influence of longterm and near-term nutri",33,,WoS,,field,,ABS,,,,,,,,,,seagrass,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,in,out,out,"Arshad, M; Alrumman, SA; Eid, EM","Arshad, Muhammad; Alrumman, Suleiman A.; Eid, Ebrahem M.",Evaluation of carbon sequestration in the sediment of polluted and non-polluted locations of mangroves,"The government of Saudi Arabia launched the Jazan Economic City (JEC) at Baish near Jezan city in 2006. However, there is a concern that immense industrial and urban development at JEC will seriously impact the coastal mangrove habitats. To explore the re",6,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,no,in,out,out,"Artigas, F; Shin, JY; Hobble, C; Marti-Donati, A; Schafer, KVR; Pechmann, I","Artigas, Francisco; Shin, Jin Young; Hobble, Christine; Marti-Donati, Alejandro; Schaefer, Karina V. R.; Pechmann, Ildiko",Long term carbon storage potential and CO2 sink strength of a restored salt marsh in New Jersey,The study compares the amounts of carbon fixed via photosynthesis of a restored tidal marsh to the total organic carbon remaining in sediments of a natural tidal marsh and arrives at preliminary baselines for carbon sequestration and storage over time. Th,35,,WoS,,field,,COMP,,,,,,,,,,MARSH,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,,in,out,out,"Asadi, MA; Yona, D; Saputro, SE","Asadi, M. A.; Yona, D.; Saputro, S. E.","Species Diversity, Biomass, and Carbon Stock Assessments of Mangrove Forest in Labuhan, Indonesia","Mangroves provide numerous ecosystem services, including fisheries production, nutrient cycling, soil formation and carbon storage. However, the forests and their habitat have degraded rapidly due to anthropogenic threats. Consequently, the loss of carbon",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,in,out,out,"Asplund, ME; Dahl, M; Ismail, RO; Arias-Ortiz, A; Deyanova, D; Franco, JN; Hammar, L; Hoamby, AI; Linderholm, HW; Lyimo, LD; Perry, D; Rasmusson, LM; Ridgway, SN; Gispert, GS; D'Agata, S; Glass, L; Mahafina, JA; Ramahery, V; Masque, P; Bjork, M; Gullstrom","Asplund, Maria E.; Dahl, Martin; Ismail, Rashid O.; Arias-Ortiz, Ariane; Deyanova, Diana; Franco, Joao N.; Hammar, Linus; Hoamby, Arielle, I; Linderholm, Hans W.; Lyimo, Liberatus D.; Perry, Diana; Rasmusson, Lina M.; Ridgway, Samantha N.; Gispert, Gloria",Dynamics and fate of blue carbon in a mangrove-seagrass seascape: influence of landscape configuration and land-use change,"Context Seagrass meadows act as efficient natural carbon sinks by sequestering atmospheric CO2 and through trapping of allochthonous organic material, thereby preserving organic carbon (C-org) in their sediments. Less understood is the influence of landsc",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,in,out,out,"Astuty, IS; Wicaksono, P","Astuty, Indinna Shofia; Wicaksono, Pramaditya",Seagrass Species Composition and Above-Ground Carbon Stock Mapping in Parang Island using PlanetScope Image,"Seagrass beds with various species are widespread in Indonesia, where one of them is on Parang Island. The important role of seagrasses as a store of carbon stocks that prevent an increase in earth temperature makes the seagrass species composition and ca",0,,WoS,,field,,ABS,,,,,,,,,,seagrass,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,,in,out,out,"Atwood, TB; Connolly, RM; Almahasheer, H; Carnell, PE; Duarte, CM; Lewis, CJE; Irigoien, X; Kelleway, JJ; Lavery, PS; Macreadie, PI; Serrano, O; Sanders, CJ; Santos, I; Steven, ADL; Lovelock, CE","Atwood, Trisha B.; Connolly, Rod M.; Almahasheer, Hanan; Carnell, Paul E.; Duarte, Carlos M.; Lewis, Carolyn J. Ewers; Irigoien, Xabier; Kelleway, Jeffrey J.; Lavery, Paul S.; Macreadie, Peter I.; Serrano, Oscar; Sanders, Christian J.; Santos, Isaac; Stev",Global patterns in mangrove soil carbon stocks and losses,"Mangrove soils represent a large sink for otherwise rapidly recycled carbon (C). However, widespread deforestation threatens the preservation of this important C stock. It is therefore imperative that global patterns in mangrove soil C stocks and their su",167,,WoS,,review,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,yes,in,in,in,Adriano,,Organic carbon changes in the surface sediments of the Venice lagoon,,,2005,ref,,field,BA,COMP,trawling,,,,,Italy,Europe,temperate,Mediterranean,sediment,,Csequestration,SEQ,Cseq,organic carbon,negative,yes,table 1,mg cm-3,SD,11,31,3.5,3.5,,,,,6.7,31,3.2,3.2,,,,,-0.495787746,0.010624285,"Period of intense clam dredging: 1993-1998. So control = before 1993, impact = 1998"
1002,yes,in,in,in,Atkinson,,Effects of demersal trawling along the west coast of southern Africa: multivariate analysis of benthic assemblages,,,2011,ref,,field,CI,COMP,trawling,,,,,Namibia,Africa,temperate,South East Atlantic,sediment,,Csequestration,SEQ,Cseq,organic carbon,positive,yes,table 3, % OC,SE,,,,,,,,,1.48,5,0.24,0.536656315,0.64,5,0.08,0.178885438,0.83832919,0.041921567,Namibia
13,,in,out,out,"Azman, MS; Sharma, S; Shaharudin, MAM; Hamzah, ML; Adibah, SN; Zakaria, RM; MacKenzie, RA","Azman, Mohd Safwan; Sharma, Sahadev; Shaharudin, Mohd Amir Muizz; Hamzah, Maya Liyana; Adibah, Siti Noor; Zakaria, Rozainah Mohamad; MacKenzie, Richard A.","Stand structure, biomass and dynamics of naturally regenerated and restored mangroves in Malaysia","Regeneration of mangroves that occurred within Straits of Malacca over the last 35 years offers an excellent model system to examine how stand dynamics change over time. With exact stand age known, assessment of forest structure, biodiversity and biomass ",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,in,out,out,"Bai, JK; Meng, YC; Gou, RK; Lyu, JC; Dai, Z; Diao, XP; Zhang, HS; Luo, YQ; Zhu, XS; Lin, GH","Bai, Jiankun; Meng, Yuchen; Gou, Ruikun; Lyu, Jiacheng; Dai, Zheng; Diao, Xiaoping; Zhang, Hongsheng; Luo, Yiqi; Zhu, Xiaoshan; Lin, Guanghui","Mangrove diversity enhances plant biomass production and carbon storage in Hainan island, China","1. Mangrove forests, one of the highest carbon density ecosystems, are very different from other forests as they occupy saline and tidal habitats. Although previous studies in forests, shrublands and grasslands have shown a positive effect of biodiversity",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,in,out,out,"Bal, G; Banerjee, K","Bal, Gobinda; Banerjee, Kakoli","Carbon storage potential of tropical wetland forests of South Asia: a case study from Bhitarkanika Wildlife Sanctuary, India","Mangroves are halophytic vegetation comprising the tropics. Bhitarkanika Wildlife Sanctuary, being a local hotspot of mangrove, acts as carbon sink for mitigating increased CO2 level in the atmosphere. The study estimated total biomass and total carbon in",0,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,in,out,out,"Banerjee, K; Sahoo, CK; Bal, G; Mallik, K; Paul, R; Mitra, A","Banerjee, Kakoli; Sahoo, Chandan Kumar; Bal, Gobinda; Mallik, Kapileswar; Paul, Rakesh; Mitra, Abhijit",High blue carbon stock in mangrove forests of Eastern India,"Present study focuses on the carbon sequestration potential of five dominant mangrove species (Avicenia marina, Avicenia officinalis, Excoecaria agallocha, Rhizophora mucronata and Xylocarpous granatum) in Bhitarkanika and Mahanadi mangrove ecosystem. Wat",2,,WoS,,field,,ABS,,,,,,,,,,mangrove,,Csequestration,,,,,,,,,,,,,,,,,,,,,,,,,,,
