ID,OUTabstract,OUTtext,outMA,comment/justification out,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,MPAscore,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,subindicator,indicator,data origin,direction,quantitative,unit,error type,BeforeMPA_value,BeforeMPA_samplesize,BeforeMPA_errorRaw,BeforeMPA_SD,BeforeControl_value,BeforeControl_samplesize,BeforeControl_errorRaw,BeforeControl_SD, AfterMPA_value,AfterMPA_samplesize,AfterMPA_errorRaw,AfterMPA_SD,AfterControl_value,AfterControl_samplesize,AfterControl_errorRaw,AfterControl_SD,ei,vei,general comment
46,out,out,out,no assessment of temporal variability,WoS,,J,"Cheminee, Adrien; Rider, Mary; Lenfant, Philippe; Zawadzki, Audrey; Merciere, Alexandre; Crec'hriou, Romain; Mercader, Manon; Saragoni, Gilles; Neveu, Reda; Ternon, Quentin; Pastor, Jeremy","Cheminee, Adrien; Rider, Mary; Lenfant, Philippe; Zawadzki, Audrey; Merciere, Alexandre; Crec'hriou, Romain; Mercader, Manon; Saragoni, Gilles; Neveu, Reda; Ternon, Quentin; Pastor, Jeremy",Shallow rocky nursery habitat for fish: Spatial variability of juvenile fishes among this poorly protected essential habitat,MARINE POLLUTION BULLETIN,,"Coastal nursery habitats are essential for the renewal of adult fish populations. We quantified the availability of a coastal nursery habitat (shallow heterogeneous rocky bottoms) and the spatial variability of its juvenile fish populations along 250 km of the Catalan coastline (France and Spain). Nurseries were present in 27% of the coastline, but only 2% of them benefited from strict protection status. For nine taxa characteristic of this habitat, total juvenile densities varied significantly between nursery sites along the coastline, with the highest densities being found on the northern sites. Recruitment level (i.e. a proxy of nursery value) was not explained by protection level, but it was moderately and positively correlated with an anthropization index. Patterns of spatial variations were taxa-specific. Exceptional observations of four juveniles of the protected grouper Epinephelus marginatus were recorded. Our data on habitat availability and recruitment levels provides important informations which help to focus MPA management efforts. (C) 2017 Elsevier Ltd. All rights reserved.",11,2017,10.1016/j.marpolbul.2017.03.051,WOS:000403511000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,out,out,out,spatial variability,WoS,,J,"Blanco, Marta; Ospina-Alvarez, Andres; Gonzalez, Catherine; Fernandez, Miriam","Blanco, Marta; Ospina-Alvarez, Andres; Gonzalez, Catherine; Fernandez, Miriam",Egg production patterns of two invertebrate species in rocky subtidal areas under different fishing regimes along the coast of central Chile,PLOS ONE,,"Fishing is a major source of human impact, reducing density and size of a wide range of exploited species in comparison to areas exhibiting strong regulations (no-take and partially protected areas, including Territorial Use Rights for Fisheries, TURFs). Since size and density might have important consequences on reproduction, and therefore natural re-seeding, we monitored adult size, density and potential fecundity of the keyhole limpet (Fissurella latimarginata) and the red sea urchin (Loxechinus albus) in areas under two fishing regimes (TURFs and Open Access Areas, OAAs). Analyzing the distribution of suitable habitats, we predict spatial patterns of potential egg production, to identify reproductive hotspots along the central coast of Chile. The current system of TURFs in central Chile showed higher potential egg production of F. latimarginata and of L. albus than expected under a complete OAAs scenario (67 and 52% respectively). Potential egg production showed more than a twofold reduction when the complete TURFs scenario was compared against complete OAAs condition in both species. Individual size and density explained between 60% and 100% of the variability in potential egg production, suggesting the importance of the enhancement of both biological variables in TURFs in Chile. Potential egg production for both species in the northern part of the studied domain was higher due to the combined effect of (a) suitable habitat and (b) concentration of TURFs. Our results suggest that partially protected areas, such as TURFs can significantly enhance the production of propagules that could seed exploited areas.",7,2017,10.1371/journal.pone.0176758,WOS:000401313700015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,in,out,out,no MPAs,WoS,yes,J,"Sato, Taku; Hamano, Kaoru; Sugaya, Takuma; Dan, Shigeki","Sato, Taku; Hamano, Kaoru; Sugaya, Takuma; Dan, Shigeki",Effects of maternal influences and timing of spawning on intraspecific variations in larval qualities of the Kuruma prawn Marsupenaeus japonicus,MARINE BIOLOGY,,"Decreases in intraspecific variations in offspring qualities resulting from reductions in female body size in harvested populations can reduce the ability of these species to adapt to variations in environmental conditions. This, in turn, may result in greater fluctuations in recruitment of resources. In species in which offspring quality differs by female parent size, preserving differences and preventing limitations in female size among populations would be important. The effects of maternal factors on intraspecific variations in larval quality of the Kuruma prawn (Marsupenaeus japonicus) were analyzed by determining the relationships between larval variability (body size and resistance to starvation) and maternal variability (maternal body size, spawning timing, and maternal body condition) in the laboratory from June to October 2015. In addition, temporal variations in parental body size of fished M. japonicus stock were examined by field investigation for ten years between 1996 and 2010 in Bungo-suido Channel, Japan. Body size and starvation resistance of hatched larvae varied by spawning timing (spawning date) and corresponded with seasonal availability of food for larvae in the field. Larger females produced larger larvae with stronger starvation resistance. The mean size of harvested female prawns has decreased significantly over time. Stocks of M. japonicus with reduced mean female size would show reductions in intraspecific variations in quality and quantity of larvae at the population level, resulting from observed maternal influences and size-dependent female reproductive potential. If fishing activity reduces body size, marine reserves can be used as a possible management option.",7,2017,10.1007/s00227-017-3118-9,WOS:000398579400009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,in,out,out,no possible distinction of MPAs and controls,WoS,yes,J,"Zeichen, M. Manca; Finoia, M. G.; Shaw, P. J.; Robinson, I. S.; Barale, V.","Zeichen, M. Manca; Finoia, M. G.; Shaw, P. J.; Robinson, I. S.; Barale, V.",On the use of optical remote sensing to assess phytoplankton biomass dynamics in the Pelagos Sanctuary (Ligurian-Provencal Sea),REGIONAL STUDIES IN MARINE SCIENCE,,"If Marine Protected Areas (MPAs) are to aid in protecting and conserving marine ecosystems in the face of extensive and severe impacts of human activities, underpinning scientific knowledge and understanding of MPAs are imperative. This study aims to describe and evaluate phytoplankton dynamics in a pelagic Mediterranean MPA (The Pelagos International Marine Mammals Sanctuary) in the northwestern Mediterranean Sea as a means to understand better the spatial and temporal distribution of basal ecosystem resources. Ocean colour data collected by orbital remote sensing (Sea-viewing Wide Field-of-view Sensor [SeaWiFS] data) were analysed to elucidate spatial and temporal variations in the concentration of chlorophyll-like pigments (chl). Mean chl images were generated for consecutive 10-day periods, to provide quasi-continuous coverage of the study area, combined with a Principal Component Analysis and analysis of a time series (1998-2004). The chl surface patterns traced seasonal upwelling events recurring annually, demonstrating the critical role of physical oceanography in sustaining the food web of the PelagosSanctuary. Phytoplankton blooms, however, differ in terms of peak timing, spatial distribution and chl concentration, due in part to the influence of broad-scale environmental factors that are beyond direct and regional control. Further research is needed to elucidate the relationship between the biomass of primary and secondary producers to understand better the implications of phytoplankton biomass distribution in space and time for charismatic and protected biota such as cetaceans. (C) 2017 Elsevier B.V. All rights reserved.",3,2017,10.1016/j.rsma.2017.03.001,WOS:000417778800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,out,out,out,not relevant,WoS,,J,"Dares, Lauren E.; Araujo-Wang, Claryana; Yang, Shih Chu; Wang, John Y.","Dares, Lauren E.; Araujo-Wang, Claryana; Yang, Shih Chu; Wang, John Y.",Spatiotemporal heterogeneity in densities of the Taiwanese humpback dolphin (Sousa chinensis taiwanensis),ESTUARINE COASTAL AND SHELF SCIENCE,,"The inshore, estuarine distribution of Taiwanese humpback dolphins (THD) along the west coast of Taiwan puts them in direct conflict with many anthropogenic activities. We investigated the influence of environmental factors (depth, sea surface temperature (SST), salinity and distance to the nearest freshwater source) and coastal developments on THD density. Clear heterogeneity in density was found across the range of the THD, and there was significant spatial and temporal variation in mean densities. Density was not directly related to any environmental factors examined, which may be due to temporal variability and hydrological and oceanographic conditions that create, in effect, a continuous river delta along the central west coast of Taiwan rather than isolated, separate river estuaries. A high abundance of dolphins per unit of survey effort (DPUE) and mother-calf pairs per unit of survey effort (MCPUE) were found in waters adjacent to major coastal developments in which shallow waters had been filled to create new land (reclamation areas), but neither distance to, reclamation area nor distance to the nearest river were found to be significant predictors of density. Most reclamation projects in THD habitat are situated near the mouths of major rivers or result in the creation of artificial confluences of smaller rivers, streams and other freshwater outlets, such as waste outflows. Thus, dolphins appear to use these areas in the absence of high quality natural habitat that has been lost to large-scale coastal reclamation throughout their range. (C) 2016 Elsevier Ltd. All rights reserved.",5,2017,10.1016/j.ecss.2016.12.020,WOS:000399624100012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,out,out,out,not relevant,WoS,,J,"Mizrahi, Me'ira; Chapman, Jennifer K.; Gough, Charlotte L. A.; Humber, Frances; Anderson, Lucy G.","Mizrahi, Me'ira; Chapman, Jennifer K.; Gough, Charlotte L. A.; Humber, Frances; Anderson, Lucy G.",Management implications of the influence of biological variability of invasive lionfish diet in Belize,MANAGEMENT OF BIOLOGICAL INVASIONS,,"With a voracious appetite for juvenile fish and invertebrates, invasive alien red lionfish (Pterois volitans) constitute one of the greatest threats to the Caribbean's coral reefs. Although the eradication of lionfish is no longer considered possible, population suppression to site-specific densities can allow native fish populations to recover. Understanding the diet of lionfish in invaded areas is critical to understanding local impacts they pose to coral reef communities. This study explored the diet of lionfish in the northern end of the Belize Barrier Reef and tested whether biological variables (size, sex or reproductive stage) affect the diversity and/or abundance of prey species consumed. Between 2011 and 2014, 1023 lionfish were dissected and their gut contents analysed in the Bacalar Chico Marine Reserve. Gut contents analyses revealed that large sized lionfish consumed the highest abundance of prey (Mean (M)= 3.27 prey items) compared to small (M= 1.74 prey items) and medium (M= 3.15 prey items) lionfish, and that reproductive females consumed a higher abundance of prey (M= 3.66) compared to non-reproductive females of the same size (M= 2.85). As we found that medium and large lionfish are generalist predators and feed on a diverse assemblage of prey items, the effects of lionfish on the biomass of any one species may be reduced. This may enable individual prey species to have relatively stable abundances, although this hypothesis bears further testing. If management efforts are focused on improving a site-specific population of an individual prey species, such as an endemic or threatened fish, it is important to include removal efforts of small lionfish, particularly if they inhabit the same niche habitat. However, we recommend that existing lionfish focused cull dives continue using non-size discriminatory methods in order to account for site-specific, ecologically and commercially important prey items and to deter the likelihood of a successful invasion.",6,2017,10.3391/mbi.2017.8.1.06,WOS:000405239500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,in,out,out,no indicator-informed conclusion on more or less stability/variability in MPA,WoS,yes,J,"Pereira, Tadeu Jose; Manique, Joana; Quintella, Bernardo Ruivo; Castro, Nuno; de Almeida, Pedro Raposo; Costa, Jose Lino","Pereira, Tadeu Jose; Manique, Joana; Quintella, Bernardo Ruivo; Castro, Nuno; de Almeida, Pedro Raposo; Costa, Jose Lino",Changes in trophic ecology of fish assemblages after no take Marine Protected Area designation in the southwestern coast of Portugal,OCEAN & COASTAL MANAGEMENT,,"Changes in fish assemblage structure caused by human activities, such as fishing, can alter trophic relations in fish assemblages. In this context, Marine Protected Areas (MPA) are efficient tools for habitat recovery and ideal environments for evaluating changes on the trophic structure resulting from human activities. The present work targeted fish assemblages from two no-take MPAs from the northern half of South Alentejo and Costa Vicentina Marine Park, established in 2011. Previous works reported positive effects on local fish assemblages after no-take MPA designation, and it is therefore important to further study its impact on local fish assemblages, especially concerning trophic interactions. Local fish assemblages were sampled (summer 2011, winter 2012, summer 2013 and winter 2013) using trammel nets. Diets were characterized and digestive tract contents of the 10 most abundant fish species were compared between the no take MPAs (treatment) and adjacent areas (controls), and changes evaluated as a function of time since protection. Results revealed significant differences between the diets of fish from protected and non protected areas, with crabs being the preferential prey in both protected and control areas but being more ingested outside the no-take areas. However, these differences were evident since the beginning of the study. Fish assemblages from the northern area presented significantly larger niche breadth and. significantly increasing with time. This way, the main effects of no-take MPA implementation were directly visible on the niche breadth but did not directly impact the diet composition of the sampled fish assemblages, contributing however to reinforce the already naturally existent differences. This work provides important information regarding the effect of changes in the fish assemblage caused by MPA designation on the trophic ecology of fish. (C) 2016 Elsevier Ltd. All rights reserved.",5,2017,10.1016/j.ocecoaman.2016.12.019,WOS:000394077000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,out,out,out,not relevant,WoS,,J,"Glockner-Fagetti, Andrea; Benitez-Villalobos, Francisco","Glockner-Fagetti, Andrea; Benitez-Villalobos, Francisco","Spatio-temporal variation in density and size structure of the endangered sea cucumber Isostichopus fuscus in Huatulco National Park, Mexico",MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,,"The brown sea cucumber Isostichopus fuscus (Ludwig, 1875) has been subjected to strong fishing pressure and is currently considered an endangered species by the IUCN Red List of Threatened Species. Spatial and temporal variations in density were analysed and population parameters of I.fuscus were estimated in three localities of the Southern Mexican Pacific. Density was estimated using circular transects covering a 300m(2) area in each locality. Body length and weight were also measured. The mean density was 0.018 +/- 0.013individualsm(-2), and was statistically significantly lower during summer. The mean length and weight were 22.4 +/- 3.8cm and 396 +/- 130g, respectively, and statistically significant differences were found among localities. The weight-length relationship was W=0.28L(1.32) and the mean relative condition index (Kn)=1.04 +/- 0.31. The von Bertalanffy growth equationwas L-t=38.7(1-exp((-0.4<bold>t</bold>))). The lowest values of length, weight and age were found at Dos Hermanas, suggesting that this locality could be favorable for the settlement of larvae and recruitment and growth of juveniles. The present study is the second to estimate densities of I.fuscus and the first one to publish data on size structure and growth for the population at Bahias de Huatulco. The densities were so low in the three sampled localities that none of them would be able to support a fishery, even under a sustainable management scheme. The information collected in the present study could be helpful for management programs of the Huatulco National Park, as all the data used for these currently come mainly from the populations of I.fuscus in the Gulf of California.",3,2017,10.1111/maec.12386,WOS:000394580200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,out,out,out,not relevant,WoS,,J,"de Paula Costa, Micheli Duarte; Muelbert, Jose Henrique","de Paula Costa, Micheli Duarte; Muelbert, Jose Henrique",Long-term assessment of temporal variability in spatial patterns of early life stages of fishes to facilitate estuarine conservation,MARINE BIOLOGY RESEARCH,,"Estuaries are among the most productive coastal ecosystems, supporting a wide variety of marine fishes and their early stages. High spatial and temporal variability in estuaries implies that management strategies must incorporate dynamic features to be efficient. In our study, we analysed 13 years of data on ichthyoplankton from the Patos Lagoon estuary (Brazil) to assess whether temporal variability can show distinct spatial patterns of fish eggs and larval distribution and to discuss how these results can be helpful to conservation planning. Spatial patterns of fish egg and larval assemblages were evaluated using cluster analysis. Indicator taxa for each group were also calculated as a product of the relative frequency and relative average abundance in each group. In addition, we used generalized linear models to analyse fish egg and larval abundance in relation to environmental variables. Results showed that fish eggs and larvae exhibit high variability among months, years and sampling stations in the time series. Temporal occurrence and spatial distribution were mainly associated with salinity. We found distinct spatial patterns for fish eggs and larvae in the Patos Lagoon estuary. Groups identified were different among years and indicated by a distinct genus. Our results can be considered as a first exploratory step to help managers to decide which species and temporal scale should be studied in detail and incorporated in management plans. Spatial conservation planning incorporating fluctuations in abundance and assemblage structure over time may help to ensure conservation for biodiversity persistence in highly dynamic ecosystems such as the Patos Lagoon estuary.",8,2017,10.1080/17451000.2016.1213397,WOS:000395084400007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,in,out,out,pdf requested,WoS,no,J,"Gelcich, S.; Cinner, J.; Donlan, C. J.; Tapia-Lewin, S.; Godoy, N.; Castilla, J. C.","Gelcich, S.; Cinner, J.; Donlan, C. J.; Tapia-Lewin, S.; Godoy, N.; Castilla, J. C.","Fishers' perceptions on the Chilean coastal TURF system after two decades: problems, benefits, and emerging needs",BULLETIN OF MARINE SCIENCE,9th Florida-State-University William R and Lenore Mote International Symposium - Propagating TURFs into the 21st Century - The Value Constraints and limitations to Territorial use Rights in Fisheries9th Florida-State-University William R and Lenore Mote International Symposium - Propagating TURFs into the 21st Century - The Value Constraints and limitations to Territorial use Rights in Fisheries,"Territorial use rights in fisheries (TURFs) are becoming a widely promoted tool to enhance the sustainability of small-scale fisheries. In 1991, Chile established a national coastal TURF policy that gave legal authority to assign exclusive access rights to artisanal fisher organizations. In 2014, there were several hundred TURFs decreed to fisher organizations in different biophysical and socioeconomic settings. To date, research assessing TURF implementation has generally been based on a few case studies and have had mixed results. Here, we present results from a survey of 535 fishers from 55 different artisanal fisher organizations. The survey consisted of three open-ended questions that explore users' perceptions of the main problems, benefits, and improvements concerning assigned TURFs. We also sampled 55 presidents of artisanal fisher organizations to explore how they perceived the accomplishments of TURFs. Main key problems, as perceived by fishers, include increased costs associated with surveillance and poaching, and the variability and sometimes lack of financial returns. Despite strong price drops in exported species, TURFs have provided incentives for innovation and stewardship, and fishers are generally unwilling to relinquish them. In fact, fishers define TURF benefits in multiple dimensions, which include conservation/ ecological and territorial empowerment. Fisher presidents stress that although expectations of economic benefits have not been fully realized, territorial empowerment is a critical benefit. Through the analysis of fishers' perceptions on solutions to TURFs' problems, we highlight the development of stocking activities, combining TURFs with marine reserves, food traceability, and what we call BIO+ seafood-products that have associated biodiversity benefits.",51,2017,10.5343/bms.2015.1082,WOS:000393731900004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,in,out,out,no possibility to study temporal stability/variability,WoS,yes,J,"Gilby, Ben L.; Tibbetts, Ian R.; Stevens, Tim","Gilby, Ben L.; Tibbetts, Ian R.; Stevens, Tim",Low functional redundancy and high variability in Sargassum browsing fish populations in a subtropical reef system,MARINE AND FRESHWATER RESEARCH,,"Establishing levels of functional redundancy in browsing fish populations among sampling periods and across spatial gradients is important in understanding coral reef functioning. We used baited video techniques to determine functional redundancy and variability in browsing herbivores within no-take marine protected areas (MPAs) and reference fished sites across two sampling periods and four reef types (scaling from high to low coral cover) in Moreton Bay, Australia (similar to 27 degrees S, 153 degrees E). We hypothesised higher herbivore abundance and browsing rates in MPAs due to protection from fishing, but lower functional redundancy in Moreton Bay generally than in tropical reefs. The function of Sargassum browsing in Moreton Bay is conducted by a single species (rabbitfish Siganus fuscescens), which is unlikely to browse at ecologically significant rates. Siganus fuscescens abundance was variable between reef types, sampling periods and individual sites, such that their abundance and browsing rates were not higher within MPAs. Similar spatial and temporal variability was found for fish community structure, indicating that other functional roles might not be influenced by MPA protection in Moreton Bay. We highlight the importance of accounting for variability in fish communities and ecosystem processes across spatial and temporal periods in considering the influence of no-take MPAs.",10,2017,10.1071/MF15386,WOS:000395301800013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,in,out,out,no control,WoS,yes,J,"Araujo, Julio Lustosa; Bernard, Enrico","Araujo, Julio Lustosa; Bernard, Enrico",Management effectiveness of a large marine protected area in Northeastern Brazil,OCEAN & COASTAL MANAGEMENT,,"Brazil has one of the largest protected areas (PA) systems in the world but just a small fraction is devoted to the protection of marine habitats. The effectiveness and integrity of PA are being challenged and questioned worldwide and this situation is not different in Brazil. Poorly managed PA are more vulnerable to habitat loss, poaching and other threats. Alarmingly, studies have shown that just a fraction of the current PA can be considered effectively managed. Facing such scenario, studies on the effectiveness of the management of PA and especially marine PA (MPA)- become essential to enhance the role these areas play in biodiversity conservation, as well as provide useful tools for managers and decision-makers. Using the Rapid Assessment and Priorization of Protected Area Management (RAPPAM) methodology, we evaluated the management effectiveness of the largest MPA in Brazil, the Environmental Protected Area Costa dos Corals (APACC, IUCN category V). In a rare opportunity in the context of Brazil's PA system, we were able to access the management effectiveness of APACC over a 15-year period, tracking progresses, identifying strengthens and weaknesses experienced. The overall management effectiveness of APACC has improved over the last 15 years. Although there were variations, five out of 14 indicators analyzed presented improvements while nine remained stable over the years. Finance was the module that contributed the most for the general improvement of APACC. Contrary to many other PA worldwide, which face budget restrictions, APACC's financial situation is currently stable and such stability may have had a positive effect on other management modules, like Infrastructure and Outputs. Research, Monitoring and Evaluation was among modules with slower progress, which is a contradiction considering APACC is amongst the Brazilian MPA with more research. The feedback from researchers is considered poor and most of the research conducted considered not useful for management purposes. Tourism has the highest increase in criticality, being not only the biggest pressure, but also the main threat. Considering that there were improvements in other areas, increasing APACC's limited staff should be a priority for the coming years. RAPPAM proved to be a quick and easy-to-apply methodology, making it effective for temporal analysis on the management of MPA. However, caution is necessary when analyzing some of RAPPAM results. Frequent changes in the management staff, poor records of the management process and the activities adopted, and incomplete transference of information between staff members inevitably compromises the answers and the overall accuracy. RAPPAM needs in loco validation of the answers and this could be a time consuming process for large PA. For better results, RAPPAM could and should be applied together with other evaluation methods. (C) 2016 Elsevier Ltd. All rights reserved.",18,2016,10.1016/j.ocecoaman.2016.05.009,WOS:000381837700005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,in,out,out,not relevant,WoS,yes,J,"Powell, Abigail; Pelletier, Dominique; Jones, Timothy; Mallet, Delphine","Powell, Abigail; Pelletier, Dominique; Jones, Timothy; Mallet, Delphine",The impacts of short-term temporal factors on the magnitude and direction of marine protected area effects detected in reef fish monitoring,GLOBAL ECOLOGY AND CONSERVATION,,"Marine protected areas (MPA) and in particular no-take marine reserves have been identified as important tools for the conservation of reef fish and habitats. A significant challenge of reef fish monitoring is to determine the influence of temporal factors on fish counts. Fish assemblages are dynamic and changes in activity patterns throughout the day can influence the results of surveys. While many monitoring programs account for the impacts of spatial heterogeneity on fish assemblages the effects of short-term temporal variation are less well known. In the present study, we analysed data from 197 video drops inside and outside New Caledonian MPAs and examined temporal variations in various metrics commonly used to monitor marine reserves. In addition to describing short-term temporal patterns related to time of day, tide height and state, and lunar cycle; we also examined the influence of these temporal factors on the size and direction of any MPA effects detected. Fewer Serranidae were observed at full moon than the rest of the lunar cycle and there were negative correlations between Chaetodontidae and Acanthuridae abundance and tide height. We did not find any consistent effects of time of day. Generally, variation in short term temporal factors did not affect the direction MPA effects detected but did affect the size of the effects for some metrics. For both small fish abundance and species richness, bigger differences between protected and unprotected sites were detected at high tide than low tide. These results highlight how survey results can vary with timing of sampling and have implications for developing optimal monitoring programs. (C) 2016 The Authors. Published by Elsevier B.V.",5,2016,10.1016/j.gecco.2016.09.006,WOS:000413277200026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,in,out,out,no indicator-informed conclusion on more or less stability/variability in MPA,WoS,yes,J,"Jaonalison, Henitsoa; Mahafina, Jamal; Ponton, Dominique","Jaonalison, Henitsoa; Mahafina, Jamal; Ponton, Dominique",Fish post-larvae assemblages at two contrasted coral reef habitats in southwest Madagascar,REGIONAL STUDIES IN MARINE SCIENCE,,"The temporal structure of reef fish post-larvae assemblages were examined at two sites on the southwest coast of Madagascar: Nosy Ve Island, off Anakao, where every forms of fishing have been banned since 1999, and the north of the Great Barrier Reef of Toliara which has been impacted by overfishing for years. Fish post-larvae were collected using light traps during five nights of the new moon periods from August 2013 to February 2014. A total of 34 and 36 families grouping 95 and 101 different morphospecies were collected from the two sites respectively. At both sites, fish post-larvae were more abundant and diverse from December to January. Significant differences in the assemblage structure of reef fish post-larvae were detected between seasons due to the Pomacentridae (Pomachromis richardsoni and Parma spp1), Mullidae (Parupeneus spp), Siganidae (Siganus sutor) and Blenniidae (Istiblennius edentulus). The relationship between fish post-larval assemblage and abiotic factors differed between the two sites. At the Anakao site, temperature and water transparency explained 26.4% of the variability observed in fish post-larvae assemblages when at the Great Barrier Reef site, these two variables and salinity explained 20.7% only. All these results are discussed in the context of the development of post-larvae capture and culture for ornamental fish market and food fish rearing. (C) 2016 Elsevier B.V. All rights reserved.",3,2016,10.1016/j.rsma.2016.03.002,WOS:000414769800008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,out,out,out,spatial variability,WoS,,J,"Piazzi, L.; La Manna, G.; Cecchi, E.; Serena, F.; Ceccherelli, G.","Piazzi, L.; La Manna, G.; Cecchi, E.; Serena, F.; Ceccherelli, G.",Protection changes the relevancy of scales of variability in coralligenous assemblages,ESTUARINE COASTAL AND SHELF SCIENCE,,"The knowledge of natural spatial patterns of variability is crucial to discriminate between natural changes and human-induced effects and to plan monitoring programs and impact evaluation studies. The present study aimed at estimating the spatial variability of coralligenous habitat, one of the main important habitats of the Mediterranean Sea, at several spatial scales. Specifically, the following hypotheses were tested: i) the structure of coralligenous assemblage and ii) the abundance of main taxa/groups both changed among different spatial scales differently depending on protection. A hierarchical sampling design was used to study 14 localities (7 Marine Protected Areas and 7 unprotected) at multiple spatial scales through photographic recording. The study suggested that, in protected conditions, the structure of coralligenous assemblages mostly varied at small spatial scale (m apart), while the structure is similar across different localities, sites and areas, even if the abundance of the main taxa/morphological groups changed. In unprotected conditions, variability among localities was higher than among Marine Protected Areas, while an opposite trend was observed at the smaller spatial scales. (C) 2016 Elsevier Ltd. All rights reserved.",18,2016,10.1016/j.ecss.2016.03.026,WOS:000377311100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,variability,,,,,,,,,,,,,,,,,,,,,,,,,,,
