ID,OUTabstract,OUTtext,outMA,comment,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",Publication Year,DOI,UT (Unique ID),studytype,design,datayear,protection type,MPAname,MPAage,age_category,MPAcreation,MPAprotection,FPAsize,MPAsize,size_category,enforcement,country,climate,continent,ocean,ecosystem,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,subindicator,data origin,direction,quantitative,unit,errortype,MPAAvalue,MPAA_samplesize,MPAAerror,MPAA_sd,controlA_value,controlA_samplesize,controlA_error,controlA_SD,MPAB_value,MPAB_samplesize,MPAB_error,MPAB_sd,controlB_value,controlB_samplesize,controlB_error,controlB_sd,vei,ei
25,out,out,out,model that may be useful for discussion,WoS,.,J,,"Carlos Mendoza, Jose; Clemente, Sabrina; Carlos Hernandez, Jose",Modeling the role of marine protected areas on the recovery of shallow rocky reef ecosystem after a catastrophic submarine volcanic eruption,MARINE ENVIRONMENTAL RESEARCH,.,"Modeling is a useful approach to learn about the capacity of the systems to recover after disturbances. In October 2011, a submarine volcanic eruption in The Punta Restinga-Mar de Las Calmas Marine Protected Area (RMC-MPA) caused catastrophic mass mortality. We modeled the recovery dynamics of the fully protected (no-take zone), partially protected (buffer zone), and unprotected (fished zone) areas to evaluate their resilience and their potential to restore fishing resources. Recovery varied with species and levels of protection. Benthic macroalgae and parrotfish populations recovered the fastest. Piscivore fishes, macroinvertebrate feeders, and macroinvertebrate detritivores required more extended recovery periods. The levels of protection played a significant role in recovery, with the no-take zone showing more resilience than the buffer and fished zones. Our results suggest that no-take zones are crucial in the recovery process after catastrophic events. Regular monitoring of benthic communities provided the necessary data to model these communities and to point to the regulation of the artisanal fleet activity in restricted fishing areas as a mechanism to further enhance the recovery of fishing stocks.",3,2020,10.1016/j.marenvres.2020.104877,WOS:000520610400005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,mortality,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
26,in,out,out,not found,WoS,no,J,,"Mehta, R. S.; Dale, K. E.",Linking Fitness and Functional Roles Inside and Outside a Marine Protected Area Around Catalina Island,INTEGRATIVE AND COMPARATIVE BIOLOGY,.,,0,2020,,WOS:000536432400636,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
27,out,out,out,NA,WoS,.,J,,"Dwyer, Ross G.; Krueck, Nils C.; Udyawer, Vinay; Heupel, Michelle R.; Chapman, Demian; Pratt, Harold L., Jr.; Garla, Ricardo; Simpfendorfer, Colin A.",Individual and Population Benefits of Marine Reserves for Reef Sharks,CURRENT BIOLOGY,.,"No-take marine protected areas (MPAs) are a commonly applied tool to reduce human fishing impacts on marine and coastal ecosystems. However, conservation outcomes of MPAs for mobile and long-lived predators such as sharks are highly variable. Here, we use empirical animal tracking data from 459 individual sharks and baited remote underwater video surveys undertaken in 36 countries to construct an empirically supported individual-based model that estimates the conservation effectiveness of MPAs for five species of coral reef-associated sharks (Triaenodon obesus, Carcharhinus melanopterus, Carcharhinus amblyrhynchos, Carcharhinus perezi, and Ginglymostoma cirratum). We demonstrate how species-specific individual movement traits can contribute to fishing mortality of sharks found within MPAs as they move outside to adjacent fishing grounds. We discovered that the world's officially recorded coral reef-based managed areas (with a median width of 9.4 km) would need to be enforced as strict no-take MPAs and up to 5 times larger to expect protection of the majority of individuals of the five investigated reef shark species. The magnitude of this effect depended on local abundances and fishing pressure, with MPAs required to be 1.6-2.6 times larger to protect the same number of Atlantic and Caribbean species, which occur at lower abundances than similar species in the western Pacific. Furthermore, our model was used to quantify partially substantial reductions (>50%) in fishing mortality resulting from small increases in MPA size, allowing us to bridge a critical gap between traditional conservation planning and fisheries management. Overall, our results highlight the challenge of relying on abundance data alone to ensure that estimates of shark conservation impacts of MPAs follow the precautionary approach.",25,2020,10.1016/j.cub.2019.12.005,WOS:000511287900026,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
28,out,out,out,NA,WoS,.,J,,"Cerutti, Julia M. B.; Burt, April J.; Haupt, Philip; Bunbury, Nancy; Mumby, Peter J.; Schaepman-Strub, Gabriela",Impacts of the 2014-2017 global bleaching event on a protected remote atoll in the Western Indian Ocean,CORAL REEFS,.,"The third global bleaching event caused prolonged elevated sea surface temperatures from 2014 to 2017 that heavily impacted coral reefs worldwide. This study determines changes in benthic community following this bleaching event at a remote UNESCO World Heritage Site in the Western Indian Ocean. Aldabra Atoll offers a rare opportunity to study global impacts in the absence of local anthropogenic stressors. Analysis of satellite-derived temperature data indicated that Aldabra was exposed to the highest bleaching-risk intensity of the past 20 years during this bleaching event. Bleaching-risk conditions lasted from December 2015 to June 2016 close to the 4 degrees C-week threshold, when bleaching is expected. Benthic cover was established pre- and post-bleaching from 21 transects across two reef locations (lagoonal reef, 2 m depth; seaward reef, 5 and 15 m depth). From a pre-bleaching benthic community in which living corals and epilithic algal matrix (EAM) predominated, Aldabra's reefs switched to an EAM-dominated community 8 months after bleaching. Soft corals declined by 93% of their overall pre-bleaching cover to < 1%. Although overall hard-coral cover was also reduced, the decline varied among depths and might indicate local adaptations of the lagoonal reef, due to greater variability in sea surface temperature compared to the seaward reef. With the exception of Isopora palifera, all taxomorphic coral groups experienced a decline following bleaching. Overall, Rhytisma experienced a near-complete extirpation, Acroporids (excluding I. palifera) and branching Poritids declined by more than 80%, Merulinidae lost ca. 60% of their pre-bleaching cover, while massive Poritids cover slightly decreased. Aldabra's benthic community therefore underwent substantial changes following the 2014-2017 bleaching event and showed that live coral cover declines significantly even in protected areas isolated from local anthropogenic pressures.",5,2020,10.1007/s00338-019-01853-1,WOS:000511947300003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
29,out,out,out,NA,WoS,.,J,,"Kealoha, Andrea K.; Doyle, Shawn M.; Shamberger, Kathryn E. F.; Sylvan, Jason B.; Hetland, Robert D.; DiMarco, Steven F.",Localized hypoxia may have caused coral reef mortality at the Flower Garden Banks,CORAL REEFS,.,"On July 25, 2016, turbid water and dead corals, sponges and other invertebrates were discovered at the East Bank (EB) of the Flower Garden Banks (FGB) National Marine Sanctuary. Mortality was spread over 0.06 km(2), with up to 80% coral mortality reported in some areas. Within days, response efforts were underway to investigate the potential mechanisms leading to the mortality event. Hydrographic surveys, moored buoy data, and a regional hydrodynamic model were used to characterize water chemistry, hydrography, and microbial communities within the FGB. Low salinity (~ 31-33), total alkalinity (~ 2284-2330 mu mol kg(-1)), and dissolved inorganic carbon (DIC, ~ 1968-2011 mu mol kg(-1)) were detected in surface waters over the EB and eastern stations, revealing the presence of river-derived water. The Mississippi/Atchafalaya rivers were the primary sources of freshwater during the event, although Texas rivers, all of which had unusually high discharge during 2016, contributed approximately one-fifth to the total freshwater mass. At 75 m depth, high density, salinity, DIC, ammonium, and abundance of microbial taxa associated with deep waters were coincident with low temperature and aragonite saturation state at the northern and eastern stations, indicating a deeper source water at these stations. Cross-slope density gradients were also consistent with an upwelling circulation pattern. Using these observations and data, we hypothesize that the mortality event was most likely caused by the combination of two processes. The turbid freshwater layer inhibited photosynthesis, leading to net respiration of coral reef organic matter. Additionally, deep, dense waters upwelled onto the bank and formed a stratified bottom layer, which prevented re-oxygenation from the overlying water column and led to localized areas of hypoxia within pockets on the reef. Hypoxia likely formed rapidly, within two days. Moving forward, high-frequency temporal measurements of oxygen and carbonate chemistry are critical for monitoring risks (e.g., hypoxia and acidification) associated with freshwater discharge and upwelling, since these processes may adversely affect coral reef health.",5,2020,10.1007/s00338-019-01883-9,WOS:000511947300013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
30,out,out,out,NA,WoS,.,J,,"Moynes, Emily N.; Lawrence, Michael J.; Zolderdo, Aaron J.; Prystay, Tanya S.; Abrams, Alice E., I; Holder, Peter; Cooke, Steven J.",Comparative Behavior of Wild Bluegill Captured Inside and Outside of a Long-Standing Aquatic Protected Area,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,.,"In recreational fisheries it is understood that individual fish that exhibit bolder personality traits have a tendency to be removed from the population (i.e., fishing mortality via harvest or catch-and-release mortality), while more timid individuals remain. The use of aquatic protected areas (APAs) has been promoted as a means of offsetting the negative consequences that are associated with fishing mortality by protecting the full suite of phenotypes. However, little work has investigated whether APAs are able to maintain heterogeneity in behavioral traits in wild fish. We attempted to address this question by using wild Bluegill Lepomis macrochirus from Lake Opinicon, a freshwater system consisting of both an APA and heavily fished areas. The Bluegill were obtained via angling from three zones in the lake: the main lake area (i.e., fished), the APA (which has been in place since the 1940s), and a transitional zone between these two areas. In the laboratory, the Bluegill were subjected to two behavioral assessments, a Z-maze and a flight-initiation-distance (FID) test, to address differences in boldness and risk-taking between these populations. No significant effects of capture zone were detected for any of the behavioral metrics that were assessed in the maze trial. However, individuals that originated from the main lake population had significantly higher FID scores than the fish from the transitional zone and the APA did, indicating that they were more timid. Our results suggest that fisheries activities may only be acting only on specific traits, which may explain some of the null results that are presented here. Nevertheless, our study provides evidence that APAs are providing a reservoir of less timid individuals, which is consistent with an evolutionarily enlightened management strategy.",1,2020,10.1002/tafs.10218,WOS:000509654400001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
31,out,out,out,NA,WoS,.,J,,"Carballo-Bolanos, Rodrigo; Soto, Derek; Chen, Chaolun Allen",Thermal Stress and Resilience of Corals in a Climate-Changing World,JOURNAL OF MARINE SCIENCE AND ENGINEERING,.,"Coral reef ecosystems are under the direct threat of increasing atmospheric greenhouse gases, which increase seawater temperatures in the oceans and lead to bleaching events. Global bleaching events are becoming more frequent and stronger, and understanding how corals can tolerate and survive high-temperature stress should be accorded paramount priority. Here, we review evidence of the different mechanisms that corals employ to mitigate thermal stress, which include association with thermally tolerant endosymbionts, acclimatisation, and adaptation processes. These differences highlight the physiological diversity and complexity of symbiotic organisms, such as scleractinian corals, where each species (coral host and microbial endosymbionts) responds differently to thermal stress. We conclude by offering some insights into the future of coral reefs and examining the strategies scientists are leveraging to ensure the survival of this valuable ecosystem. Without a reduction in greenhouse gas emissions and a divergence from our societal dependence on fossil fuels, natural mechanisms possessed by corals might be insufficient towards ensuring the ecological functioning of coral reef ecosystems.",5,2020,10.3390/jmse8010015,WOS:000513656700009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
32,in,out,out,perception of fishers,WoS,yes,J,,"Pedro, Leitao; Henriques, Sofia; Perez-Ibarra, Irene; Trujillo, Maria; Antonio Garcia-Charton, Jose; Vasconcelos, Rita P.",Shifting baselines in a Mediterranean small-scale fishery,OCEAN & COASTAL MANAGEMENT,.,"The overexploitation of marine resources has led to a decrease in species abundance over time in many marine ecosystems worldwide. But as new fishers arise throughout the years, the perception of local abundance changes which might result in a shifting baselines syndrome. We investigated how the perception of fishers about species abundance changed through time (from 1970 to 2016) and space (five ports), through questionnaires in the small-scale/artisanal fisheries of Murcia, Spain. Two major results emerged, firstly species catches significantly decreased between the decades 1970-1990 and 2000-2016, possibly due to overfishing and habitat degradation. Catches of species with some particular functional traits decreased (96%) possibly due to lower plasticity or to a fishing down the food web effect. Secondly, some functional trait categories (very large size, deep water depth, large yearly displacements and very vagile) were the highest in the northern ports of San Pedro del Pinatar and Cartagena while Cabo de Palos had the highest values in species with solitary and territorial behaviour and vagile or sedentary mobility. Fishers' perception of catch trends of commercial species seemed aligned with other sources of information for this area and might be key information in the absence of more quantitative information.",1,2020,10.1016/j.ocecoaman.2019.104985,WOS:000502881300004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
33,out,out,out,NA,WoS,.,J,,"Le Henaff, Matthieu; Muller-Karger, Frank E.; Kourafalou, Vassiliki H.; Otis, Daniel; Johnson, Kimberley A.; McEachron, Lucas; Kang, HeeSook",Coral mortality event in the Flower Garden Banks of the Gulf of Mexico in July 2016: Local hypoxia due to cross-shelf transport of coastal flood waters?,CONTINENTAL SHELF RESEARCH,.,"Remotely sensed and in situ data, in tandem with numerical modeling, are used to explore the causes of an episode of localized but severe mortality of corals, sponges, and other invertebrates at the Flower Garden Banks (FGB) National Marine Sanctuary in July 2016. At about 190 km off the Texas coast, at the top the seamount in the East FGB, up to 82% of coral reef organisms were affected in a 1-2 m thick layer on the local seafloor at similar to 23 in depth. Analysis of available data pointed to low levels of dissolved oxygen being the most likely contributing factor in the observed mortality (Johnston et al., 2019).Observations show that upwelling-favorable winds in June and July 2016 carried brackish and turbid coastal waters across the northwestern Gulf of Mexico continental shelf to the FGB. This plume of coastal water was the result of exceptionally high precipitation and local river run-off. Field data provide clear evidence of thin, localized, subsurface near-hypoxic layers immediately below this turbid, low salinity coastal plume. These midwater layers extended over longer distances (30-40 kin), and reached further offshore (similar to 100 km), than previously reported in the region, associated with large quantities of organic matter carried offshore by the brackish plume.The surface brackish layer was observed to cover the East FGB in satellite ocean color imagery and in situ salinity measurements in late June and July 2016. Model results and sparse observations on the shelf suggest that this surface layer was similar to 20 m thick. It is expected that organic matter carried in the surface layer accumulated on the seafloor of the East FGB, which was just below the brackish plume. In the absence of ventilation, this led to the local formation of a bottom hypoxic layer, similar to what is observed on the Gulf of Mexico inner to midshelf every summer.The conditions experienced at FGB in July 2016 are likely to affect other reefs exposed to brackish plumes with high organic matter loads. The processes of physical connectivity by transport of material is critical for reef colonization and survival, but can also be fatal to coral ecosystems. The monitoring of coral reefs should take the threat of hypoxia due to distant sources of organic matter into account.",4,2019,10.1016/j.csr.2019.103988,WOS:000504520600003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
34,in,out,out,no control,WoS,yes,J,,"Wright, Rachel M.; Correa, Adrienne M. S.; Quigley, Lucinda A.; Santiago-Vazquez, Lory Z.; Shamberger, Kathryn E. F.; Davies, Sarah W.",Gene Expression of Endangered Coral (Orbicella spp.) in Flower Garden Banks National Marine Sanctuary After Hurricane Harvey,FRONTIERS IN MARINE SCIENCE,.,"About 190 km south of the Texas-Louisiana border, the East and West Flower Garden Banks (FGB) have maintained > 50% coral cover with infrequent and minor incidents of disease or bleaching since monitoring began in the 1970s. However, a mortality event, affecting 5.6 ha (2.6% of the area) of the East FGB, occurred in late July 2016 and coincided with storm-generated freshwater runoff extending offshore and over the reef system. To capture the immediate effects of storm-driven freshwater runoff on coral and symbiont physiology, we leveraged the heavy rainfall associated with Hurricane Harvey in late August 2017 by sampling FGB corals at two time points: September 2017, when surface water salinity was reduced (similar to 34 ppt); and 1 month later when salinity had returned to typical levels (similar to 36 ppt in October 2017). Tissue samples (N = 47) collected midday were immediately preserved for gene expression profiling from two congeneric coral species (Orbicella faveolata and Orbicella franksi) from the East and West FGB to determine the physiological consequences of storm-derived runoff. In the coral, differences between host species and sampling time points accounted for the majority of differentially expressed genes. Gene ontology enrichment for genes differentially expressed immediately after Hurricane Harvey indicated increases in cellular oxidative stress responses. Although tissue loss was not observed on FGB reefs following Hurricane Harvey, our results suggest that poor water quality following this storm caused FGB corals to experience sub-lethal stress. We also found dramatic expression differences across sampling time points in the coral's algal symbiont, Breviolum minutum. Some of these differentially expressed genes may be involved in the symbionts' response to changing environments, including a group of differentially expressed post-transcriptional RNA modification genes. In this study, we cannot disentangle the effects of reduced salinity from the collection time point, so these expression patterns could also be related to seasonality. These findings highlight the urgent need for continued monitoring of these reef systems to establish a baseline for gene expression of healthy corals in the FGB system across seasons, as well as the need for integrated solutions to manage stormwater runoff in the Gulf of Mexico.",4,2019,10.3389/fmars.2019.00672,WOS:000493934500001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
35,in,out,out,not after perturbation,WoS,yes,J,,"Cortes-Useche, Camilo; Israel Muniz-Castillo, Aaron; Calle-Trivino, Johanna; Yathiraj, Roshni; Ernesto Arias-Gonzalez, Jesus",Reef condition and protection of coral diversity and evolutionary history in the marine protected areas of Southeastern Dominican Republic,REGIONAL STUDIES IN MARINE SCIENCE,.,"Changes in structure and function of coral reefs are increasingly significant and few sites in the Caribbean can tolerate local and global stress factors. Therefore, we assessed coral reef condition indicators in reefs within and outside of MPAs in the southeastern Dominican Republic, considering benthic cover as well as the composition, diversity, recruitment, mortality, bleaching, the conservation status and evolutionary distinctiveness of coral species. In general, we found that reef condition indicators (coral and benthic cover, recruitment, bleaching, and mortality) within the MPAs showed better conditions than in the unprotected area (Boca Chica). Although the comparison between the Boca Chica area and the MPAs may present some spatial imbalance, these zones were chosen for the purpose of making a comparison with a previous baseline presented. In actuality these indicators found in the MPAs have improved when compared to results from previous reports (2001) in the same reefs and others in the Caribbean. Additionally, we found no evidence of massive bleaching during the El Nino-Southern Oscillation (ENSO) of 2015. Reef-building species belonging to Orbicella species complex dominate MPAs, while small colonies of Pseudodiploria strigosa and Siderastrea siderea with low structural complexity dominate the unprotected sites. Key findings include the potential offered by MPAs as a network; our results show that a combination of MPAs protect the variation in diversity and promote the conservation of coral while maintaining historical evolution traits. This study offers an evaluation framework that considers multiple aspects of relevance in the conservation of Caribbean coral reefs, presenting a baseline of ecological indicators in the southeastern region of the Dominican Republic. It also recognizes some protected reefs in this region that can be designated as places of hope, with excellent conditions in the coral community. (c) 2019 Elsevier B.V. All rights reserved.",5,2019,10.1016/j.rsma.2019.100893,WOS:000496545700041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,live cover,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,
35,in,in,out,age and size categories are estimations; protection type cannot be given because different types of protection; data year is also year of the perturbation (bleaching) so age of MPA calculated from data year,WoS,yes,J,,"Cortes-Useche, Camilo; Israel Muniz-Castillo, Aaron; Calle-Trivino, Johanna; Yathiraj, Roshni; Ernesto Arias-Gonzalez, Jesus",Reef condition and protection of coral diversity and evolutionary history in the marine protected areas of Southeastern Dominican Republic,REGIONAL STUDIES IN MARINE SCIENCE,.,"Changes in structure and function of coral reefs are increasingly significant and few sites in the Caribbean can tolerate local and global stress factors. Therefore, we assessed coral reef condition indicators in reefs within and outside of MPAs in the southeastern Dominican Republic, considering benthic cover as well as the composition, diversity, recruitment, mortality, bleaching, the conservation status and evolutionary distinctiveness of coral species. In general, we found that reef condition indicators (coral and benthic cover, recruitment, bleaching, and mortality) within the MPAs showed better conditions than in the unprotected area (Boca Chica). Although the comparison between the Boca Chica area and the MPAs may present some spatial imbalance, these zones were chosen for the purpose of making a comparison with a previous baseline presented. In actuality these indicators found in the MPAs have improved when compared to results from previous reports (2001) in the same reefs and others in the Caribbean. Additionally, we found no evidence of massive bleaching during the El Nino-Southern Oscillation (ENSO) of 2015. Reef-building species belonging to Orbicella species complex dominate MPAs, while small colonies of Pseudodiploria strigosa and Siderastrea siderea with low structural complexity dominate the unprotected sites. Key findings include the potential offered by MPAs as a network; our results show that a combination of MPAs protect the variation in diversity and promote the conservation of coral while maintaining historical evolution traits. This study offers an evaluation framework that considers multiple aspects of relevance in the conservation of Caribbean coral reefs, presenting a baseline of ecological indicators in the southeastern region of the Dominican Republic. It also recognizes some protected reefs in this region that can be designated as places of hope, with excellent conditions in the coral community. (c) 2019 Elsevier B.V. All rights reserved.",5,2019,10.1016/j.rsma.2019.100894,WOS:000496545700041,field,CI,2015,MPA,mix,6 to 40,mix,1975-2009,mix,mix,mix,small,NA,Dominican Republic,tropical,Central America,Atlantic Ocean,coral reef,invertebrate,mix,unfished,no,,,,phenotypic,,health degradation,bleaching,figure 4,neutral,yes,percentage bleaching,se,1.2,42,0.7,4.536518489,7.6,36,1.2,7.2,,,,,,,,,0.365208526,1.84582669
35,in,in,out,only old mortality taken into account because not enough data for new mortality and new mortality too related to recruits; data year is also year of the perturbation (bleaching) so age of MPA calculated from data year; OUT MA because n=2 for analysable mortality articles (ID 24 and 35) and not groupable with live cover under resistance indicator,WoS,yes,J,,"Cortes-Useche, Camilo; Israel Muniz-Castillo, Aaron; Calle-Trivino, Johanna; Yathiraj, Roshni; Ernesto Arias-Gonzalez, Jesus",Reef condition and protection of coral diversity and evolutionary history in the marine protected areas of Southeastern Dominican Republic,REGIONAL STUDIES IN MARINE SCIENCE,.,"Changes in structure and function of coral reefs are increasingly significant and few sites in the Caribbean can tolerate local and global stress factors. Therefore, we assessed coral reef condition indicators in reefs within and outside of MPAs in the southeastern Dominican Republic, considering benthic cover as well as the composition, diversity, recruitment, mortality, bleaching, the conservation status and evolutionary distinctiveness of coral species. In general, we found that reef condition indicators (coral and benthic cover, recruitment, bleaching, and mortality) within the MPAs showed better conditions than in the unprotected area (Boca Chica). Although the comparison between the Boca Chica area and the MPAs may present some spatial imbalance, these zones were chosen for the purpose of making a comparison with a previous baseline presented. In actuality these indicators found in the MPAs have improved when compared to results from previous reports (2001) in the same reefs and others in the Caribbean. Additionally, we found no evidence of massive bleaching during the El Nino-Southern Oscillation (ENSO) of 2015. Reef-building species belonging to Orbicella species complex dominate MPAs, while small colonies of Pseudodiploria strigosa and Siderastrea siderea with low structural complexity dominate the unprotected sites. Key findings include the potential offered by MPAs as a network; our results show that a combination of MPAs protect the variation in diversity and promote the conservation of coral while maintaining historical evolution traits. This study offers an evaluation framework that considers multiple aspects of relevance in the conservation of Caribbean coral reefs, presenting a baseline of ecological indicators in the southeastern region of the Dominican Republic. It also recognizes some protected reefs in this region that can be designated as places of hope, with excellent conditions in the coral community. (c) 2019 Elsevier B.V. All rights reserved.",5,2019,10.1016/j.rsma.2019.100895,WOS:000496545700041,field,CI,2015,MPA,mix,6 to 40,mix,1975-2009,mix,mix,mix,small,NA,Dominican Republic,tropical,Central America,Atlantic Ocean,coral reef,invertebrate,mix,unfished,no,,,,phenotypic,,resistance,mortality,figure 4,positive,yes,percentage old mortality,se,1.4,42,0.5,3.240370349,5.5,36,1.3,7.8,,,,,,,,,0.183418789,1.368275856
36,in,in,out,"only indicator of this type, cannot be grouped under another",WoS,yes,J,,"Beatty, Deanna S.; Valayil, Jinu Mathew; Clements, Cody S.; Ritchie, Kim B.; Stewart, Frank J.; Hay, Mark E.",Variable effects of local management on coral defenses against a thermally regulated bleaching pathogen,SCIENCE ADVANCES,.,"Bleaching and disease are decimating coral reefs especially when warming promotes bleaching pathogens, such as Vibrio coralliilyticus. We demonstrate that sterilized washes from three common corals suppress V. coralliilyticus but that this defense is compromised when assays are run at higher temperatures. For a coral within the ecologically critical genus Acropora, inhibition was 75 to 154% greater among colonies from coral-dominated marine protected areas versus adjacent fished areas that were macroalgae-dominated. Acropora microbiomes were more variable within fished areas, suggesting that reef degradation may also perturb coral microbial communities. Defenses of a robust poritid coral and a weedy pocilloporid coral were not affected by reef degradation, and microbiomes were unaltered for these species. For some ecologically critical, but bleaching-susceptible, corals such as Acropora, local management to improve reef state may bolster coral resistance to global change, such as bacteria-induced coral bleaching during warming events.",4,2019,10.1126/sciadv.aay1048,WOS:000491132700004,field,CI,2014,MPA,mix,12,old,2002 to 2003,fully,0.5 to 0.8,0.5 to 0.8,small,NA,Fiji,tropical,Oceania,Coral sea,coral reef,invertebrate,mix,unfished,no,.,.,.,phenotypic,.,health degradation,defense against pathogens,figure 1,ambiguous,yes,decimal number,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
37,out,out,out,NA,WoS,.,J,,"Johnston, Michelle A.; Hickerson, Emma L.; Nuttall, Marissa F.; Blakeway, Raven D.; Sterne, Travis K.; Eckert, Ryan J.; Schmahl, George P.","Coral bleaching and recovery from 2016 to 2017 at East and West Flower Garden Banks, Gulf of Mexico",CORAL REEFS,.,"East Flower Garden Bank (EFGB) and West Flower Garden Bank (WFGB), part of Flower Garden Banks National Marine Sanctuary (FGBNMS) in the northwestern Gulf of Mexico, support tropical coral reefs that exhibit over 50% living coral cover. These reefs have been monitored annually since 1989, and in 2016 were exposed to higher than normal seawater temperatures leading to a severe bleaching event. Corals at EFGB and WFGB showed no signs of bleaching until September 2016, occurring later in the year compared to other reefs in the Caribbean region. Coral bleaching and subsequent recovery at each bank were documented through a time series of repetitive photographs within previously established long-term monitoring stations. Preceding the event, mean live coral cover within monitoring stations was collectively 64 +/- 2%. Prior to signs of bleaching from July to September 2016, seawater temperatures on the reef were above 30 degrees C for a total of 36 d at EFGB and 21 d at WFGB. By October 2016, 67 +/- 5% of the coral cover within EFGB monitoring stations and 25 +/- 3% within WFGB monitoring stations exhibited signs of bleaching or paling stress, with dissimilarities in the amount of bleaching most likely due to significant differences in thermal profiles between banks. Significantly increasing long-term trends for daily mean seawater temperature indicate that temperatures on the banks have become warmer over time, and calculated bleaching threshold curves suggest that more than 50 d above 29.5 degrees C would initiate a bleaching year at EFGB and WFGB. Even though recovery within monitoring stations at both banks was documented with no significant declines in mean coral cover from 2016 to 2017 (64% and 62%, respectively), it is likely FGBNMS will be subject to additional and more frequent bleaching events in the future as ocean temperatures continue to rise.",7,2019,10.1007/s00338-019-01788-7,WOS:000479051100020,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,phenotypic,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,
