ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotectionBroad,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,data origin,direction,quantitative,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControlSD,ei,vei,comment
21,in,out,out,WoS,yes,J,"Koop-Jakobsen, Ketil; Gutbrod, Martin S.","Koop-Jakobsen, Ketil; Gutbrod, Martin S.",Shallow Salt Marsh Tidal Ponds An Environment With Extreme Oxygen Dynamics,FRONTIERS IN ENVIRONMENTAL SCIENCE,,"In marshes, tidal ponds are increasing in number and areal coverage. Getting a better understanding of their unique biogeochemistry is a prerequisite for foreseeing their future role in salt marsh ecosystems. Using in situ microprofiling, this study investigated the spatiotemporal dynamics of O-2, pH, and CO2 in shallow salt marsh tidal ponds in the summer time. High benthic photosynthetic activity, fueled by CO2 from the sediment, resulted in steep vertical O-2 gradients at the sediment-water interface, increasing from anoxia to extremely supersaturated peak concentrations up to 886 +/- 139 mu mol L-1 (391% atmospheric O-2 saturation) over a short distance of 6 mm. These characteristic peaks developed even at low light conditions down to 150 mu mol photons m(-2)s(-1) photosynthetically active radiation (PAR). The oxygen gradients were restricted to the layer of benthic microalgae on the sediment surface and did not extend into the water column, which was well-mixed throughout the day showing no vertical variation. The benthic photosynthesis and respiration controlled the oxygen concentration in the water column, creating net supersaturated conditions during the day and hypoxic conditions at night. The tidal ponds were generally well-buffered showing only attenuated pH fluctuations ranging from 6.2 to 7.3, and no persistent gradients built up, despite the high photosynthetic activity at the sediment water interface. CO2 accumulated in the sediment and was present in the water column during the morning hours, but depleted in the afternoon due to the high photosynthetic uptake. Tidal ponds also experienced event-driven changes in their biogeochemistry. Sea foam developed on the water surface during the day and accumulated on one side of the pond blocking light penetration and lowering oxygen concentrations under the foam. Inundation at high tide caused a short-lived temporal variation in O-2 and pH, which was restricted to the time of the flood. As the flooding water receded, the preceding O-2 and pH conditions were immediately restored. Altogether shallow tidal ponds comprise a marsh habitat with distinctive spatiotemporal oxygen dynamics driven by benthic photosynthesis and respiration, which differ from the surrounding vegetated marsh, and could drive changes in salt marsh biogeochemistry in response to increased pond coverage.",5,2019,10.3389/fenvs.2019.00137,WOS:000496941100001,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
22,in,in,out,WoS,yes,J,"Pfister, Catherine A.; Altabet, Mark A.; Weigel, Brooke L.","Pfister, Catherine A.; Altabet, Mark A.; Weigel, Brooke L.","Kelp beds and their local effects on seawater chemistry, productivity, and microbial communities",ECOLOGY,,"Kelp forests are known as key habitats for species diversity and macroalgal productivity; however, we know little about how these biogenic habitats interact with seawater chemistry and phototroph productivity in the water column. We examined kelp forest functions at three locales along the Olympic Peninsula of Washington state by quantifying carbonate chemistry, nutrient concentrations, phytoplankton productivity, and seawater microbial communities inside and outside of kelp beds dominated by the canopy kelp species Nereocystis luetkeana and Macrocystis pyrifera. Kelp beds locally increased the pH, oxygen, and aragonite saturation state of the seawater, but lowered seawater inorganic carbon content and total alkalinity. Although kelp beds depleted nitrate and phosphorus concentrations, ammonium and dissolved organic carbon (DOC) concentrations were enhanced. Kelp beds also decreased chlorophyll concentrations and carbon fixed by phytoplankton, although kelp carbon fixation more than compensated for any difference in phytoplankton production. Kelp beds entrained distinct microbial communities, with higher taxonomic and phylogenetic diversity compared to seawater outside of the kelp bed. Kelp forests thus had significant effects on seawater chemistry, productivity and the microbial assemblages in their proximity. Thereby, the diversity of pathways for carbon and nitrogen cycling was also enhanced. Overall, these observations suggest that the contribution of kelp forests to nearshore carbon and nitrogen cycling is greater than previously documented.",25,2019,10.1002/ecy.2798,WOS:000489895400006,field,CI,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,temperate,North America,North Pacific Ocean,macroalgae,NA,ecological,kelp,NA,NA,NA,NA,NA,NA,NA,NA,pH,text ,positive,no,pH unit,NA,,,,,,,,,,,,,,,,,,,no error associated to the values
23,in,out,out,WoS,yes,J,"Pendleton, Linwood; Hoegh-Guldberg, Ove; Albright, Rebecca; Kaup, Anne; Marshall, Paul; Marshall, Nadine; Fletcher, Steve; Haraldsson, Gunnar; Hansson, Lina","Pendleton, Linwood; Hoegh-Guldberg, Ove; Albright, Rebecca; Kaup, Anne; Marshall, Paul; Marshall, Nadine; Fletcher, Steve; Haraldsson, Gunnar; Hansson, Lina",The Great Barrier Reef: Vulnerabilities and solutions in the face of ocean acidification,REGIONAL STUDIES IN MARINE SCIENCE,,"As living carbonate-based structures, coral reefs are highly vulnerable to ocean acidification. The Great Barrier Reef (GBR) is the largest continuous coral reef system in the world. Its economic, social, and icon assets are valued at AU$56 billion (Deloitte Access Economics, 2017), owing to its vast biodiversity and services related to commercial and recreational fisheries, shoreline protection, and reef-related tourism and recreation. Ocean acidification poses a significant risk to these ecological and socioeconomic services, threatening not only the structural foundation of the GBR but the livelihoods of reef-dependent sectors of society. To assess the vulnerabilities of the GBR to ocean acidification, we review the characteristics of the GBR and the current valuation and factors affecting potential losses across three major areas of socioeconomic concern: fisheries, shoreline protection, and reef-related tourism and recreation. We then discuss potential solutions, both conventional and unconventional, for mitigating ocean acidification impacts on the GBR and propose a suite of actions that would help assess and increase the region's preparedness for the effects of ocean acidification. (C) 2019 Published by Elsevier B.V.",6,2019,10.1016/j.rsma.2019.100729,WOS:000485654700001,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
24,in,out,out,WoS,yes,J,"Ramajo, Laura; Lagos, Nelson A.; Duarte, Carlos M.","Ramajo, Laura; Lagos, Nelson A.; Duarte, Carlos M.",Seagrass Posidonia oceanica diel pH fluctuations reduce the mortality of epiphytic forams under experimental ocean acidification,MARINE POLLUTION BULLETIN,,"It is hypothesized that pH fluctuations produced by seagrasses metabolism may confer marine calcifiers resistance to ocean acidification. Here, we tested this thesis by comparing the net population growth rate (NPGR) of a foraminifer species (Rosalina sp.) epiphytic of Mediterranean seagrass (Posidonia oceanica) to average current and projected pH scenarios under either stable conditions or diel fluctuations in pH of 0.3 units; variations similar to that experienced in their habitat. No significant differences were found in NPGRs between the fluctuating and stable pH treatments at current pH levels. NPGRs in treatments where pH fluctuated did not present significant differences to the treatment with high and stable pH conditions. In contrast, foraminifers exposed to stable low pH regimes experienced a steep decline in NPGR. These results suggest that diel pH fluctuations generated by P. oceanica photosynthetic activity could confer resistance to ocean acidification to Rosalina sp.",3,2019,10.1016/j.marpolbul.2019.06.011,WOS:000488999000029,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
25,in,in,in,WoS,yes,J,"James, Rebecca K.; van Katwijk, Marieke M.; van Tussenbroek, Brigitta, I; van Der Heide, Tjisse; Dijkstra, Henk A.; van Westen, Rene M.; Pietrzak, Julie D.; Candy, Adam S.; Klees, Roland; Riva, Riccardo E. M.; Slobbe, Cornelis D.; Katsman, Caroline A.; Herman, Peter M. J.; Bouma, Tjeerd J.","James, Rebecca K.; van Katwijk, Marieke M.; van Tussenbroek, Brigitta, I; van Der Heide, Tjisse; Dijkstra, Henk A.; van Westen, Rene M.; Pietrzak, Julie D.; Candy, Adam S.; Klees, Roland; Riva, Riccardo E. M.; Slobbe, Cornelis D.; Katsman, Caroline A.; Herman, Peter M. J.; Bouma, Tjeerd J.",Water motion and vegetation control the pH dynamics in seagrass-dominated bays,LIMNOLOGY AND OCEANOGRAPHY,,"Global oceanic pH is lowering, which is causing great concern for the natural functioning of marine ecosystems. Current pH predictions are based on open ocean models; however, coastal zones are dynamic systems with seawater pH fluctuating temporally and spatially. To understand how coastal ecosystems will respond in the future, we first need to quantify the extent that local processes influence the pH of coastal zones. With this study, we show that over a single diurnal cycle, the total pH can fluctuate up to 0.2 units in a shallow seagrass-dominated bay, driven by the photosynthesis and respiration of the vegetation. However, these biologically controlled pH fluctuations vary significantly over small distances. Monitoring conducted at neighboring sites with contrasting hydrodynamic regimes highlights how water motion controls the extent that the local pH is altered by the metabolism of vegetation. The interactive effects of hydrodynamics and vegetation were further investigated with an in situ experiment, where the hydrodynamics were constrained and thus the local water residence time was increased, displaying the counteractive effect of hydrodynamics on the pH change caused by vegetation. With this research, we provide detailed in situ evidence of the spatial variation of pH within marine ecosystems, highlighting the need to include hydrodynamic conditions when assessing the pH-effects of vegetation, and identifying potential high-pH refuges in a future low pH ocean.",3,2020,10.1002/lno.11303,WOS:000481559800001,field,CI,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France,tropical,Central America,caribbean sea,seagrass,NA,ecological,seagrass,Thalassia testudinum,NA,NA,NA,NA,NA,NA,NA,pH,Figure 3 d-e-f,neutral,yes,pH unit,SD,,,,,,,,,8.146445498,18,0.075648151,0.075648151,8.135847815,36,0.048184828,0.048184828,0.010597683,8.04E-03,
26,in,in,out,WoS,yes,J,"Hoshijima, Umihiko; Hofmann, Gretchen E.","Hoshijima, Umihiko; Hofmann, Gretchen E.","Variability of Seawater Chemistry in a Kelp Forest Environment Is Linked to in situ Transgenerational Effects in the Purple Sea Urchin, Strongylocentrotus purpuratus",FRONTIERS IN MARINE SCIENCE,,"While the value of giant kelp (Macrocystis pyrifera) as a habitat-forming foundation species is well-understood, it is unclear how they impact the oxygen concentration and pH of the surrounding seawater, and further, how such a dynamic abiotic environment will affect eco-evolutionary dynamics in a context of global change. Here, we profiled the nearshore kelp forest environment in Southern California to understand changes in dissolved oxygen (DO) and pH with high spatiotemporal resolution. We then examined transgenerational effects using sea urchins (Strongylocentrotus putpuratus) as our study organism. Using enclosures on the benthos, we conditioned adult sea urchins in situ at two locations - one inside the kelp forest and one outside the kelp forest. After a 11-week conditioning period timed to coincide with gametogenesis in the adults, the urchins were collected, spawned, and cultures of their progeny were raised in the laboratory in order to assess their performance to simulated ocean acidification. In terms of the physical observations, we observed significant changes in DO and pH not only when comparing sites inside and outside of the kelp forest, but also between surface and benthic sensors at the same site. DO and pH at the benthos differed in mean, the amplitude of the diel signal, and in the profile of background noise of the signal. Ultimately, these results indicated that both DO and pH were more predictably variable inside of the kelp forest environment. On the biological side, we found that adult sea urchins inside the kelp forest produced more protein-rich eggs that developed into more pH-resilient embryos. Overall, this study in a temperate kelp forest ecosystem is one of the first studies to not only observe biological response to highly characterized environmental variability in situ, but also to observe such changes in a transgenerational context.",22,2019,10.3389/fmars.2019.00062,WOS:000462716300001,field,CI,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,subtropical,North America,North Pacific Ocean,macroalgae,NA,ecological,kelp,Macrocystis pyrifera,NA,NA,NA,NA,NA,NA,NA,pH,text ,ambiguous,no,pH unit,NA,,,,,,,,,,,,,,,,,,,values are in a boxplot
27,in,out,out,WoS,yes,J,"Chou, Wen-Chen; Chu, Hui-Chuan; Chen, Ying-Hsuan; Syu, Rong-Wei; Hung, Chin-Chang; Soong, Keryea","Chou, Wen-Chen; Chu, Hui-Chuan; Chen, Ying-Hsuan; Syu, Rong-Wei; Hung, Chin-Chang; Soong, Keryea",Short-term variability of carbon chemistry in two contrasting seagrass meadows at Dongsha Island: Implications for pH buffering and CO2 sequestration,ESTUARINE COASTAL AND SHELF SCIENCE,,"The diurnal cycles of carbon chemistry parameters, i.e., dissolved inorganic carbon (DIC), total alkalinity (TA), partial pressure of CO2 (pCO(2)), and pH, were investigated in two hydrodynamically contrasting seagrass meadows at Dongsha Island in the northern South China Sea in August 2015. The results show that the pH and TA were higher and that the pCO(2) was lower in the semi-enclosed inner lagoon (IL) than on the open north shore (NS). The analyses of carbon chemistry parameters vs. dissolved oxygen and TA vs. DIC relationships reveal that the CO2 dynamics was dominated by photosynthesis/respiration (P/R) alone on the NS but by the combined effect of P/R and sedimentary anaerobic pathways in the IL. We suggest that the observed divergent behaviors in carbon chemistry between the two sites could be attributed to differences in hydrodynamic regimes. The less energetic hydrodynamics and longer residence time in the IL would be favorable for the occurrence of sedimentary anaerobic TA generation and the subsequent TA accumulation in the overlying waters. The elevated TA may lead to a pH increase and a pCO(2) decrease, thus providing a buffering effect against ocean acidification (OA) and enhancing atmospheric CO2 sequestration at local scales. The present results demonstrate that hydrodynamic regime may play an important role in regulating biogeochemical processes in seagrass meadows, and thereby modulating their capacities in OA buffering and CO2 uptaking.",8,2018,10.1016/j.ecss.2018.06.006,WOS:000439740000005,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,no control is used
28,in,out,out,WoS,yes,J,"Koweek, David A.; Zimmerman, Richard C.; Hewett, Kathryn M.; Gaylord, Brian; Giddings, Sarah N.; Nickols, Kerry J.; Ruesink, Jennifer L.; Stachowicz, John J.; Takeshita, Yuichiro; Caldeira, Ken","Koweek, David A.; Zimmerman, Richard C.; Hewett, Kathryn M.; Gaylord, Brian; Giddings, Sarah N.; Nickols, Kerry J.; Ruesink, Jennifer L.; Stachowicz, John J.; Takeshita, Yuichiro; Caldeira, Ken",Expected limits on the ocean acidification buffering potential of a temperate seagrass meadow,ECOLOGICAL APPLICATIONS,,"Ocean acidification threatens many marine organisms, especially marine calcifiers. The only global-scale solution to ocean acidification remains rapid reduction in CO2 emissions. Nevertheless, interest in localized mitigation strategies has grown rapidly because of the recognized threat ocean acidification imposes on natural communities, including ones important to humans. Protection of seagrass meadows has been considered as a possible approach for localized mitigation of ocean acidification due to their large standing stocks of organic carbon and high productivity. Yet much work remains to constrain the magnitudes and timescales of potential buffering effects from seagrasses. We developed a biogeochemical box model to better understand the potential for a temperate seagrass meadow to locally mitigate the effects of ocean acidification. Then we parameterized the model using data from Tomales Bay, an inlet on the coast of California, USA which supports a major oyster farming industry. We conducted a series of month-long model simulations to characterize processes that occur during summer and winter. We found that average pH in the seagrass meadows was typically within 0.04 units of the pH of the primary source waters into the meadow, although we did find occasional periods (hours) when seagrass metabolism may modify the pH by up to +/- 0.2 units. Tidal phasing relative to the diel cycle modulates localized pH buffering within the seagrass meadow such that maximum buffering occurs during periods of the year with midday low tides. Our model results suggest that seagrass metabolism in Tomales Bay would not provide long-term ocean acidification mitigation. However, we emphasize that our model results may not hold in meadows where assumptions about depth-averaged net production and seawater residence time within the seagrass meadow differ from our model assumptions. Our modeling approach provides a framework that is easily adaptable to other seagrass meadows in order to evaluate the extent of their individual buffering capacities. Regardless of their ability to buffer ocean acidification, seagrass meadows maintain many critically important ecosystem goods and services that will be increasingly important as humans increasingly affect coastal ecosystems.",28,2018,10.1002/eap.1771,WOS:000446009900003,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,the results are based on model outcomes
29,in,out,out,WoS,yes,J,"Cattano, Carlo; Claudet, Joachim; Domenici, Paolo; Milazzo, Marco","Cattano, Carlo; Claudet, Joachim; Domenici, Paolo; Milazzo, Marco",Living in a high CO2 world: a global meta-analysis shows multiple trait-mediated fish responses to ocean acidification,ECOLOGICAL MONOGRAPHS,,"Understanding how marine organisms will be affected by global change is of primary importance to ensure ecosystem functioning and nature contributions to people. This study meets the call for addressing how life-history traits mediate effects of ocean acidification on fish. We built a database of overall and trait-mediated responses of teleost fish to future CO2 levels by searching the scientific literature. Using a meta-analytical approach, we investigated the effects of projected CO2 levels by IPCC for 2050-2070 and 2100 on fish eco-physiology and behavior from 320 contrasts on 42 species, stemming from polar to tropical regions. Moreover, since organisms may experience a mosaic of carbonate chemistry in coastal environments (e.g., in estuaries, upwelling zones and intertidal habitats), which may have higher pCO(2) values than open ocean waters, we assessed responses from additional 103 contrasts on 21 fish species using pCO(2) levels well above IPCC projections. Under mid-century and end-of-century CO2 emission scenarios, we found multiple CO2-dose-dependent effects on calcification, resting metabolic rate, yolk, and behavioral performances, along with increased predation risk and decreased foraging, particularly for larvae. Importantly, many of the traits considered will not confer fish tolerance to elevated CO2 and far-reaching ecological consequences on fish population replenishment and community structure will likely occur. Extreme CO2 levels well above IPCC projections showed effects on fish mortality and calcification, while growth, metabolism, and yolk were unaffected. CO2 exposures in short-term experiments increased fish mortality, which in turn decreased in longer-term exposures. Whatever the elevated CO2 levels considered, some key biological processes (e.g., reproduction, development, habitat choice) were critically understudied. Fish are an important resource for livelihoods in coastal communities and a key component for stability of marine ecosystems. Given the multiple trait-mediated effects evidenced here, we stress the need to fill the knowledge gap on important eco-physiological processes and to expand the number and duration of ocean acidification studies to multi-generational, multiple stressor (e.g., warming, hypoxia, fishing), and species interactions experiments to better elucidate complex ecosystem-level changes and how these changes might alter provisioning of ecosystem services.",67,2018,10.1002/ecm.1297,WOS:000440407000003,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
30,out,out,out,WoS,,J,"Perez, D., I; Phinn, S. R.; Roelfsema, C. M.; Shaw, E.; Johnston, L.; Iguel, J.","Perez, D., I; Phinn, S. R.; Roelfsema, C. M.; Shaw, E.; Johnston, L.; Iguel, J.",Primary Production and Calcification Rates of Algae-Dominated Reef Flat and Seagrass Communities,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,,"Monitoring variability in coral reef primary production and calcification is needed to understand changes over time and between reef systems, which helps separate differences due to natural and/or anthropogenic factors happening now and in the future. This study measured net productivity and calcification for two reef systems at Shark Bay, Heron Reef in the southern Great Barrier Reef and Saipan Lagoon, Commonwealth of the Northern Mariana Islands. Net primary productivity and calcification were strongly correlated for reef flats with an adjusted R-2 = 0.66. Night time dissolution occurred at Shark Bay reef flat with an average of -12.66 mmol CaCO3 . m(2) . hr(-1), while calcification increased at night for the Saipan reef flat. For both reef flat sites, net productivity from oxygen flux was much lower than rates calculated from change in dissolved inorganic carbon. This study provided the first baseline estimates of net productivity and calcification for a reef flat and seagrass community in Saipan Lagoon. The seagrass community had the lowest productivity of all sites. However, the high presence of calcareous algae at the site highlights the need for more research on the carbonate chemistry of these habitats. All sites had high net productivity that was most likely associated with the dominant presence of algae.",9,2018,10.1029/2017JG004241,WOS:000445731100005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,in,out,out,WoS,yes,J,"Cyronak, Tyler; Andersson, Andreas J.; D'Angelo, Sydney; Bresnahan, Philip; Davidson, Charles; Griffin, Alyssa; Kindeberg, Theodor; Pennise, Jimmy; Takeshita, Yuichiro; White, Margot","Cyronak, Tyler; Andersson, Andreas J.; D'Angelo, Sydney; Bresnahan, Philip; Davidson, Charles; Griffin, Alyssa; Kindeberg, Theodor; Pennise, Jimmy; Takeshita, Yuichiro; White, Margot",Short-Term Spatial and Temporal Carbonate Chemistry Variability in Two Contrasting Seagrass Meadows: Implications for pH Buffering Capacities,ESTUARIES AND COASTS,,"It has been hypothesized that highly productive coastal ecosystems, such as seagrass meadows, could lead to the establishment of ocean acidification (OA) refugia, or areas of elevated pH and aragonite saturation state (Omega(a)) compared to source seawater. However, seagrass ecosystems experience extreme variability in carbonate chemistry across short temporal and small spatial scales, which could impact the pH buffering capacity of these potential refugia. Herein, short-term (hourly to diel) and small-scale (across 0.01-0.14 km(2)) spatiotemporal carbonate chemistry variability was assessed within two seagrass meadows in order to determine their short-term potential to elevate seawater pH relative to source seawater. Two locations at similar latitudes were chosen in order to compare systems dominated by coarse calcium carbonate (Bailey's Bay, Bermuda) and muddy silicate (Mission Bay, CA, USA) sediments. In both systems, spatial variability of pH across the seagrass meadow at any given time was often greater than diel variability (e.g., the average range over 24 h) at any one site, with greater spatial variability occurring at low tide in Mission Bay. Mission Bay (spatial Delta pH = 0.08 +/- 0.08; diel Delta pH = 0.12 +/- 0.01; mean +/- SD) had a greater average range in both temporal and spatial seawater chemistry than Bailey's Bay (spatial Delta pH = 0.02 +/- 0.01; diel Delta pH = 0.03 +/- 0.00; mean +/- SD). These differences were most likely due to a combination of slower currents, a larger tidal range, and more favorable weather conditions for photosynthesis (e.g., sunny with no rain) in Mission Bay. In both systems, there was a substantial amount of time (usually at night) when seawater pH within the seagrass beds was lower relative to the source seawater. Future studies aimed at assessing the potential of seagrass ecosystems to act as OA refugia for marine organisms need to account for the small-scale, high-frequency carbonate chemistry variability in both space and time, as this variability will impact where and when OA will be buffered or intensified.",27,2018,10.1007/s12237-017-0356-5,WOS:000433916300005,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,there are seagrass beds in the control
32,in,out,out,WoS,yes,J,"Takeshita, Yuichiro; Cyronak, Tyler; Martz, Todd R.; Kindeberg, Theodor; Andersson, Andreas J.","Takeshita, Yuichiro; Cyronak, Tyler; Martz, Todd R.; Kindeberg, Theodor; Andersson, Andreas J.",Coral Reef Carbonate Chemistry Variability at Different Functional Scales,FRONTIERS IN MARINE SCIENCE,,"There is a growing recognition for the need to understand how seawater carbonate chemistry over coral reef environments will change in a high-CO2 world to better assess the impacts of ocean acidification on these valuable ecosystems. Coral reefs modify overlying water column chemistry through biogeochemical processes such as net community organic carbon production (NCR) and calcification (NCC). However, the relative importance and influence of these processes on seawater carbonate chemistry vary across multiple functional scales (defined here as space, time, and benthic community composition), and have not been fully constrained. Here, we use Bermuda as a case study to assess (1) spatiotemporal variability in physical and chemical parameters along a depth gradient at a rim reef location, (2) the spatial variability of total alkalinity (TA) and dissolved inorganic carbon (DIC) over distinct benthic habitats to infer NCC:NCP ratios [< several km(2); rim reef vs. seagrass and calcium carbonate (CaCO3) sediments] on diel timescales, and (3) compare how TA-DIC relationships and NCC:NCP vary as we expand functional scales from local habitats to the entire reef platform (10's of km(2)) on seasonal to interannual timescales. Our results demonstrate that TA-DIC relationships were strongly driven by local benthic metabolism and community composition over diel cycles. However, as the spatial scale expanded to the reef platform, the TA-DIC relationship reflected processes that were integrated over larger spatiotemporal scales, with effects of NCC becoming increasingly more important over NCR. This study demonstrates the importance of considering drivers across multiple functional scales to constrain carbonate chemistry variability over coral reefs.",29,2018,10.3389/fmars.2018.00175,WOS:000457150500002,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
33,in,in,out,WoS,yes,J,"Bracken, Matthew E. S.; Silbiger, Nyssa J.; Bernatchez, Genevieve; Sorte, Cascade J. B.","Bracken, Matthew E. S.; Silbiger, Nyssa J.; Bernatchez, Genevieve; Sorte, Cascade J. B.",Primary producers may ameliorate impacts of daytime CO2 addition in a coastal marine ecosystem,PEERJ,,"Predicting the impacts of ocean acidification in coastal habitats is complicated by biophysical feedbacks between organisms and carbonate chemistry. Daily changes in pH and other carbonate parameters in coastal ecosystems, associated with processes such as photosynthesis and respiration, often greatly exceed global mean predicted changes over the next century. We assessed the strength of these feedbacks under projected elevated CO2 levels by conducting a field experiment in 10 macrophyte-dominated tide pools on the coast of California, USA. We evaluated changes in carbonate parameters over time and found that under ambient conditions, daytime changes in pH, pCO(2), net ecosystem calcification (NEC), and O-2 concentrations were strongly related to rates of net community production (NCP). CO2 was added to pools during daytime low tides, which should have reduced pH and enhanced pCO(2). However, photosynthesis rapidly reduced pCO(2) and increased pH, so effects of CO 2 addition were not apparent unless we accounted for seaweed and surfgrass abundances. In the absence of macrophytes, CO2 addition caused pH to decline by similar to 0.6 units and pCO(2) to increase by similar to 487 mu atm over 6 hr during the daytime low tide. As macrophyte abundances increased, the impacts of CO2 addition declined because more CO2 was absorbed due to photosynthesis. Effects of CO2 addition were, therefore, modified by feedbacks between NCP, pH, pCO(2), and NEC. Our results underscore the potential importance of coastal macrophytes in ameliorating impacts of ocean acidification.",4,2018,10.7717/peerj.4739,WOS:000432016000005,field,CI,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,United States,subtropical,North America,North Pacific Ocean,macroalgae,NA,ecological,kelp and seagrass,mix,NA,NA,NA,NA,NA,NA,NA,pH,text,positive,no,pH unit,NA,,,,,,,,,,,,,,,,,,,no usable data
34,in,out,out,WoS,yes,J,"Noisette, Fanny; Hurd, Catriona","Noisette, Fanny; Hurd, Catriona",Abiotic and biotic interactions in the diffusive boundary layer of kelp blades create a potential refuge from ocean acidification,FUNCTIONAL ECOLOGY,,"1. Seaweeds are able to modify the chemical environment at their surface, in a micro-zone called the diffusive boundary layer (DBL), via their metabolic processes controlled by light intensity. Depending on the thickness of the DBL, sessile invertebrates such as calcifying bryozoans or tube-forming polychaetes living on the surface of the blades can be affected by the chemical variations occurring in this microlayer. Especially in the context of ocean acidification (OA), these microhabitats might be considered as a refuge from lower pH, because during the day photosynthesis temporarily raises the pH to values higher than in the mainstream seawater.2. We assessed the thickness and the characteristics of the DBL at two pH levels (today's average surface ocean pH 8.1 and a reduced pH predicted for the end of the century, pH 7.7) and seawater flows (slow, 0.5 and fast, > 8 cm/s) on Ecklonia radiata (kelp) blades. Oxygen and pH profiles from the blade surface to the mainstream seawater were measured with O-2 and pH microsensors for both bare blades and blades colonized by the bryozoan Membranipora membranacea.3. The DBL was thicker in slow flow compared with fast flow and the presence of bryozoans increased the DBL thickness and shaped the DBL gradient in dark conditions. Net production was increased in the low pH condition, increasing the amount of oxygen in the DBL in both bare and epiphytized blades. This increase drove the daily pH fluctuations at the blade surface, shifting them towards higher values compared with today's pH. The presence of bryozoans led to lower oxygen concentrations in the DBL and more complex pH fluctuations at the blade surface, particularly at pH 7.7.4. Overall, this study, based on microprofiles, shows that, in slow flow, DBL micro-environments at the surface of the kelps may constitute a refuge from OA with pH values higher than those of the mainstream seawater. For calcifying organisms, it could also represent training ground for harsh conditions, with broad daily pH and oxygen fluctuations. These chemical microenvironments, biologically shaped by the macrophytes, are of great interest for the resilience of coastal ecosystems in the context of global change.",24,2018,10.1111/1365-2435.13067,WOS:000431991700018,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,"the experimental design doesn't match with our interest, no usable data or direction"
