ID,OUTabstract,OUTtext,outMA,source,PDF,Publication Type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",year,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotectionBroad,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,subgroup,socioeco,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,data origin,direction,quantitative,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD,AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControlSD,ei,vei,OUTabstract,OUTtext,comment
67,in,in,in,WoS,yes,J,"Villamor, Adriana; Becerro, Mikel A.","Villamor, Adriana; Becerro, Mikel A.","Species, trophic, and functional diversity in marine protected and non-protected areas",JOURNAL OF SEA RESEARCH,,"The number of Marine Protected Areas (MPAs) has grown exponentially in the last decades as marine environments steadily deteriorate. The success of MPAs stems from the overall positive benefits attributed to the reserve effect, the totality of the consequences of protecting marine systems. The reserve effect includes but is beyond the goal of protecting particular species or areas with economical or cultural value. However, most data on the effects of MPAs focus on target species and there is limited evidence for the consequences of protection at larger levels of organization. Quantitative information on the reserve effect remains elusive partly because of its complex nature. Data on biodiversity can be used to quantify the reserve effect if not restricted to specific taxonomic groups. In our study, we quantified species diversity, trophic diversity, and an approach to functional diversity in five MPAs and adjacent non-protected areas along the Mediterranean coast of Spain. Our three measures of diversity were based on the abundance of algae, fish, sessile and mobile invertebrates in shallow water rocky communities and could be used to estimate the reserve effect based on species, trophic levels, or functional roles. We tested the hypothesis that species, trophic, and functional diversity were higher in protected areas than in adjacent non-protected areas. Species diversity varied with geographic area but not with protection status. However, we found higher functional diversity inside MPAs. Also, the effect of protection on functional diversity varied as a function of the geographic area. Our results support the uniqueness of MPAs at a species level and the universality of the reserve effect at the level of the trophic groups' composition. This type of comprehensive ecological approach may broaden our understanding of MPAs and their efficiency as management tools. (c) 2012 Elsevier B.V. All rights reserved.",21,2012,10.1016/j.seares.2012.07.004,WOS:000309032600012,field,CI,2008,MPA,Cap de Creus,10,medium,1998,FPA,fully,30.04,30.04,large,NA,Spain,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,,,biodiversity,,shannon,Figure 2,neutral,yes,number,SE,,,,,,,,,2.49,3.00,0.35,0.601207718,2.55785124,3,0.148760331,0.257660451,-0.026188076,0.035659854,,,the indicator used is the shanon index
67,in,in,in,WoS,yes,J,"Villamor, Adriana; Becerro, Mikel A.","Villamor, Adriana; Becerro, Mikel A.","Species, trophic, and functional diversity in marine protected and non-protected areas",JOURNAL OF SEA RESEARCH,,"The number of Marine Protected Areas (MPAs) has grown exponentially in the last decades as marine environments steadily deteriorate. The success of MPAs stems from the overall positive benefits attributed to the reserve effect, the totality of the consequences of protecting marine systems. The reserve effect includes but is beyond the goal of protecting particular species or areas with economical or cultural value. However, most data on the effects of MPAs focus on target species and there is limited evidence for the consequences of protection at larger levels of organization. Quantitative information on the reserve effect remains elusive partly because of its complex nature. Data on biodiversity can be used to quantify the reserve effect if not restricted to specific taxonomic groups. In our study, we quantified species diversity, trophic diversity, and an approach to functional diversity in five MPAs and adjacent non-protected areas along the Mediterranean coast of Spain. Our three measures of diversity were based on the abundance of algae, fish, sessile and mobile invertebrates in shallow water rocky communities and could be used to estimate the reserve effect based on species, trophic levels, or functional roles. We tested the hypothesis that species, trophic, and functional diversity were higher in protected areas than in adjacent non-protected areas. Species diversity varied with geographic area but not with protection status. However, we found higher functional diversity inside MPAs. Also, the effect of protection on functional diversity varied as a function of the geographic area. Our results support the uniqueness of MPAs at a species level and the universality of the reserve effect at the level of the trophic groups' composition. This type of comprehensive ecological approach may broaden our understanding of MPAs and their efficiency as management tools. (c) 2012 Elsevier B.V. All rights reserved.",21,2012,10.1016/j.seares.2012.07.003,WOS:000309032600012,field,CI,2008,MPA,Cabo de Palos,13,old,1995,FPA,fully,2.7,19.31,large,yes,Spain,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,,,biodiversity,,shannon,Figure 2,neutral,yes,number,SE,,,,,,,,,1.71,3.00,0.08,0.143144695,1.681818182,3,0.066115702,0.114515756,0.019465335,0.01777058,,,the indicator used is the shanon index
72,in,in,in,WoS,yes,J,"Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos","Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos",Gradients of abundance and biomass across reserve boundaries in six Mediterranean marine protected areas: Evidence of fish spillover?,BIOLOGICAL CONSERVATION,,"Marine protected areas (MPAs) are considered as an effective tool in marine coastal management, and considered able to enhance local fisheries through adult fish spillover. Indirect evidence of fish spillover could be obtained by horizontal gradients in fish abundance. To address this question, the existence of gradients of fish abundance and biomass across marine reserve boundaries was assessed in six Mediterranean WAS using underwater visual censuses performed at various distances from the core of the MPA, in integral reserve (IR), to buffer zone (BZ) and fished areas. A reserve effect was evidenced with higher values of fish species richness (x1.1), abundance (x1.3), and biomass (x4.7) recorded inside MPAs compared to adjacent fished areas. Linear correlations revealed significant negative gradients in mean fish biomass in all the reserves studied after the effect of habitat had been removed, whereas negative gradients in abundance were less conspicuous. Generalized additive models suggested two main patterns of biomass gradients, with a sharp decrease at the IR-BZ boundary or at the BZ-fished area boundary. It was estimated that fish spillover beneficial to local fisheries occurred mostly at a small spatial scale (100s of metres). The existence of regular patterns of negative fish biomass gradients from within WAS to fished areas was consistent with the hypothesis of adult fish biomass spillover processes from marine reserves and could be considered as a general pattern in this Mediterranean region. (C) 2008 Elsevier Ltd. All rights reserved.",136,2008,10.1016/j.biocon.2008.04.029,WOS:000258306300010,field,CI,2004,MPA,Medes Island,21,old,1983,PPA,poorly,0.92,4.18,medium,yes,Spain,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,,,biodiversity,,species richness,Table 2,positive,yes,number,SD,,,,,,,,,13.80,72.00,3.60,3.6,10.2,54,2.4,2.4,0.302280872,0.001970426,,,
68,in,in,out,WoS,,J,"Fenberg, Phillip B.; Caselle, Jennifer E.; Claudet, Joachim; Clemence, Michaela; Gaines, Steven D.; Antonio Garcia-Charton, Jose; Goncalves, Emanuel J.; Grorud-Colvert, Kirsten; Guidetti, Paolo; Jenkins, Stuart R.; Jones, Peter J. S.; Lester, Sarah E.; McAllen, Rob; Moland, Even; Planes, Serge; Sorensen, Thomas K.","Fenberg, Phillip B.; Caselle, Jennifer E.; Claudet, Joachim; Clemence, Michaela; Gaines, Steven D.; Antonio Garcia-Charton, Jose; Goncalves, Emanuel J.; Grorud-Colvert, Kirsten; Guidetti, Paolo; Jenkins, Stuart R.; Jones, Peter J. S.; Lester, Sarah E.; McAllen, Rob; Moland, Even; Planes, Serge; Sorensen, Thomas K.","The science of European marine reserves: Status, efficacy, and future needs",MARINE POLICY,,"The ecologically and socio-economically important marine ecosystems of Europe are facing severe threats from a variety of human impacts. To mitigate and potentially reverse some of these impacts, the European Union (EU) has mandated the implementation of the Marine Strategy Framework Directive (MSFD) in order to achieve Good Environmental Status (GES) in EU waters by 2020. The primary initiative for achieving GES is the implementation of coherent networks of marine protected areas (MPAs). Marine reserves are an important type of MPA in which no extraction is allowed, but their usefulness depends upon a number of ecological, management, and political factors. This paper provides a synthesis of the ecological effects of existing European marine reserves and the factors (social and ecological) underlying their effectiveness. Results show that existing European marine reserves foster significant positive increases in key biological variables (density, biomass, body size, and species richness) compared with areas receiving less protection, a pattern mirrored by marine reserves around the globe. For marine reserves to achieve their ecological and social goals, however, they must be designed, managed, and enforced properly. In addition, identifying whether protected areas are ecologically connected as a network, as well as where new MPAs should be established according to the MSFD, requires information on the connectivity of populations across large areas. The adoption of the MSFD demonstrates willingness to achieve the long-term protection of Europe's marine ecosystems, but whether the political will (local, regional, and continent wide) is strong enough to see its mandates through remains to be seen. Although the MSFD does not explicitly require marine reserves, an important step towards the protection of Europe's marine ecosystems is the establishment of marine reserves within wider-use MPAs as connected networks across large spatial scales. (C) 2012 Elsevier Ltd. All rights reserved.",116,2012,10.1016/j.marpol.2012.02.021,WOS:000305105800009,metaanalysis,,,MPA,mix,NA,NA,NA,FPA,fully,NA,NA,NA,NA,,,Europe,Mediterranean sea,mix,,ecological,fish,,,,,,,biodiversity,,species richness,3.1. Ecological effectiveness: meta-analysis of European marine reserves,positive,,,,,,,,,,,,,,,,,,,,,,,,synthesis based on field studies
69,out,out,out,WoS,,J,"de Souza, Cynthia Diniz; Batista, Vandick da Silva; Fabre, Nidia Noemi","de Souza, Cynthia Diniz; Batista, Vandick da Silva; Fabre, Nidia Noemi","CHARACTERIZATION OF THE FISHERY IN THE SOUTH OF ENVIRONMENTAL PROTECTION AREA OF COSTA DOS CORAIS, ALAGOAS STATE, BRAZIL",BOLETIM DO INSTITUTO DE PESCA,,"Northeast region marine coast have stocks of low abundance but high species richness and commercial value, however there is few published information about its characteristics in reef protected areas. The objective was to characterize the fishery in the south region of the Costa dos Corais marine protected area (MPA), and evaluate the effect of the MPA existence in the fishery yield of the artisanal fishing fleet of Paripueira, Alagoas. Fishermen was interviewed from June to September 2007 about fishing grounds, yields and fisheries characteristics. Fishermen used 37 fishing grounds inside and 11 outside of the protected area. Gillnet and hook and line fishing were the most frequent fishing gears. Fishermen cited 87 species and 41 families, predominantly pelagic species. The highest fishing yield estimated by Catch per Unit Effort (CPUE) index was found to motorboats within the Costa dos Corais, using gillnet and line.",1,2012,,WOS:000305983700006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,data collected by interviewing fishermen
70,in,out,out,WoS,,J,"Venter, Jan A.; Mann, Bruce Q.","Venter, Jan A.; Mann, Bruce Q.","Preliminary assessment of surf-zone and estuarine line-fish species of the Dwesa-Cwebe Marine Protected Area, Eastern Cape, South Africa",KOEDOE,,"A preliminary assessment of surf-zone and estuarine line fish was carried out in the Dwesa-Cwebe Marine Protected Area (MPA), on the Wild Coast, South Africa. The purpose was to provide baseline data on inshore line-fish stocks in the MPA. A total of 28 species was recorded, of which 53% have a conservation status reflecting some concern and 43% are endemic to southern Africa. This highlights the value of the MPA for protection of important line-fish species. Within the MPA, localised differences were detected in species diversity, size frequency and catch per unit effort between unexploited and illegally exploited areas. These differences were more prominent in slow growing, long-lived species. It thus appears that illegal exploitation is negatively affecting fish populations within the MPA, which counteract and potentially could eliminate the benefits of fish protection typically associated with no-take MPAs. These results highlight the need for improved law enforcement and better communication with neighbouring communities to increase awareness. It is further recommended that the current no-take status of the MPA should be maintained. In addition, baseline fisheries information was collected on certain fish species that could be used to inform future conservation management of the MPA.",11,2012,10.4102/koedoe.v54i1.1059,WOS:000326033200005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,no value of interest
71,in,out,out,WoS,,J,"Mouillot, David; Albouy, Camille; Guilhaumon, Francois; Lasram, Frida Ben Rais; Coll, Marta; Devictor, Vincent; Meynard, Christine N.; Pauly, Daniel; Tomasini, Jean Antoine; Troussellier, Marc; Velez, Laure; Watson, Reg; Douzery, Emmanuel J. P.; Mouquet, Nicolas","Mouillot, David; Albouy, Camille; Guilhaumon, Francois; Lasram, Frida Ben Rais; Coll, Marta; Devictor, Vincent; Meynard, Christine N.; Pauly, Daniel; Tomasini, Jean Antoine; Troussellier, Marc; Velez, Laure; Watson, Reg; Douzery, Emmanuel J. P.; Mouquet, Nicolas",Protected and Threatened Components of Fish Biodiversity in the Mediterranean Sea,CURRENT BIOLOGY,,"The Mediterranean Sea (0.82% of the global oceanic surface) holds 4%-18% of all known marine species (similar to 17,000), with a high proportion of endemism [1, 2]. This exceptional biodiversity is under severe threats [1] but benefits from a system of 100 marine protected areas (MPAs). Surprisingly, the spatial congruence of fish biodiversity hot spots with this MPA system and the areas of high fishing pressure has not been assessed. Moreover, evolutionary and functional breadth of species assemblages [3] has been largely overlooked in marine systems. Here we adopted a multifaceted approach to biodiversity by considering the species richness of total, endemic, and threatened coastal fish assemblages as well as their functional and phylogenetic diversity. We show that these fish biodiversity components are spatially mismatched. The MPA system covers a small surface of the Mediterranean (0.4%) and is spatially congruent with the hot spots of all taxonomic components of fish diversity. However, it misses hot spots of functional and phylogenetic diversity. In addition, hot spots of endemic species richness and phylogenetic diversity are spatially congruent with hot spots of fishery impact. Our results highlight that future conservation strategies and assessment efficiency of current reserve systems will need to be revisited after de-constructing the different components of biodiversity.",95,2011,10.1016/j.cub.2011.05.005,WOS:000292221900022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,yew,,"review study, no usefull data"
67,in,in,in,WoS,yes,J,"Villamor, Adriana; Becerro, Mikel A.","Villamor, Adriana; Becerro, Mikel A.","Species, trophic, and functional diversity in marine protected and non-protected areas",JOURNAL OF SEA RESEARCH,,"The number of Marine Protected Areas (MPAs) has grown exponentially in the last decades as marine environments steadily deteriorate. The success of MPAs stems from the overall positive benefits attributed to the reserve effect, the totality of the consequences of protecting marine systems. The reserve effect includes but is beyond the goal of protecting particular species or areas with economical or cultural value. However, most data on the effects of MPAs focus on target species and there is limited evidence for the consequences of protection at larger levels of organization. Quantitative information on the reserve effect remains elusive partly because of its complex nature. Data on biodiversity can be used to quantify the reserve effect if not restricted to specific taxonomic groups. In our study, we quantified species diversity, trophic diversity, and an approach to functional diversity in five MPAs and adjacent non-protected areas along the Mediterranean coast of Spain. Our three measures of diversity were based on the abundance of algae, fish, sessile and mobile invertebrates in shallow water rocky communities and could be used to estimate the reserve effect based on species, trophic levels, or functional roles. We tested the hypothesis that species, trophic, and functional diversity were higher in protected areas than in adjacent non-protected areas. Species diversity varied with geographic area but not with protection status. However, we found higher functional diversity inside MPAs. Also, the effect of protection on functional diversity varied as a function of the geographic area. Our results support the uniqueness of MPAs at a species level and the universality of the reserve effect at the level of the trophic groups' composition. This type of comprehensive ecological approach may broaden our understanding of MPAs and their efficiency as management tools. (c) 2012 Elsevier B.V. All rights reserved.",21,2012,10.1016/j.seares.2012.07.005,WOS:000309032600012,field,CI,2008,MPA,Medes Island,25,old,1983,FPA,fully,0.92,5.11,medium,yes,Spain,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,,,biodiversity,,shannon,Figure 2,neutral,yes,number,SE,,,,,,,,,2.54,3.00,0.73,1.259673315,2.161157025,3,0.314049587,0.54394984,0.162040804,0.086132131,,,the indicator used is the shanon index
72,in,in,in,WoS,yes,J,"Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos","Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos",Gradients of abundance and biomass across reserve boundaries in six Mediterranean marine protected areas: Evidence of fish spillover?,BIOLOGICAL CONSERVATION,,"Marine protected areas (MPAs) are considered as an effective tool in marine coastal management, and considered able to enhance local fisheries through adult fish spillover. Indirect evidence of fish spillover could be obtained by horizontal gradients in fish abundance. To address this question, the existence of gradients of fish abundance and biomass across marine reserve boundaries was assessed in six Mediterranean WAS using underwater visual censuses performed at various distances from the core of the MPA, in integral reserve (IR), to buffer zone (BZ) and fished areas. A reserve effect was evidenced with higher values of fish species richness (x1.1), abundance (x1.3), and biomass (x4.7) recorded inside MPAs compared to adjacent fished areas. Linear correlations revealed significant negative gradients in mean fish biomass in all the reserves studied after the effect of habitat had been removed, whereas negative gradients in abundance were less conspicuous. Generalized additive models suggested two main patterns of biomass gradients, with a sharp decrease at the IR-BZ boundary or at the BZ-fished area boundary. It was estimated that fish spillover beneficial to local fisheries occurred mostly at a small spatial scale (100s of metres). The existence of regular patterns of negative fish biomass gradients from within WAS to fished areas was consistent with the hypothesis of adult fish biomass spillover processes from marine reserves and could be considered as a general pattern in this Mediterranean region. (C) 2008 Elsevier Ltd. All rights reserved.",136,2008,10.1016/j.biocon.2008.04.029,WOS:000258306300010,field,CI,2004,MPA,Cabrera,13,old,1991,PPA,highly,NA,86.8,medium,yes,Spain,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,state,,biodiversity,,species richness,Table 2,neutral,yes,number,SD,,,,,,,,,14.10,108.00,2.50,2.5,13.9,54,2.7,2.7,0.014285957,0.000989805,,,
72,in,in,in,WoS,yes,J,"Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos","Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos",Gradients of abundance and biomass across reserve boundaries in six Mediterranean marine protected areas: Evidence of fish spillover?,BIOLOGICAL CONSERVATION,,"Marine protected areas (MPAs) are considered as an effective tool in marine coastal management, and considered able to enhance local fisheries through adult fish spillover. Indirect evidence of fish spillover could be obtained by horizontal gradients in fish abundance. To address this question, the existence of gradients of fish abundance and biomass across marine reserve boundaries was assessed in six Mediterranean WAS using underwater visual censuses performed at various distances from the core of the MPA, in integral reserve (IR), to buffer zone (BZ) and fished areas. A reserve effect was evidenced with higher values of fish species richness (x1.1), abundance (x1.3), and biomass (x4.7) recorded inside MPAs compared to adjacent fished areas. Linear correlations revealed significant negative gradients in mean fish biomass in all the reserves studied after the effect of habitat had been removed, whereas negative gradients in abundance were less conspicuous. Generalized additive models suggested two main patterns of biomass gradients, with a sharp decrease at the IR-BZ boundary or at the BZ-fished area boundary. It was estimated that fish spillover beneficial to local fisheries occurred mostly at a small spatial scale (100s of metres). The existence of regular patterns of negative fish biomass gradients from within WAS to fished areas was consistent with the hypothesis of adult fish biomass spillover processes from marine reserves and could be considered as a general pattern in this Mediterranean region. (C) 2008 Elsevier Ltd. All rights reserved.",136,2008,10.1016/j.biocon.2008.04.029,WOS:000258306300010,field,CI,2004,MPA,Cerbere-Banyuls,30,old,1974,PPA,highly,0.617,5.717,medium,yes,France,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,,,biodiversity,,species richness,Table 2,neutral,yes,number,SD,,,,,,,,,11.20,54.00,3.20,3.2,10.8,108,2.5,2.5,0.036367644,0.002007861,,,
72,in,in,in,WoS,yes,J,"Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos","Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos",Gradients of abundance and biomass across reserve boundaries in six Mediterranean marine protected areas: Evidence of fish spillover?,BIOLOGICAL CONSERVATION,,"Marine protected areas (MPAs) are considered as an effective tool in marine coastal management, and considered able to enhance local fisheries through adult fish spillover. Indirect evidence of fish spillover could be obtained by horizontal gradients in fish abundance. To address this question, the existence of gradients of fish abundance and biomass across marine reserve boundaries was assessed in six Mediterranean WAS using underwater visual censuses performed at various distances from the core of the MPA, in integral reserve (IR), to buffer zone (BZ) and fished areas. A reserve effect was evidenced with higher values of fish species richness (x1.1), abundance (x1.3), and biomass (x4.7) recorded inside MPAs compared to adjacent fished areas. Linear correlations revealed significant negative gradients in mean fish biomass in all the reserves studied after the effect of habitat had been removed, whereas negative gradients in abundance were less conspicuous. Generalized additive models suggested two main patterns of biomass gradients, with a sharp decrease at the IR-BZ boundary or at the BZ-fished area boundary. It was estimated that fish spillover beneficial to local fisheries occurred mostly at a small spatial scale (100s of metres). The existence of regular patterns of negative fish biomass gradients from within WAS to fished areas was consistent with the hypothesis of adult fish biomass spillover processes from marine reserves and could be considered as a general pattern in this Mediterranean region. (C) 2008 Elsevier Ltd. All rights reserved.",136,2008,10.1016/j.biocon.2008.04.029,WOS:000258306300010,field,CI,2003,MPA,Cote Bleue ,20,old,1983,FPA,fully,0.85,187,large,yes,France,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,co-managed,,biodiversity,,species richness,Table 2,neutral,yes,number,SD,,,,,,,,,13.10,54.00,3.00,3,12.4,108,2.8,2.8,0.054915758,0.001443311,,,
72,in,in,in,WoS,yes,J,"Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos","Harmelin-Vivien, Mireille; Le Direach, Laurence; Bayle-Sempere, Just; Charbonnel, Eric; Antonio Garcia-Charton, Jose; Ody, Denis; Perez-Ruzafa, Angel; Renones, Olga; Sanchez-Jerez, Pablo; Valle, Carlos",Gradients of abundance and biomass across reserve boundaries in six Mediterranean marine protected areas: Evidence of fish spillover?,BIOLOGICAL CONSERVATION,,"Marine protected areas (MPAs) are considered as an effective tool in marine coastal management, and considered able to enhance local fisheries through adult fish spillover. Indirect evidence of fish spillover could be obtained by horizontal gradients in fish abundance. To address this question, the existence of gradients of fish abundance and biomass across marine reserve boundaries was assessed in six Mediterranean WAS using underwater visual censuses performed at various distances from the core of the MPA, in integral reserve (IR), to buffer zone (BZ) and fished areas. A reserve effect was evidenced with higher values of fish species richness (x1.1), abundance (x1.3), and biomass (x4.7) recorded inside MPAs compared to adjacent fished areas. Linear correlations revealed significant negative gradients in mean fish biomass in all the reserves studied after the effect of habitat had been removed, whereas negative gradients in abundance were less conspicuous. Generalized additive models suggested two main patterns of biomass gradients, with a sharp decrease at the IR-BZ boundary or at the BZ-fished area boundary. It was estimated that fish spillover beneficial to local fisheries occurred mostly at a small spatial scale (100s of metres). The existence of regular patterns of negative fish biomass gradients from within WAS to fished areas was consistent with the hypothesis of adult fish biomass spillover processes from marine reserves and could be considered as a general pattern in this Mediterranean region. (C) 2008 Elsevier Ltd. All rights reserved.",136,2008,10.1016/j.biocon.2008.04.029,WOS:000258306300010,field,CI,2003,MPA,Tabarca Island,17,old,1986,PPA,highly,1.2,14,large,yes,Spain,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,,,biodiversity,,species richness,Table 2,negative,yes,number,SD,,,,,,,,,12.30,72.00,2.700000,2.70000000,13.3,54,1.900000,1.900000,-0.078164773,0.001047173,,,
67,in,in,in,WoS,yes,J,"Villamor, Adriana; Becerro, Mikel A.","Villamor, Adriana; Becerro, Mikel A.","Species, trophic, and functional diversity in marine protected and non-protected areas",JOURNAL OF SEA RESEARCH,,"The number of Marine Protected Areas (MPAs) has grown exponentially in the last decades as marine environments steadily deteriorate. The success of MPAs stems from the overall positive benefits attributed to the reserve effect, the totality of the consequences of protecting marine systems. The reserve effect includes but is beyond the goal of protecting particular species or areas with economical or cultural value. However, most data on the effects of MPAs focus on target species and there is limited evidence for the consequences of protection at larger levels of organization. Quantitative information on the reserve effect remains elusive partly because of its complex nature. Data on biodiversity can be used to quantify the reserve effect if not restricted to specific taxonomic groups. In our study, we quantified species diversity, trophic diversity, and an approach to functional diversity in five MPAs and adjacent non-protected areas along the Mediterranean coast of Spain. Our three measures of diversity were based on the abundance of algae, fish, sessile and mobile invertebrates in shallow water rocky communities and could be used to estimate the reserve effect based on species, trophic levels, or functional roles. We tested the hypothesis that species, trophic, and functional diversity were higher in protected areas than in adjacent non-protected areas. Species diversity varied with geographic area but not with protection status. However, we found higher functional diversity inside MPAs. Also, the effect of protection on functional diversity varied as a function of the geographic area. Our results support the uniqueness of MPAs at a species level and the universality of the reserve effect at the level of the trophic groups' composition. This type of comprehensive ecological approach may broaden our understanding of MPAs and their efficiency as management tools. (c) 2012 Elsevier B.V. All rights reserved.",21,2012,10.1016/j.seares.2012.07.006,WOS:000309032600012,field,CI,2008,MPA,Tabarca Island,22,old,1986,FPA,fully,1.2,14,large,yes,Spain,temperate,Europe,Mediterranean sea,rocky reef,,ecological,fish,,,,,,,biodiversity,,shannon,Figure 2,neutral,yes,number,SE,,,,,,,,,2.74,3.00,0.30,0.515320901,2.508264463,3,0.694214876,1.202415437,0.088246199,0.099487677,,,the indicator used is the shanon index
73,in,out,out,WoS,,J,"Rodriguez, J. G.","Rodriguez, J. G.","Small cryptic fishes of the coral reefs and adjacent areas at Parque Nacional Morrocoy and Refugio de fauna de Cuare, Venezuela.",REVISTA DE BIOLOGIA TROPICAL,,"Small cryptic fishes of the coral reefs and adjacent areas at Parque Nacional Morrocoy and Refugio de fauna de Cuare, Venezuela. The Morrocoy National Park and Cuare Faunal Refuge are two coastal marine protected areas of the northwestern region of Venezuela. Coral reefs are the dominant environments, with an important associated ictiofauna; however, cryptobenthic reef fish have not been studied. Monthly sampling from March 2001 through February 2003 yielded a total of 30 species: eleven Gobiidae, seven Chaenopsidae, six Blenniidae, three Labrisomidae, one Dactyloscopidae, one Tripterygiidae, and one Callionymidae. These records represent an increase of more than 25% in species richness for these localities and highlight the urge to incorporate these groups of small fishes in regional fish characterization, especially when we take into account the importance of these species in the trophodynamics. Rev. Biol. Trop. 56 (Suppl. 1): 247-254. Epub 2008 May 30.",2,2008,,WOS:000266642200018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,the article was written in spanish
