ID,OUTabstract,OUTtext,outMA,source,PDF,Publication type,Authors,Authors Full Name,Title,Source Title,Conference Title,Abstract,"Times Cited, All Databases",PublicationYear,DOI,UT (Unique WOS ID),studytype,design,datayear,protection type,MPAname,MPAage,Age,MPAcreation,MPAprotection,FPAsize,MPAsize,Size,enforcement,country,climate,continent,ocean,ecosystem,taxon,species,target,predator,fishery,governance,stakeholder,mechanism,outcome,indicator,subindicator,data origin,direction,quantitative,unit,errortype,MPAAvalue,MPAA_samplesize,MPAAerror,MPAA_sd,controlA_value,controlA_samplesize,controlA_error,controlA_SD,errortype,MPAB_value,MPAB_samplesize,MPAB_error,MPAB_sd,controlB_value,controlB_samplesize,controlB_error,controlB_sd,ei,vei,comment
37,out,out,out,WoS,.,J,"Reyier, Eric A.; Scheidt, Douglas M.; Stolen, Eric D.; Lowers, Russell H.; Holloway-Adkins, Karen G.; Ahr, Bonnie J.","Reyier, Eric A.; Scheidt, Douglas M.; Stolen, Eric D.; Lowers, Russell H.; Holloway-Adkins, Karen G.; Ahr, Bonnie J.",Residency and dispersal of three sportfish species from a coastal marine reserve: Insights from a regional-scale acoustic telemetry network,.,.,"Understanding the movements of adult fish around marine reserves is central to evaluating the importance of these areas to conservation but is difficult to quantify in many coastal settings. We used a 300 km long passive acoustic telemetry network to measure site fidelity and dispersal distances of adult red drum (Sciaenops ocellatus), black drum (Pogonias cromis), and spotted seatrout (Cynoscion nebulosus) tagged within two estuarine no-take zones at Kennedy Space Center, Florida, USA. Seventy-eight tagged fish were tracked an average of 549 days with some individuals followed for over four years. Fish spent most of their total time at liberty inside no-take zones with a mean residency of 125-178 consecutive days after release, and 67%-95% of their total time, depending on species. Sixty-four individuals (82%) also utilized adjacent public waters, dispersing up to 650 km, although dispersal rates averaged less than 0.10 km day(-1) for all three species. Red drum and black drum movements across reserve boundaries were clearly bi-directional with individuals averaging 4 and 30 excursions per year, respectively, into fished areas. Both species spent more time outside reserve boundaries during their reproductive periods, suggesting that these no-take zones protect individuals that subsequently spawn over a wider geographic area. Our findings demonstrate that coastal marine reserves have the potential to provide substantial protection for highly mobile non-reef fishes. They further suggest that reserves designed to safeguard fish during non-reproductive periods may be most practical for estuarine species whose home ranges increase during spawning seasons. (C) 2020 The Authors. Published by Elsevier B.V.",0,2020,10.1016/j.gecco.2020.e01057,WOS:000568733800018,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not relevant
38,out,out,out,WoS,.,J,"Ospina-Alvarez, Andres; de Juan, Silvia; Davis, Katrina J.; Gonzalez, Catherine; Fernandez, Miriam; Navarrete, Sergio A.","Ospina-Alvarez, Andres; de Juan, Silvia; Davis, Katrina J.; Gonzalez, Catherine; Fernandez, Miriam; Navarrete, Sergio A.",Integration of biophysical connectivity in the spatial optimization of coastal ecosystem services,.,.,"Ecological connectivity in coastal oceanic waters is mediated by dispersion of the early life stages of marine organisms and conditions the structure of biological communities and the provision of ecosystem services. Integrated management strategies aimed at ensuring long-term service provision to society do not currently consider the importance of dispersal and larval connectivity. A spatial optimization model is introduced to maximise the potential provision of ecosystem services in coastal areas by accounting for the role of dispersal and larval connectivity. The approach combines a validated coastal circulation model that reproduces realistic patterns of larval transport along the coast, which ultimately conditions the biological connectivity and productivity of an area, with additional spatial layers describing potential ecosystem services. The spatial optimization exercise was tested along the coast of Central Chile, a highly productive area dominated by the Humboldt Current. Results show it is unnecessary to relocate existing management areas, as increasing no-take areas by 10% could maximise ecosystem service provision, while improving the spatial representativeness of protected areas and minimizing social conflicts. The location of protected areas was underrepresented in some sections of the study domain. principally due to the restriction of the model to rocky subtidal habitats. Future model developments should encompass the diversity of coastal ecosystems and human activities to inform integrative spatial management. Nevertheless, the spatial optimization model is innovative not only for its integrated ecosystem perspective, but also because it demonstrates that it is possible to incorporate time-varying biophysical connectivity within the optimization problem, thereby linking the dynamics of exploited populations produced by the spatial management regime. (C) 2020 Elsevier B.V. All rights reserved.",3,2020,10.1016/j.scitotenv.2020.139367,WOS:000540252500010,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not about MPA effect
39,out,out,out,WoS,.,J,"Darnell, Kelly M.; Furman, Bradley T.; Heck, Kenneth L. Jr Jr; Byron, Dorothy; Reynolds, Laura; Dunton, Kenneth H.","Darnell, Kelly M.; Furman, Bradley T.; Heck, Kenneth L. Jr Jr; Byron, Dorothy; Reynolds, Laura; Dunton, Kenneth H.",Seed Reserve Hot Spots for the Sub-Tropical SeagrassHalodule wrightii(Shoal Grass) in the Northern Gulf of Mexico,.,.,"Halodule wrightii(shoal grass) is a dioecious seagrass with a widespread tropical and subtropical distribution. Like all seagrass species,H. wrightiihas the ability to expand asexually through rhizome elongation and to reproduce sexually through seed. To better understandH. wrightiisexual recruitment dynamics in the northern Gulf of Mexico, we investigated seed bank densities at 815 sites from south Texas to the Florida Panhandle.H. wrightiiseed reserves were spatially variable across the region, with seed densities ranging from 0 to 5290 seeds m(-2). Spatial analysis revealed clusters of high seed densities (""hot spots"") in Upper Laguna Madre, TX, and Santa Rosa Sound, FL, and clusters of low seed densities (""cold spots"") in Lower Laguna Madre and Aransas Bay, TX. Hot spots were dominated byH. wrightii, whereas cold spots were dominated byThalassia testudinum(turtle grass). We frequently found intact seed coat halves, suggesting germination; however, we also encountered broken seed coat pieces, characteristic of seed predation. Genotypic surveys within and adjacent to seed hot spots revealed genetically diverse adult populations 6 years post seed bank sampling. Our data show thatH. wrightiiseed reserves are heterogeneous across the northern Gulf of Mexico and that the factors driving variation in seed bank density, viability, and germination remain poorly understood. Information on the spatial heterogeneity ofH. wrightiiseed densities has relevance for seagrass management, including targeting meadows with high levels of reproductive effort for protection or designation as marine reserves.",3,2021,10.1007/s12237-020-00808-y,WOS:000564939600001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,assesses biological important areas to inform MPA design
40,in,out,out,WoS,yes,J,"Anderson, Antonio B.; Joyeux, Jean-Christophe; Floeter, Sergio R.","Anderson, Antonio B.; Joyeux, Jean-Christophe; Floeter, Sergio R.","Spatiotemporal variations in density and biomass of rocky reef fish in a biogeographic climatic transition zone: trends over 9 years, inside and outside the only nearshore no-take marine-protected area on the southern Brazilian coast",.,.,"Biogeographical transition zones are important areas to investigate evolutionary ecological questions, but long-term population monitoring is needed to better understand ecological processes that govern population variations in such edge environments. The southernmost Brazilian rocky reefs are the southern limit of distribution for 96% of the tropical ichthyofauna of the western Atlantic. The Arvoredo Marine Biological Reserve is the only nearshore no-take marine-protected area (MPA) located in this transition zone. The main aim was to investigate how the populations of rocky reef fish species vary in density and biomass in space and over time, inside and outside the Arvoredo MPA. This study presents results based on a 9 year (2008-2017) underwater visual census monitoring study to evaluate the density and biomass of key fish species. Variations in density and biomass were detected for most species. Factors and mechanisms that may have influenced spatial variation are habitat structural complexity and protection from fisheries. Temporal variations, otherwise, may have been influenced by species proximity to their distributional limit, in synergy with density-dependent mechanisms and stochastic winter temperature oscillations. The MPAs harbour higher density and biomass for most species. Nonetheless, a prominent temporal decline in the recruitment ofEpinephelus marginatuscalls into question the continuous effectiveness of the MPA.",0,2020,10.1111/jfb.14441,WOS:000559913400001,model or review or synthesis,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,pdf never received
41,out,out,out,WoS,.,J,"Bernardes, Veronica P.; Sousa, Aline N.; Bernardo, Camila H.; Teixeira, Gustavo M.; Costa, Rogerio C.; Mantelatto, Fernando L.; Fransozo, Adilson","Bernardes, Veronica P.; Sousa, Aline N.; Bernardo, Camila H.; Teixeira, Gustavo M.; Costa, Rogerio C.; Mantelatto, Fernando L.; Fransozo, Adilson","Comparison of the spatio-temporal distribution of the roughneck shrimpRimapenaeus constrictus(Stimpson, 1874) (Crustacea, Penaeoidea) from monthly samples collected 20 years apart: Effects of a marine protected area in southeastern Brazil",.,.,"This study was motivated by the data about aRimapenaeus constrictuspopulation from Ubatuba Bay, obtained in the 1990s, and by the establishment of a marine protected area (MPA) in the same region in 2008. We obtained comparable data about the distribution and abundance of this species collected 20 years apart, to evaluate the effectiveness of the MPA, for its preservation and possible changes in the populational profile. Biotic and abiotic data were obtained monthly, in September 1995-August 1996 (period 1 = 1oP), and in September 2016-August 2017 (period 2 = 2oP), from five transects within Ubatuba Bay. In total, 710 and 2,362 individuals were caught in the 1(o)P and 2(o)P, respectively. Despite this increase in abundance, aspects of the spatial distribution did not change substantially. The high abundance recorded at 5 m of depth was probably due to the creation of the MPA and to the accumulation of detritus at this depth. The high abundance seen in the transect sheltered from waves may be related to sediment heterogeneity, which was higher in this transect, and to the fact that this area is naturally protected from fisheries. In the 1oP, the highest abundances were recorded in spring and summer, whereas in the 2oP, they occurred in autumn and winter. This change may be explained by the entrance of the South Atlantic Central Water (SACW), which drives shrimps towards shallower areas. During the 2oP, a fishing ban occurred in autumn (March 1st until May 31st), which is also when the SACW retreats and water temperature and salinity increase. These two factors combined may have been responsible for the increased shrimp abundance. In conclusion, both conservation practices (MPA and fishing ban) along with the existence of an area naturally protected from fisheries seem to have positively affected the population ofR. constrictus, leading to an increase in abundance over the 20-year interval.",0,2020,10.1111/maec.12605,WOS:000559024200001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not relevant
42,in,out,out,WoS,yes,J,"Legare, Bryan; DeAngelis, Bryan; Skomal, Gregory","Legare, Bryan; DeAngelis, Bryan; Skomal, Gregory",After the nursery: Regional and broad-scale movements of sharks tagged in the Caribbean,.,.,"Broad-scale movements (10s-100s km) of highly migratory species, such as sharks, present unique management challenges as fish migrate across international boundaries, thereby exposing them to different levels of anthropogenic pressure. Lemon sharks and blacktip sharks are well-studied throughout their range in the western North Atlantic, but broad-scale movements in the Caribbean region are largely unknown. Utilizing 10 years (2004-2014) of acoustic and conventional tagging data, this study presents the post-nursery movements of young of the year (YOY) and juvenile blacktip (n = 198) and lemon (n = 130) sharks tagged in the United States Virgin Islands (USVI). A total of five (2.5%) blacktip sharks were recaptured by recreational and commercial fishers in the greater Caribbean and as far north as the southeastern coast of the United States, moving between 2 and 2,200 km and crossing a minimum of six international boundaries. Of the acoustically tagged blacktip (n = 88) and lemon (n = 45) sharks, 28 (32%) and 16 (24%), respectively, were detected outside the boundaries of the nursery area in which they were tagged, dispersing throughout the USVI territory; blacktip sharks were acoustically detected beyond territorial waters as far as Florida, United States (1,881 km). Both species transited through local marine protected areas but did not establish residency resulting in little protection. This is the first study to examine connectivity between blacktip shark populations of the USVI and the east coast of the United States.",0,2020,10.1111/maec.12608,WOS:000557409800001,field,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,movement behaviour
43,out,out,out,WoS,.,J,"Aiken, Christopher M.; Navarrete, Sergio A.","Aiken, Christopher M.; Navarrete, Sergio A.",Incorporating the Connectivity Timescale in Metapopulation Partitioning,.,.,"The often complex spatial patterns of propagule dispersal across a metapopulation present a challenge for species management, motivating efforts to represent the connectivity in simpler but meaningful ways. The reduction of complexity may be achieved by partitioning the metapopulation into groups of highly connected patches called ""subpopulations."" To have relevance for management, these subunits must be defined from ecological or evolutionary principles. The probabilities of dispersal-mediated propagule interchange between sites, commonly organized into a connectivity matrix, entail a timescale that is usually ignored in subpopulation analyses, limiting their utility and possibly leading to misinterpretation and wrong management decisions. Recognition of the essentially dynamical role played by metapopulation connectivity naturally leads to the incorporation of the generational timescale into the partitioning analysis. An algorithm is proposed to determine the subpopulations-both their cardinality and their composition-as a function of the generational timescale and of a limiting probability of connection, illustrated with a novel empirical estimate of mesopelagic connectivity. The proposed framework allows the unambiguous determination of the timescales corresponding to dispersal barriers and the identification of effective ecological units across the spectrum of management-relevant time horizons.",0,2020,10.1086/709548,WOS:000548984500006,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,no MPA
44,out,out,out,WoS,.,J,"Bayley, Daniel T., I; Purvis, Andy; Nellas, Angelie C.; Arias, Myrtle; Koldewey, Heather J.","Bayley, Daniel T., I; Purvis, Andy; Nellas, Angelie C.; Arias, Myrtle; Koldewey, Heather J.",Measuring the long-term success of small-scale marine protected areas in a Philippine reef fishery,.,.,"Tropical coral reefs are subject to multiple pressures from both natural and anthropogenic sources. These pressures have caused widespread declines in reef health, resulting in the increased use of spatial management tools such as marine protected areas (MPAs). MPAs have proven generally effective if well designed and enforced, but there are limited long-term studies investigating how the presence of small-scale MPAs affects fish populations and reef communities. Using a 12-year time series, we found that small-scale (10-50 ha) community-managed MPAs along the Danajon Bank of the Philippines preserved average fish biomass within their boundaries over time relative to surrounding fished reefs. Unprotected areas are, however, showing significant long-term biomass decline. MPAs were also found to preserve more key trophic groups and larger-bodied commercially targeted reef fish families. Fish biomass of piscivore, scavenger and invertivore trophic groups inside individual MPAs is, however, still declining at a similar rate as outside. Surprisingly, long-term benthic cover and growth form composition were not significantly affected overall by MPA presence, despite the sporadic use of highly destructive dynamite fishing in this region. Coral cover has remained historically low (21-28%) throughout the study, following widespread bleaching mortality. While management tempered overall abundance declines, we found that irrespective of MPA presence, there was a generalised decline of both large- and small-bodied fish size groups across the study region, most steeply within the 20-30 cm length fish, and a shift towards proportionally higher abundances of small (5-10 cm) fish. This indicates a combination of over-exploitation, inadequate MPA size and coverage for larger fish, and the lingering effects of the 1998 bleaching event. Generalised shifts in body size and trophic structure reported here could lead to future reductions in fishery productivity and stability and will be further exacerbated unless broader fishery regulations and enforcement is instated.",0,2020,10.1007/s00338-020-01987-7,WOS:000554334900001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not about effect of MPA on connectivity but on abundance
45,in,out,out,WoS,yes,J,"Martin, Gerardo; Espinoza, Mario; Heupel, Michelle; Simpfendorfer, Colin A.","Martin, Gerardo; Espinoza, Mario; Heupel, Michelle; Simpfendorfer, Colin A.",Estimating marine protected area network benefits for reef sharks,.,.,"Animal movement has direct applications in spatial management and conservation planning, yet it is rarely taken into account for the design of natural protected areas. For instance, reef shark species are thought to benefit from marine protected area networks, even though their movement behaviour remains poorly characterized. Poor understanding of species' movements implies that the benefits of MPA networks for species' populations are still widely unknown. To understand the consequences of movement behaviour for protection, we modelled movements of three reef shark species' (Carcharhinus albimarginatus,C. amblyrhynchosandC. leucas) with distinct levels of reef association using real passive-acoustic telemetry data. The model simulates if individuals are protected or unprotected by their movements in a system of reef patches in a network of MPAs. Model parameters that control individuals' movements were estimated from acoustic telemetry data. To estimate benefits for species we monitored longevity and time spent in protected habitats across all scenarios of reef protection, fishing intensity (11 values for each) and protection of high or low suitability reefs (a reef-dependent factor that attracts sharks to reside in it) for populations of 1,000 individuals per species. The time individuals spent in protected reefs increased linearly with protection until it levelled off after 50%-80% of reefs protected (78%C. amblyrhynchos, 72%C. albimarginatusand 52% C. leucas, at 100% protection). Individuals' life span decreased exponentially with fishing intensity. Reef protection only mildly counteracted life span lost to fishing. Protecting highly suitable reefs increased time spent in protected reefs, optimal protection was reached at a lower number of reefs protected, and life expectancy was higher with protection of highly suitable reefs. Synthesis and applications. Our framework can be applied to many studies using passive-acoustic telemetry to track animal movements. Protected area networks benefit species highly attached to protected sites. To increase benefits of marine protected area networks for all species (with low and high degrees of reef attachment) we need to understand the use of reef-adjacent areas, dispersal routes and characterize reef suitability for multiple species.",0,2020,10.1111/1365-2664.13706,WOS:000553283200001,model,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,model
46,out,out,out,WoS,.,J,"Gilchrist, Hannah; Rocliffe, Steve; Anderson, Lucy G.; Gough, Charlotte L. A.","Gilchrist, Hannah; Rocliffe, Steve; Anderson, Lucy G.; Gough, Charlotte L. A.",Reef fish biomass recovery within community-managed no take zones,.,.,"Locally managed marine areas (LMMAs) are increasingly recognised as a key strategy for small-scale fisheries management across the Indo-Pacific. When effective, LMMAs can encourage responsible fishing, strengthen compliance and improve adaptive capacity, and may help to safeguard food security, address coastal poverty and increase resource sustainability. However, evidence that LMMAs can achieve long-term biological goals is limited. Here, we used a six-year dataset and a before-after-control-impact sampling design to assess the biological effectiveness of five community-managed no take zones (CMNTZs) situated within the Velondriake LMMA in southwest Madagascar. Linear mixed-effect models revealed that the difference in biomass between control and reserve sites increased over time. Significant differences in biomass between CMNTZs and controls were only evident from year two onwards, with 189% more total biomass in CMNTZs than fished control sites by year six. There was no effect of CMNTZs on the biomass of fish families preferentially targeted by the local fishery, limiting the long-term fisheries benefits of this reserve network unless individual CMNTZs are made larger to accommodate the home ranges of fishery targeted families. There were however, reserve effects preventing the decline of untargeted fish families and species richness.Importantly, these CMNTZs delivered a conservation benefit that rivals government-run NTZs in the region, against a backdrop of severe biomass depletion, coastal poverty and human dependence on fishing-illustrating their suitability as a solution to marine resource depletion in developing tropical countries.",2,2020,10.1016/j.ocecoaman.2020.105210,WOS:000534266700011,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not about connectivity
47,out,out,out,WoS,.,J,"Gary, Stefan F.; Fox, Alan D.; Biastoch, Arne; Roberts, J. Murray; Cunningham, Stuart A.","Gary, Stefan F.; Fox, Alan D.; Biastoch, Arne; Roberts, J. Murray; Cunningham, Stuart A.","Larval behaviour, dispersal and population connectivity in the deep sea",.,.,"Ecosystem connectivity is an essential consideration for marine spatial planning of competing interests in the deep sea. Immobile, adult communities are connected through freely floating larvae, depending on new recruits for their health and to adapt to external pressures. We hypothesize that the vertical swimming ability of deep-sea larvae, before they permanently settle at the bottom, is one way larvae can control dispersal. We test this hypothesis with more than 3x108 simulated particles with a range of active swimming behaviours embedded within the currents of a high-resolution ocean model. Despite much stronger horizontal ocean currents, vertical swimming of simulated larvae can have an order of magnitude impact on dispersal. These strong relationships between larval dispersal, pathways, and active swimming demonstrate that lack of data on larval behaviour traits is a serious impediment to modelling deep-sea ecosystem connectivity; this uncertainty greatly limits our ability to develop ecologically coherent marine protected area networks.",4,2020,10.1038/s41598-020-67503-7,WOS:000548355100012,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,no MPA
48,out,out,out,WoS,.,J,"Salayo, Nerissa D.; Azuma, Teruo; Castel, Raisa Joy G.; Barrido, Rafael T.; Tormon-West, Dianne Hope M.; Shibuno, Takuro","Salayo, Nerissa D.; Azuma, Teruo; Castel, Raisa Joy G.; Barrido, Rafael T.; Tormon-West, Dianne Hope M.; Shibuno, Takuro","Stock enhancement of abalone, Haliotis asinina, in multi-use buffer zone of Sagay Marine Reserve in the Philippines",.,.,"Donkeys ear abalone (Haliotis asinina) is a gourmet seafood export of the Philippines but its wild stock is at risk due to high fishing pressure. This paper aims to show evidences that abalone seeds produced in hatcheries can be used to rehabilitate its fisheries in multi-use buffer zones of marine reserves. This study released hatchery-reared abalone juveniles in a community-based resource enhancement site located in multi-use reef surrounding Molocaboc. This island is populated by fisherfolks who participated in protecting the 4000 m(2) coralline release site. Molocaboc Reef comprise the buffer zone of Sagay Marine Reserve in Negros Occidental province in central Philippines. Data obtained during monthly monitoring of the release site from 2011 to 2016 showed that hatchery-reared abalone established together with its wild counterparts. Baseline wild abalone catch per unit effort (CPUE = 3 divers 1 h fishing) is 0.005/100 m(2) in 2011. Mean monthly CPUE after release increased to 53 hatchery-reared and wild individuals combined. The mean shell length, body weight and body mass index of the hatchery-reared individuals (6.4 cm, 70.9 g, 10.5 g/cm) is not significantly different from those of the recovered wild stocks (6.9 cm, 85.0 g, 12.0 g/cm). The stocks recovered in the midst of undisrupted fishing activities in areas immediately outside and beyond the release site. Thus, mass production of seeds of overfished species is advised to repopulate degraded fisheries, improve catch of fisherfolks living within buffer areas of marine reserves and contribute to production and trade of high-value species.",0,2020,10.1016/j.aquaculture.2020.735138,WOS:000526415400006,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,"not relevant, no clear control"
49,out,out,out,WoS,.,J,"Underwood, Jim N.; Richards, Zoe; Berry, Oliver; Oades, Daniel; Howard, Azton; Gilmour, James P.","Underwood, Jim N.; Richards, Zoe; Berry, Oliver; Oades, Daniel; Howard, Azton; Gilmour, James P.",Extreme seascape drives local recruitment and genetic divergence in brooding and spawning corals in remote north-west Australia,.,.,"Management strategies designed to conserve coral reefs threatened by climate change need to incorporate knowledge of the spatial distribution of inter- and intra-specific genetic diversity. We characterized patterns of genetic diversity and connectivity using single nucleotide polymorphisms (SNPs) in two reef-building corals to explore the eco-evolutionary processes that sustain populations in north-west Australia. Our sampling focused on the unique reefs of the Kimberley; we collected the broadcast spawning coralAcropora aspera(n = 534) and the brooding coralIsopora brueggemanni(n = 612) across inter-archipelago (tens to hundreds of kilometres), inter-reef (kilometres to tens of kilometres) and within-reef (tens of metres to a few kilometres) scales. Initial analysis ofA. asperaidentified four highly divergent lineages that were co-occurring but morphologically similar. Subsequent population analyses focused on the most abundant and widespread lineage,Acroporaasp-c. Although the overall level of geographic subdivision was greater in the brooder than in the spawner, fundamental similarities in patterns of genetic structure were evident. Most notably, limits to gene flow were observed at scales <35 kilometres. Further, we observed four discrete clusters and a semi-permeable barrier to dispersal that were geographically consistent between species. Finally, sites experiencing bigger tides were more connected to the metapopulation and had greater gene diversity than those experiencing smaller tides. Our data indicate that the inshore reefs of the Kimberley are genetically isolated from neighbouring oceanic bioregions, but occasional dispersal between inshore archipelagos is important for the redistribution of evolutionarily important genetic diversity. Additionally, these results suggest that networks of marine reserves that effectively protect reefs from local pressures should be spaced within a few tens of kilometres to conserve the existing patterns of demographic and genetic connectivity.",1,2020,10.1111/eva.13033,WOS:000541504200001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,assesses genetic structuring but not role of MPA
50,in,out,out,WoS,yes,J,"Belharet, Mokrane; Di Franco, Antonio; Calo, Antonio; Mari, Lorenzo; Claudet, Joachim; Casagrandi, Renato; Gatto, Marino; Lloret, Josep; Seve, Charlotte; Guidetti, Paolo; Melia, Paco","Belharet, Mokrane; Di Franco, Antonio; Calo, Antonio; Mari, Lorenzo; Claudet, Joachim; Casagrandi, Renato; Gatto, Marino; Lloret, Josep; Seve, Charlotte; Guidetti, Paolo; Melia, Paco","Extending full protection inside existing marine protected areas, or reducing fishing effort outside, can reconcile conservation and fisheries goals",.,.,"Most fish stocks world-wide are fished at maximum sustainable yield (MSY) or overfished, as many fisheries management strategies have failed to achieve sustainable fishing. Identifying effective fisheries management strategies has now become urgent. Here, we developed a spatially explicit metapopulation model accounting for population connectivity in the north-western Mediterranean Sea, and parameterized it for three ecologically and economically important coastal fish species: the white seabreamDiplodus sargus, the two-banded seabreamDiplodus vulgarisand the dusky grouperEpinephelus marginatus. We used the model to assess how stock biomass and catches respond to changes in fishing mortality rate (F) and in the size of fully protected areas within the existing system of multiple-use marine protected areas (MPAs). For each species, we estimated MSY and the corresponding values of stock biomass (B-MSY) and fishing mortality rate (F-MSY), providing crucial reference points for the assessment of fisheries management. Diplodus sargusis currently in low overfishing, whileD. vulgarisandE. marginatusare in high overfishing. Stock recovery toB(MSY)for the last two species requires a reduction of currentFaround 50%. This would guarantee an increase in both stock biomass (around 50% and 75% forD. vulgarisandE. marginatusrespectively) and catch (around 15% and 30%) after a transient time of similar to 15-30 years. Alternatively, doubling the size of fully protected areas over fishable areas within the existing network of MPAs would lead to positive conservation effects for all three species without substantially affecting the overall productivity of the fishery and the total economic value of the catch. Synthesis and applications. We provide the first assessment of stock status for three coastal species in the north-western Mediterranean and evaluate the ecological and fisheries outcomes of different management strategies. Extending full protection inside existing multiple-use marine protected areas or reducing fishing effort outside can deliver both conservation and fisheries benefits.",1,2020,10.1111/1365-2664.13688,WOS:000541592700001,model,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,not relevant
51,out,out,out,WoS,.,J,"Lopera, Luisa; Cardona, Yuley; Zapata-Ramirez, Paula A.","Lopera, Luisa; Cardona, Yuley; Zapata-Ramirez, Paula A.",Circulation in the Seaflower Reserve and Its Potential Impact on Biological Connectivity,.,.,"The influence of ocean currents on marine population connectivity is critical to territory planning, and such phenomena should be considered in the design and implementation of marine protected areas (MPAs), marine spatial planning strategies, and restoration plans, among other developments. Knowledge of the influence of currents is also vital in understanding the relationship between oceanographic drivers and ecosystem configurations. However, despite their importance, ocean currents and their role in coral connectivity remain poorly constrained in the Seaflower Marine Reserve, an area that hosts the most productive open-ocean coral reef system in the Caribbean and that was declared a biosphere reserve in 2000. We herein characterize the larva transport patterns associated with surface currents that control connectivity in the reserve. To achieve this aim, we simulated the advection of buoyant coral larvae of Acropora palmata during nine spawning events. Larval dispersal patterns were obtained through offline coupling of a high-spatiotemporal resolution hydrodynamic field and a biophysical Lagrangian model for particle dispersion. Ocean current fields were generated using a Regional Ocean Modeling System (ROMS) that was appropriately configured for the region. Larval dispersion was simulated using an Individual-Based Model (Ichthyop). Our results show that there are heterogeneous connectivity patterns during the spawning events at seasonal and inter-annual scales. This seems to be associated with high spatiotemporal dynamic variability in the region, such as the Caribbean Current bifurcation close to the Nicaraguan Rise, the intrusion-formation of mesoscale and sub-mesoscale eddies, and the semi-permanent presence of the Panama-Colombia Gyre. We also found that Serranilla, Providencia, Quitasueno, and Serrana act as the most important sinks. In contrast, the northernmost reefs, Serranilla, B. Alicia, and B. Nuevo, seem to be the most important sources of larvae, highlighting that these areas need to be incorporated into the current MPA zonification and that this could lead to the improvement of MPA effectiveness. Our findings also suggest the need to implement MPA networks between Jamaica and Colombia to allow biological populations to become resilient to environmental changes and less prone to local extinctions.",0,2020,10.3389/fmars.2020.00385,WOS:000540423200001,.,.,.,.,.,.,,.,.,.,.,,.,.,.,.,.,.,.,.,.,.,.,.,.,connectivity,.,.,.,.,.,.,.,,.,,.,.,.,.,,,.,,.,,.,.,.,.,,,,role of currents in connectivity patterns
