ID,PDF,OUTabstract,OUTtext,outMA,Authors,Author.Full.Names,Title,Abstract,citation,year,source,datayear,studytype,design,COMP,protection,Creation,Age,Size,degradation,country,continent,climate,ocean,ecosystem,species,mechanism,outcome,indicator,strength,direction,quantitative,data origin,unit,error type,BeforeMPAvalue,BeforeMPA_samplesize,BeforeMPAerrorRaw,BeforeMPA_SD,BeforeControlvalue,BeforeControl_samplesize,BeforeControlerrorRaw,BeforeControlSD, AfterMPAvalue,AfterMPA_samplesize,AfterMPAerrorRaw,AfterMPA_SD, AfterControlvalue,AfterControl_samplesize,AfterControlerrorRaw,AfterControl_SD,ei,vei,comment
11,,in,out,out,"Beetham, E; Kench, PS; O'Callaghan, J; Popinet, S","Beetham, Edward; Kench, Paul S.; O'Callaghan, Joanne; Popinet, Stephane","Wave transformation and shoreline water level on Funafuti Atoll, Tuvalu","The influence of sea swell (SS) waves, infragravity (IG) waves, and wave setup on maximum runup (R-max) is investigated across different tidal stages on Fatato Island, Funafuti Atoll, Tuvalu. Field results illustrate that SS waves are tidally modulated at the shoreline, with comparatively greater wave attenuation and setup occurring at low tide versus high tide. A shoreward increase in IG wave height is observed across the 100 m wide reef flat at all tidal elevations, with no tidal modulation of IG wave height at the reef flat or island shoreline. A 1-D shock-capturing Green-Naghdi solver is used to replicate the field deployment and analyze R-max. Model outputs for SS wave height, IG wave height and setup at the shoreline match field results with model skill >0.96. Model outputs for R-max are used to identify the temporal window when geomorphic activity can occur on the beach face. During periods of moderate swell energy, waves can impact the beach face at spring low tide, due to a combination of wave setup and strong IG wave activity. Under mean wave conditions, the combined influence of setup, IG waves and SS waves results in interaction with island sediment at midtide. At high tide, SS and IG waves directly impact the beach face. Overall, wave activity is present on the beach face for 71% of the study period, a significantly longer duration than is calculated using mean water level and topographic data.",33,2016,WoS,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,wind,,,,,,,,,,,,,,,,,,,,,,,,
12,,in,out,out,"Mazda, Magi, Ikeda",NA,Wave reduction in a mangrove forest dominated by Sonneratia sp,NA,NA,2006,other,,field,,absolute,,,,,,,,,,mangrove,,coastal protection,wave,wave attenuation,wind wave,,,,,,,,,,,,,,,,,,,,,,,,
13,,in,out,out,"Behera, H; Das, S; Sahoo, T","Behera, H.; Das, S.; Sahoo, T.",Wave propagation through mangrove forests in the presence of a viscoelastic bed,"The influence of viscoelastic ocean beds on the characteristics of surface waves passing through mangrove forests is analyzed under the assumption of linearized water wave theory in two dimensions. The trunks of the mangroves are assumed to be in the upper layer inviscid fluid domain, whilst the roots are inside the viscoelastic bed. The associated equation of motion is obtained by coupling the Voigt's model for flow within the viscoelastic medium with the equation of motion in the presence of mangroves. The modified dynamic conditions are coupled with the kinematic conditions to obtain the boundary condition at the free surface and the interface of the two fluids consisting of the upper layer inviscid fluid and the viscoelastic fluid bed. To understand the effects of bed viscosity as well as elasticity on energy dissipation, the complex dispersion relation associated with the plane progressive wave is derived and analyzed. Effect of physical parameters associated with mangroves and viscoelastic bed on wave motion in surface and internal modes are computed and analyzed to understand their roles in attenuating wave effects. The present model will be useful in the better understanding of wave propagation through mangroves in the coastal zone having muddy seabed. (C) 2018 Elsevier B.V. All rights reserved.",1,2018,WoS,,field,,absolute,,,,,,,,,,mangrove,,coastal protection,wave,wave attenuation,wind,,,,,,,,,,,,,,,,,,,,,,,,
14,,in,out,out,"Kench, PS; Brander, RW",NA,Wave processes on coral reef flats: Implications for reef geomorphology using Australian case studies,"Australian reef flats on the Cocos (Keeling) Islands atoll, Indian Ocean; Warraber Reef, Torres Strait; and Lady Elliot Island, Great Barrier Reef vary greatly in morphology (width, elevation) and hydrodynamic setting (wave and tidal regime). This study describes results from detailed wave and current measurements, under nonstorm conditions, along five reef flat transects on these reef systems and examines implications for surface geomorphic processes. Results show that wave frequency and transformation varies between reefs in a consistent manner dependent on tidal elevation, reef elevation, and reef width. A nondimensional reef energy window index (T) is developed that incorporates these critical factors (water depth at spring high tide and reef width). A statistically significant relation (95% confidence interval) between IV and the proportion of time that wave energy propagates across reefs illustrates the index ability to characterise the wave process regime of reef flats and provide a physically meaningful descriptor of the efficacy of geomorphic processes on reefs. High values of T indicate narrow and low-elevation reef flats, which are exposed to high wave energy and are geomorphically active. Low values reflect wide and high-elevation reef flats associated with less active wave and geomorphic processes. Results show that while incident energy is undoubtedly an important factor for reef geomorphology, the nature of wave modification across reef flats is equally important in governing levels of geomorphic activity that control development of surface geomorphic features on reef platforms.",06-Jan,2006,WoS,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
15,,in,out,out,"Jeanson, M; Dolique, F; Sedrati, M; Cohen, O; Bertier, J; Cavalin, A; Charpentier, J; Anthony, EJ","Jeanson, Matthieu; Dolique, Franck; Sedrati, Mouncef; Cohen, Oliver; Bertier, Jimmy; Cavalin, Alan; Charpentier, Jessica; Anthony, Edward J.","Wave modifications across a coral reef: Cap Chevalier, Martinique Island","Waves exert a major influence on hydrodynamic processes and on sediment transport over shallow submerged coral reefs, as well as on reef-bound beaches. This study describes results from a field experiment conducted at Cape Chevalier in the southeast of Martinique Island (Lesser Antilles, French West Indies), and investigates spatial and temporal variations in wave characteristics across a microtidal coral reef and lagoon. Measurements of wave pressure fluctuations were obtained using three pressure sensors deployed across the reef from 28 to 30 November, 2011. Analysis of the measured data shows that wave characteristics were strongly influenced by water depth and reef geometry. Calculations of energy dissipation indicate an average energy reduction of 91.5% between the fore-reef and back-reef (86% at high tide and 98% at low tide). The mean energy reduction between the fore-reef and the beach was 95.5% (92% and 99% respectively at high and low tide). The incident waves measured at the fore-reef during the experiment were predominantly trade wind-generated with peak periods between 7 and 10 s. Depending on tidal elevation and water depth, back-reef waves were characterized by an energy distribution dominated by the peak 7-10 s gravity waves at high tide and by infragravity frequencies (>20 s) at low tide. Wave energy at the beach was dominated by infragravity frequencies during both high tide and low tide. Wave spectral analysis indicates, thus, significant filtering of peak period energy as waves traveled across the reef.",2,2016,WoS,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
16,,in,out,out,"Peruzzo, P; De Serio, F; Defina, A; Mossa, M","Peruzzo, Paolo; De Serio, Francesca; Defina, Andrea; Mossa, Michele",Wave Height Attenuation and Flow Resistance Due to Emergent or Near-Emergent Vegetation,"Vegetation plays a pivotal role in fluvial and coastal flows, affecting their structure and turbulence, thus having a strong impact on the processes of transport and diffusion of nutrients and sediments, as well as on ecosystems and habitats. In the present experimental study, the attenuation of regular waves propagating in a channel through flexible vegetation is investigated. Specifically, artificial plants mimicking Spartina maritima are considered. Different plant densities and arrangements are tested, as well as different submergence ratios. Measurements of wave characteristics by six wave gauges, distributed all along the vegetated stretch, allow us to estimate the wave energy dissipation. The flow resistance opposed by vegetation is inferred by considering that drag and dissipation coefficients are strictly related. The submergence ratio and the stem density, rather than the wave characteristics, affect the drag coefficient the most. A comparison with the results obtained in the case when the same vegetation is placed in a uniform flow is also shown. It confirms that the drag coefficient for the canopy is lower than for an isolated cylinder, even if the reduction is not affected by the stem density, underlining that flow unsteadiness might be crucial in the process of dissipation.",14,2018,WoS,,lab,,absolute,,,,,,,,,,marsh,,coastal protection,wave,wave attenuation,wind,,,,,,,,,,,,,,,,,,,,,,,,
17,,in,out,out,"Donker, Van Der Vegt, Hoekstra",,Wave forcing over an intertidal mussel bed,,,2013,other,,field,,absolute,,,,,,,,,,shell reef,,coastal protection,wave,wave attenuation,wind,positive,yes,,,,,,,,,,,,,,,,,,,,,,
18,,in,out,out,"Manca, E; Caceres, I; Alsina, JM; Stratigaki, V; Townend, I; Amos, CL","Manca, E.; Caceres, I.; Alsina, J. M.; Stratigaki, V.; Townend, I.; Amos, C. L.",Wave energy and wave-induced flow reduction by full-scale model Posidonia oceanica seagrass,"This paper presents results from experiments in a large flume on wave and flow attenuation by a full-scale artificial Posidonia oceanica seagrass meadow in shallow water. Wave height and in-canopy wave-induced flows were reduced by the meadow under all tested regular and irregular wave conditions, and were affected by seagrass density, submergence and distance from the leading edge. The energy of irregular waves was reduced at all components of the spectra, but reduction was greater at the peak spectral frequency. Energy dissipation factors were largest for waves with small orbital amplitudes and at low wave Reynolds numbers. An empirical model, commonly applied to predict friction factors by rough beds, proved applicable to the P. oceanica bed. However at the lowest Reynolds numbers, under irregular waves, the data deviated significantly from the model. In addition, the wave-induced flow dissipation in the lower canopy increased with increasing wave orbital amplitude and increasing density of the mimics. The analysis of the wave-induced flow spectra confirm this trend: the reduction of flow was greatest at the longer period component of the spectra. Finally, we discuss the implications of these findings for sediment dynamics and the role of P. oceanica beds in protecting the shore from erosion. (C) 2012 Elsevier Ltd. All rights reserved.",56,2012,WoS,,lab,,absolute,,,,,,,,,,seagrass,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
19,,in,out,out,"Jensen, T; Sloth, P; Jacobsen, V",NA,Wave dynamics and revetment design on a natural reef,"In connection with hydraulic studies of a new coastal resort development on the south-east coast of Bali in Indonesia, a three-dimensional (30) physical model study was carried out. The study was aimed at the determination of the wave transformation over a shallow natural reef in front of the resort and for the design of the nibble mound revetments to be built for coastal protection. Due to the heavy wave breaking on the reef, physical model tests were the only viable avenue for obtaining a reliable design of the revetment structures located behind the shallow reef area. The stability of the armour layer as well as the overtopping of the revetments were equally important aspects of this part of the study, since not only should the resort be protected against storm waves, but visitors should also be able to comfortably visit the coastal areas during more normal wave conditions.This paper mainly concerns the wave dynamics on the reef Due to the limited water depth the wave conditions were dominated by heavy wave breaking and the associated release of the bound long-period wave components in the LL ave groups of the incident wave train. These long-period wave components caused a dynamic water level set-up with long-period variations in front of the revetments (surf beats). The depth-limited wave conditions on the reef and the dynamic water level set-lip had major influence on the evolution of damage and overtopping of the revetments and made the design of the revetments particularly complex.",1999,1999,WoS,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
20,,in,out,out,Moller,,Wave dissipation over macro-tidal saltmarshes: Effects of marsh edge typology and vegetation change,,,2002,other,,field,,absolute,,,,,,,,,,marsh,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
21,,out,out,out,"Suzuki, Zijlema, Burger",,Wave dissipation by vegetation with layer schematization in SWAN,,,2012,other,,model,,absolute,,,,,,,,,,blue carbon,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
22,,in,out,out,Cooper,,"Wave Dissipation Across Intertidal Surfaces in the Wash Tidal Inlet, Eastern England",,,2005,other,,field,,absolute,,,,,,,,,,marsh,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
23,,in,out,out,"Vanegas, CA; Osorio, AF; Urrego, LE","Vanegas G, Catalina A.; Osorio, Andres F.; Urrego, Ligia E.",Wave dissipation across a Rhizophora mangrove patch on a Colombian Caribbean Island: An experimental approach,"Costal ecosystems like coral barrier reefs and mangrove forests have been designated as environments in need of protection. This is not only because they are threatened by climate change, but also because of the important role they play in coastal protection. Some field studies based on Rhizophora mangrove trees have analyzed the force induced by water flow over their roots and the wave dissipation capacity of these trees under tidal regimes and sea waves. Various methods have been used to calculate energy dissipation in the past, but these do not include the drag coefficient (C-D) with field data calibration. The study presented here was conducted to investigate the capacity of a small natural Rhizophora mangrove patch (at experimental scale) located on Isla Grande in the Colombian Caribbean Sea to mitigate wave energy. The total energy dissipation, including the slope bottom and the effects of vegetation, was calculated. Parametric equations were used to calculate the effects of vegetation. The drag force (F-D) was computed using Morrison's equation and the C-D was calculated using Mazda's method. The results show a mean energy dissipation difference of 9.6% between the energy balance and dissipation coefficients wherethe C-D was calculated for each sea state. The dissipation coefficients were calculated with constant C-D values (0.06, 3.48 and 6.90). None of the three cases could explain the 90.4% energy flux, as in the case of vegetation dissipation (D-veg) with calculated and non-constant C-D values. Despite the small size of the mangrove patch, the results show an increase in the C-D (with values of up to 7.9) as a result of lower values of the Reynolds number (R-e) (about 7.3 x 10(5)). This demonstrates experimentally the role that even a small patch of mangrove vegetation plays in attenuating sea waves (as C-D is a function of sea states), and higher magnitudes were obtained than those recorded in the literature using other vegetation types. A nonlinear contribution to energy flow by bottom dissipation and vegetation dissipation was observed. Our results highlight the need to scale measurements up to forest level in order to accurately quantify the impact of mangrove vegetation on wave attenuation and determine the possible impact on the protection of coastal ecosystems and infrastructure. (C) 2017 Elsevier B.V. All rights reserved.",5,2019,WoS,,field,,absolute,,,,,,,,,,mangrove,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
24,,in,out,out,Knutson,,Wave damping in Spartina alterniflora marshes. ,,,1982,other,,field,,absolute,,,,,,,,,,marsh,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
25,,in,out,out,Jeanson,,"Wave characteristics and morphological variations of pocket beaches in a coral reef-lagoon setting, Mayotte Island, Indian Ocean",,,2013,other,,field,,absolute,,,,,,,,,,coral reef,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
26,,in,out,out,"Horstman, EM; Dohmen-Janssen, CM; Narra, PMF; van den Berg, NJF; Siemerink, M; Hulscher, SJMH","Horstman, E. M.; Dohmen-Janssen, C. M.; Narra, P. M. F.; van den Berg, N. J. F.; Siemerink, M.; Hulscher, S. J. M. H.",Wave attenuation in mangroves: A quantitative approach to field observations,"Coastal mangroves, dwelling at the interface between land and sea, provide an important contribution to reducing risk from coastal hazards by attenuating incident waves and by trapping and stabilizing sediments. This paper focusses on relations between vegetation densities, wave attenuation rates, sediment characteristics and sedimentation rates in mangroves. These processes were studied along two cross-shore transects through mangroves fringing estuaries in the southern Andaman region of Thailand. Volumetric vegetation densities in these mangroves were ranging up to 32%, depending on the water depth. Generalized total wave attenuation rates increased from 0.002 m(-1) in the sparsely vegetated forest fringes with Avicennia and Sonneratia species, up to 0.012 m(-1) in the dense Rhizophora vegetation in the back of the forests. The total wave attenuation rates integrate effects of shoaling and energy losses due to various bio-physical interactions within the mangrove ecosystem. Wave attenuation in the mangroves is presumably dominated by energy losses due to vegetation drag, since wave attenuation due to bottom friction and viscous dissipation on the bare mudflats is significantly lower than those inside the mangrove vegetation. Additionally, wave attenuation in the mangroves was found to facilitate enhanced net sediment deposition and a gradual fining of the bed material. These findings corroborate the coastal defence function of mangroves by quantifying their contribution to wave attenuation and sediment trapping. The explicit linking of these properties to vegetation composition and structure facilitates modelling studies investigating the mechanisms determining the coastal defence capacities of mangroves. (C) 2014 Elsevier B.V. All rights reserved.",66,2014,WoS,,field,,absolute,,,,,,,,,,mangrove,,coastal protection,wave,wave attenuation,,,,,,,,,,,,,,,,,,,,,,,,,
27,,in,out,out,"Quartel, S.; Kroon, A.; Augustinus, P. G. E. F.; Van Santen, P.; Tri, N. H.","Kroon, Aart/P-9148-2014","Wave attenuation in coastal mangroves in the Red River Delta, Vietnam","Wave attenuation was studied in a coastal mangrove system in the Red River Delta, Vietnam on the coast north of Do Son. From sea towards land the study area consisted of a bare mudflat, covered by a sandy layer with embryonic cheniers, abruptly changing into a muddy tidal flat overgrown with mangroves. Three instrumented tripods (A-C) placed in a cross-shore profile, were used to measure current velocity and water level, at the open tidal flat, at the beginning of the mangrove vegetation, and in the mangrove vegetation, respectively. Measurements were conducted in the wet season in July and August 2000. The elevation of the area was surveyed using a levelling instrument. Over the bare sandy surface of the mudflat, the incoming waves are reduced in height (and energy density) due to bottom friction. This reduction decreases with increasing water depth. In the mangrove vegetation, the bottom friction exerted by the clay particles is very low. However, the dense network of trunks, branches and above ground roots of the mangrove vegetation causes a much higher drag force. For the mangrove vegetation which mainly consists of Kandelia candel, the drag force can be approached by the function C-D = 0.6e(0.15A) (with A being the projected cross-sectional area of the under water obstacles at a certain water depth). For the same muddy surface without mangroves the function would be C-D = 0.6. (c) 2006 Elsevier Ltd. All rights reserved.",FEB 15 2007,2007,WoS,,field,,absolute,,,,,,,,,,mangrove,,coastal protection,wave,wave attenuation,wind,positive,,,,,,,,,,,,,,,,,,,,,,,
28,yes,in,out,out,"Manis, JE; Garvis, SK; Jachec, SM; Walters, LJ","Manis, Jennifer E.; Garvis, Stephanie K.; Jachec, Steven M.; Walters, Linda J.",Wave attenuation experiments over living shorelines over time: a wave tank study to assess recreational boating pressures,"With sea level rise, erosion, and human disturbances affecting coastal areas, strategies to protect and stabilize existing shorelines are needed. One popular solution to stabilize while conserving intertidal habitat is the use of living shoreline techniques which are designed to mimic natural shoreline communities by using native plants and animals. However, little information is available on the success of living shoreline stabilization. This project evaluated the wave energy attenuation associated with living shorelines that contained Crassostrea virginica (eastern oyster) and/or Spartina alterniflora (smooth cordgrass) in a wave tank. Four living shoreline techniques were assessed, including a control (sediment only), oysters alone, cordgrass alone, and a combination of oysters plus cordgrass. Time since deployment (newly deployed, one-year after deployment) was also assessed to see how wave energy attenuation changed with natural oyster recruitment and plant growth. Wave energy was calculated for each newly deployed and one-year old shoreline stabilization treatment using capacitance wave gauges and generated waves that were representative of boat wakes in Mosquito Lagoon, a shallow-water estuary in Florida. All one-year old treatments attenuated significantly more energy than newly-deployed treatments. The combination of one-year old S. alterniflora plus live C. virginica was the most effective as this treatment reduced 67 % of the wave energy created by a single recreational boat wake, compared to bare sediment. Natural resource managers and landowners facing shoreline erosion issues can use this information to create effective stabilization protocols that preserve shorelines while conserving native intertidal habitats.",31,2015,WoS,,lab,,absolute,,,,,,,,,,shell reef,,coastal protection,wave,wave attenuation,wind,positive,yes,,% wave attenuation,SE,,,,,,,,,26.4,300,1.8,31.17,,,,,26.4,971.5689,in
